,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Dec 31, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLWRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLWRBRM,Pos. CBCFCMDMGKLBLWRBRWSS,Pos. AMCBCFCMGKLBLWRBSS,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBRBSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS
0,Mergim Berisha,"€ 54,423","€ 2,830,000",,"Aug 31, 2022","Jun 30, 2023",1.0,"€ 2,830,000",,F,CF,24.0,Starter,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
1,Daniel Caligiuri,"€ 40,385","€ 2,100,000",,"Jul 1, 2020","Jun 30, 2023",1.0,"€ 2,100,000",,F,RW,35.0,Reserve,Italy,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
2,André Hahn,"€ 30,769","€ 1,600,000",,"Apr 23, 2022","Jun 30, 2023",1.0,"€ 1,600,000",,F,RW,32.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
3,Jeffrey Gouweleeuw,"€ 28,846","€ 1,500,000",,"Jan 17, 2019","Jun 30, 2024",2.0,"€ 3,000,000",,D,CB,31.0,Starter,Netherlands,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
4,Elvis Rexhbecaj,"€ 26,538","€ 1,380,000",,"Jul 27, 2022","Jun 30, 2026",4.0,"€ 5,520,000",,M,CM,25.0,Starter,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
5,Julian Baumgartlinger,"€ 24,231","€ 1,260,000",,"Aug 16, 2022","Jun 30, 2023",1.0,"€ 1,260,000",,M,DM,35.0,Reserve,Austria,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
6,Iago,"€ 23,077","€ 1,200,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 2,400,000",,D,LB,25.0,Reserve,Brazil,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
7,Tomas Koubek,"€ 19,231","€ 1,000,000",,"Aug 6, 2019","Jun 30, 2024",2.0,"€ 2,000,000",,K,GK,30.0,Reserve,Czech Republic,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
8,Tobias Strobl,"€ 19,231","€ 1,000,000",,"Jul 1, 2020","Jun 30, 2023",1.0,"€ 1,000,000",,M,DM,32.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
9,Ermedin Demirovic,"€ 18,077","€ 940,000",,"Jul 8, 2022","Jun 30, 2026",4.0,"€ 3,760,000",,F,CF,24.0,Starter,Bosnia-Herzegovina,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
10,Felix Uduokhai,"€ 15,385","€ 800,000",,"Jul 1, 2020","Jun 30, 2024",2.0,"€ 1,600,000",,D,CB,25.0,Starter,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
11,Reece Oxford,"€ 14,808","€ 770,000",,"Nov 4, 2021","Jun 30, 2025",3.0,"€ 2,310,000",,D,CB,24.0,Reserve,England,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
12,Kelvin Yeboah,"€ 14,423","€ 750,000","€ 190,000","Jan 18, 2023","Jun 30, 2023",1.0,"€ 750,000",,F,CF,22.0,Reserve,Italy,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
13,Niklas Dorsch,"€ 13,462","€ 700,000",,"Jul 8, 2021","Jun 30, 2026",4.0,"€ 2,800,000",,M,DM,25.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
14,Noah Sarenren Bazee,"€ 13,462","€ 700,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 1,400,000",,F,RW,26.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
15,Arne Maier,"€ 12,308","€ 640,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 1,920,000",,M,CM,24.0,Starter,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
16,Rubén Vargas,"€ 10,577","€ 550,000",,"Jul 25, 2021","Jun 30, 2025",3.0,"€ 1,650,000",,F,LW,24.0,Reserve,Switzerland,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
17,Sergio Córdova,"€ 10,385","€ 540,000",,"Aug 17, 2020","Jun 30, 2025",3.0,"€ 1,620,000",,F,CF,25.0,Reserve,Venezuela,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
18,Rafal Gikiewicz,"€ 10,385","€ 540,000",,"Jul 13, 2021","Jun 30, 2023",1.0,"€ 540,000",,K,GK,35.0,Starter,Poland,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
19,Mads Pedersen,"€ 8,846","€ 460,000",,"Jul 1, 2019","Jun 30, 2024",2.0,"€ 920,000",,D,LB,26.0,Reserve,Denmark,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
20,Fredrik Jensen,"€ 7,885","€ 410,000",,"Jan 20, 2023","Jun 30, 2025",3.0,"€ 1,230,000",,F,AM,25.0,Reserve,Finland,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
21,Maximilian Bauer,"€ 5,769","€ 300,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 1,500,000",,D,CB,22.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
22,Robert Gumny,"€ 4,231","€ 220,000",,"Sep 2, 2020","Jun 30, 2025",3.0,"€ 660,000",,D,RB,24.0,Starter,Poland,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
23,Benjamin Leneis,"€ 1,731","€ 90,000",,"Oct 24, 2018","Jun 30, 2023",1.0,"€ 90,000",,K,GK,23.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
24,Aaron Zehnter,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 100,000",,D,LB,18.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
25,Daniel Klein,€ 385,"€ 20,000",,"Jul 2, 2021","Jun 30, 2025",3.0,"€ 60,000",,K,GK,21.0,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
26,Dion Beljo,€ 0,€ 0,,"Jan 13, 2023","Jun 30, 2027",5.0,€ 0,,F,CF,20.0,Starter,Croatia,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
27,Irvin Cardona,€ 0,€ 0,,"Jan 18, 2023","Jun 30, 2027",5.0,€ 0,,F,CF,25.0,Reserve,France,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
28,Arne Engels,€ 0,€ 0,,"Jan 3, 2023","Jun 30, 2027",5.0,€ 0,,M,CM,19.0,Starter,Belgium,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
29,Nathanaël Mbuku,€ 0,€ 0,,"Jan 30, 2023","Jun 30, 2027",5.0,€ 0,,F,LW,20.0,Reserve,France,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
30,Renato Veiga,€ 0,€ 0,,"Jan 31, 2023","Dec 31, 2023",1.0,€ 0,,M,DM,19.0,Starter,Portugal,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
31,David Colina,€ 0,€ 0,,"Jan 14, 2023","Jun 30, 2027",5.0,€ 0,,D,LB,22.0,Reserve,Croatia,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
32,Total,"€ 429,812","€ 22,350,000","€ 190,000",,,,"€ 44,620,000",€ 0,,,,,,,,Augsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
33,Patrik Schick,"€ 115,385","€ 6,000,000","€ 1,500,000","May 26, 2022",,,"€ 30,000,000",,F,CF,27.0,Reserve,Czech Republic,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2027",5.0,,,,,,,,,,,,,
34,Callum Hudson-Odoi,"€ 80,769","€ 4,200,000",,"Aug 30, 2022",,,"€ 4,200,000",,F,LW,22.0,Reserve,England,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2023",1.0,,,,,,,,,,,,,
35,Nadiem Amiri,"€ 61,538","€ 3,200,000",,"Jul 30, 2019",,,"€ 6,400,000",,M,CM,26.0,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2024",2.0,,,,,,,,,,,,,
36,Sardar Azmoun,"€ 61,538","€ 3,200,000",,"Jan 30, 2022",,,"€ 16,000,000",,F,CF,28.0,Reserve,Iran,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2027",5.0,,,,,,,,,,,,,
37,Kerem Demirbay,"€ 61,538","€ 3,200,000",,"Jul 1, 2019",,,"€ 6,400,000",,M,CM,29.0,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2024",2.0,,,,,,,,,,,,,
38,Robert Andrich,"€ 57,308","€ 2,980,000",,"Aug 16, 2021",,,"€ 11,920,000",,M,CM,28.0,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2026",4.0,,,,,,,,,,,,,
39,Karim Bellarabi,"€ 50,000","€ 2,600,000",,"Aug 13, 2020",,,"€ 2,600,000",,F,RW,32.0,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2023",1.0,,,,,,,,,,,,,
40,Lukas Hradecky,"€ 46,154","€ 2,400,000",,"Aug 30, 2022",,,"€ 9,600,000",,K,GK,33.0,Starter,Finland,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2026",4.0,,,,,,,,,,,,,
41,Piero Hincapié,"€ 46,154","€ 2,400,000",,"Feb 12, 2023",,,"€ 12,000,000",,D,CB,21.0,Starter,Ecuador,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2027",5.0,,,,,,,,,,,,,
42,Jeremie Frimpong,"€ 40,385","€ 2,100,000",,"Jan 27, 2021",,,"€ 6,300,000",,D,RB,22.0,Starter,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2025",3.0,,,,,,,,,,,,,
43,Daley Sinkgraven,"€ 38,462","€ 2,000,000",,"Jul 1, 2019",,,"€ 2,000,000",,D,LB,27.0,Starter,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2023",1.0,,,,,,,,,,,,,
44,Moussa Diaby,"€ 36,538","€ 1,900,000",,"Dec 17, 2020",,,"€ 5,700,000",,F,LW,23.0,Starter,France,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2025",3.0,,,,,,,,,,,,,
45,Adam Hlozek,"€ 36,346","€ 1,890,000",,"Jul 1, 2022",,,"€ 9,450,000",,F,CF,20.0,Starter,Czech Republic,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2027",5.0,,,,,,,,,,,,,
46,Exequiel Palacios,"€ 32,692","€ 1,700,000",,"Jan 1, 2020",,,"€ 5,100,000",,M,CM,24.0,Reserve,Argentina,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2025",3.0,,,,,,,,,,,,,
47,Odilon Kossounou,"€ 31,346","€ 1,630,000",,"Jul 22, 2021",,,"€ 6,520,000",,D,CB,22.0,Reserve,Cote d'Ivoire,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2026",4.0,,,,,,,,,,,,,
48,Mitchel Bakker,"€ 30,962","€ 1,610,000",,"Jul 12, 2021",,,"€ 4,830,000",,D,LB,22.0,Reserve,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2025",3.0,,,,,,,,,,,,,
49,Florian Wirtz,"€ 28,846","€ 1,500,000",,"Jun 23, 2022",,,"€ 7,500,000",,F,AM,19.0,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2027",5.0,,,,,,,,,,,,,
50,Charles Aránguiz,"€ 28,846","€ 1,500,000",,"May 1, 2020",,,"€ 1,500,000",,M,CM,33.0,Reserve,Chile,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2023",1.0,,,,,,,,,,,,,
51,Jonathan Tah,"€ 28,846","€ 1,500,000",,"Sep 28, 2021",,,"€ 4,500,000",,D,CB,26.0,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2025",3.0,,,,,,,,,,,,,
52,Timothy Fosu-Mensah,"€ 25,000","€ 1,300,000",,"Jan 13, 2021",,,"€ 2,600,000",,D,RB,25.0,Reserve,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2024",2.0,,,,,,,,,,,,,
53,Andrey Lunev,"€ 23,846","€ 1,240,000",,"Jul 10, 2021",,,"€ 1,240,000",,K,GK,31.0,Reserve,Russia,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2023",1.0,,,,,,,,,,,,,
54,Amine Adli,"€ 21,346","€ 1,110,000",,"Aug 26, 2021",,,"€ 4,440,000",,F,RW,22.0,Reserve,France,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2026",4.0,,,,,,,,,,,,,
55,Edmond Tapsoba,"€ 21,154","€ 1,100,000",,"Dec 17, 2020",,,"€ 4,400,000",,D,CB,23.0,Starter,Burkina Faso,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2026",4.0,,,,,,,,,,,,,
56,Niklas Lomb,"€ 5,192","€ 270,000",,"Apr 19, 2022",,,"€ 540,000",,K,GK,29.0,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2024",2.0,,,,,,,,,,,,,
57,Joshua Eze,"€ 1,731","€ 90,000",,"Jun 1, 2022",,,"€ 180,000",,M,DM,19.0,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2024",2.0,,,,,,,,,,,,,
58,Ayman Azhil,"€ 1,154","€ 60,000",,"Jul 1, 2020",,,"€ 60,000",,M,DM,21.0,Reserve,Morocco,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2023",1.0,,,,,,,,,,,,,
59,Patrick Pentz,€ 0,€ 0,,"Jan 27, 2023",,,€ 0,,K,GK,26.0,Reserve,Austria,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2025",3.0,,,,,,,,,,,,,
60,Noah Mbamba,€ 0,€ 0,,"Jan 14, 2023",,,€ 0,,M,DM,18.0,Reserve,Belgium,,,Bayer Leverkusen,Bundesliga,2022-2023,"Jun 30, 2028",6.0,,,,,,,,,,,,,
61,Total,"€ 1,013,076","€ 52,680,000","€ 1,500,000",,,,"€ 165,980,000",€ 0,,,,,,,,Bayer Leverkusen,Bundesliga,2022-2023,,,,,,,,,,,,,,,
62,Sadio Mané,"€ 423,077","€ 22,000,000",,"Jul 1, 2022",,3.0,"€ 66,000,000",,F,,30.0,Reserve,Senegal,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2025",LW,,,,,,,,,,,
63,Manuel Neuer,"€ 403,846","€ 21,000,000",,"May 23, 2022",,2.0,"€ 42,000,000",,K,,36.0,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2024",GK,,,,,,,,,,,
64,Thomas Müller,"€ 394,231","€ 20,500,000",,"May 3, 2022",,2.0,"€ 41,000,000",,F,,33.0,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2024",SS,,,,,,,,,,,
65,Leroy Sané,"€ 384,615","€ 20,000,000",,"Jul 15, 2020",,3.0,"€ 60,000,000",,F,,27.0,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2025",LW,,,,,,,,,,,
66,Joshua Kimmich,"€ 375,000","€ 19,500,000",,"Aug 23, 2021",,3.0,"€ 58,500,000",,M,,27.0,Starter,Germany,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2025",DM,,,,,,,,,,,
67,Serge Gnabry,"€ 362,885","€ 18,870,000",,"Jul 16, 2022",,4.0,"€ 75,480,000",,F,,27.0,Reserve,Germany,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2026",RW,,,,,,,,,,,
68,Lucas Hernández,"€ 346,154","€ 18,000,000",,"Jul 1, 2019",,2.0,"€ 36,000,000",,D,,26.0,Reserve,France,,,Bayern Munich,Bundesliga,2022-2023,,,"Jun 30, 2024",CB,,,,,,,,,,,
