,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Dec 31, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Mergim Berisha,"€ 54,423","€ 2,830,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 2,830,000",,F,CF,24,Starter,Germany,,,Augsburg,Bundesliga,2022-2023
1,Daniel Caligiuri,"€ 40,385","€ 2,100,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 2,100,000",,F,RW,35,Reserve,Italy,,,Augsburg,Bundesliga,2022-2023
2,André Hahn,"€ 30,769","€ 1,600,000",,"Apr 23, 2022","Jun 30, 2023",1,"€ 1,600,000",,F,RW,32,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023
3,Jeffrey Gouweleeuw,"€ 28,846","€ 1,500,000",,"Jan 17, 2019","Jun 30, 2024",2,"€ 3,000,000",,D,CB,31,Starter,Netherlands,,,Augsburg,Bundesliga,2022-2023
4,Elvis Rexhbecaj,"€ 26,538","€ 1,380,000",,"Jul 27, 2022","Jun 30, 2026",4,"€ 5,520,000",,M,CM,25,Starter,Germany,,,Augsburg,Bundesliga,2022-2023
5,Julian Baumgartlinger,"€ 24,231","€ 1,260,000",,"Aug 16, 2022","Jun 30, 2023",1,"€ 1,260,000",,M,DM,35,Reserve,Austria,,,Augsburg,Bundesliga,2022-2023
6,Iago,"€ 23,077","€ 1,200,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 2,400,000",,D,LB,25,Reserve,Brazil,,,Augsburg,Bundesliga,2022-2023
7,Tomas Koubek,"€ 19,231","€ 1,000,000",,"Aug 6, 2019","Jun 30, 2024",2,"€ 2,000,000",,K,GK,30,Reserve,Czech Republic,,,Augsburg,Bundesliga,2022-2023
8,Tobias Strobl,"€ 19,231","€ 1,000,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 1,000,000",,M,DM,32,Reserve,Germany,,,Augsburg,Bundesliga,2022-2023
9,Ermedin Demirovic,"€ 18,077","€ 940,000",,"Jul 8, 2022","Jun 30, 2026",4,"€ 3,760,000",,F,CF,24,Starter,Bosnia-Herzegovina,,,Augsburg,Bundesliga,2022-2023
