,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Patrik Schick,"€ 115,385","€ 6,000,000","€ 1,500,000","May 26, 2022","Jun 30, 2027",5,"€ 30,000,000",,F,CF,27,Reserve,Czech Republic,,,Bayer Leverkusen,Bundesliga,2022-2023
1,Callum Hudson-Odoi,"€ 80,769","€ 4,200,000",,"Aug 30, 2022","Jun 30, 2023",1,"€ 4,200,000",,F,LW,22,Reserve,England,,,Bayer Leverkusen,Bundesliga,2022-2023
2,Nadiem Amiri,"€ 61,538","€ 3,200,000",,"Jul 30, 2019","Jun 30, 2024",2,"€ 6,400,000",,M,CM,26,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
3,Sardar Azmoun,"€ 61,538","€ 3,200,000",,"Jan 30, 2022","Jun 30, 2027",5,"€ 16,000,000",,F,CF,28,Reserve,Iran,,,Bayer Leverkusen,Bundesliga,2022-2023
4,Kerem Demirbay,"€ 61,538","€ 3,200,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 6,400,000",,M,CM,29,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
5,Robert Andrich,"€ 57,308","€ 2,980,000",,"Aug 16, 2021","Jun 30, 2026",4,"€ 11,920,000",,M,CM,28,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
6,Karim Bellarabi,"€ 50,000","€ 2,600,000",,"Aug 13, 2020","Jun 30, 2023",1,"€ 2,600,000",,F,RW,32,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
7,Lukas Hradecky,"€ 46,154","€ 2,400,000",,"Aug 30, 2022","Jun 30, 2026",4,"€ 9,600,000",,K,GK,33,Starter,Finland,,,Bayer Leverkusen,Bundesliga,2022-2023
8,Piero Hincapié,"€ 46,154","€ 2,400,000",,"Feb 12, 2023","Jun 30, 2027",5,"€ 12,000,000",,D,CB,21,Starter,Ecuador,,,Bayer Leverkusen,Bundesliga,2022-2023
9,Jeremie Frimpong,"€ 40,385","€ 2,100,000",,"Jan 27, 2021","Jun 30, 2025",3,"€ 6,300,000",,D,RB,22,Starter,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023
10,Daley Sinkgraven,"€ 38,462","€ 2,000,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 2,000,000",,D,LB,27,Starter,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023
11,Moussa Diaby,"€ 36,538","€ 1,900,000",,"Dec 17, 2020","Jun 30, 2025",3,"€ 5,700,000",,F,LW,23,Starter,France,,,Bayer Leverkusen,Bundesliga,2022-2023
12,Adam Hlozek,"€ 36,346","€ 1,890,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 9,450,000",,F,CF,20,Starter,Czech Republic,,,Bayer Leverkusen,Bundesliga,2022-2023
13,Exequiel Palacios,"€ 32,692","€ 1,700,000",,"Jan 1, 2020","Jun 30, 2025",3,"€ 5,100,000",,M,CM,24,Reserve,Argentina,,,Bayer Leverkusen,Bundesliga,2022-2023
14,Odilon Kossounou,"€ 31,346","€ 1,630,000",,"Jul 22, 2021","Jun 30, 2026",4,"€ 6,520,000",,D,CB,22,Reserve,Cote d'Ivoire,,,Bayer Leverkusen,Bundesliga,2022-2023
15,Mitchel Bakker,"€ 30,962","€ 1,610,000",,"Jul 12, 2021","Jun 30, 2025",3,"€ 4,830,000",,D,LB,22,Reserve,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023
16,Florian Wirtz,"€ 28,846","€ 1,500,000",,"Jun 23, 2022","Jun 30, 2027",5,"€ 7,500,000",,F,AM,19,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
17,Charles Aránguiz,"€ 28,846","€ 1,500,000",,"May 1, 2020","Jun 30, 2023",1,"€ 1,500,000",,M,CM,33,Reserve,Chile,,,Bayer Leverkusen,Bundesliga,2022-2023
18,Jonathan Tah,"€ 28,846","€ 1,500,000",,"Sep 28, 2021","Jun 30, 2025",3,"€ 4,500,000",,D,CB,26,Starter,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
19,Timothy Fosu-Mensah,"€ 25,000","€ 1,300,000",,"Jan 13, 2021","Jun 30, 2024",2,"€ 2,600,000",,D,RB,25,Reserve,Netherlands,,,Bayer Leverkusen,Bundesliga,2022-2023
20,Andrey Lunev,"€ 23,846","€ 1,240,000",,"Jul 10, 2021","Jun 30, 2023",1,"€ 1,240,000",,K,GK,31,Reserve,Russia,,,Bayer Leverkusen,Bundesliga,2022-2023
21,Amine Adli,"€ 21,346","€ 1,110,000",,"Aug 26, 2021","Jun 30, 2026",4,"€ 4,440,000",,F,RW,22,Reserve,France,,,Bayer Leverkusen,Bundesliga,2022-2023
22,Edmond Tapsoba,"€ 21,154","€ 1,100,000",,"Dec 17, 2020","Jun 30, 2026",4,"€ 4,400,000",,D,CB,23,Starter,Burkina Faso,,,Bayer Leverkusen,Bundesliga,2022-2023
23,Niklas Lomb,"€ 5,192","€ 270,000",,"Apr 19, 2022","Jun 30, 2024",2,"€ 540,000",,K,GK,29,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
24,Joshua Eze,"€ 1,731","€ 90,000",,"Jun 1, 2022","Jun 30, 2024",2,"€ 180,000",,M,DM,19,Reserve,Germany,,,Bayer Leverkusen,Bundesliga,2022-2023
25,Ayman Azhil,"€ 1,154","€ 60,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 60,000",,M,DM,21,Reserve,Morocco,,,Bayer Leverkusen,Bundesliga,2022-2023
26,Patrick Pentz,€ 0,€ 0,,"Jan 27, 2023","Jun 30, 2025",3,€ 0,,K,GK,26,Reserve,Austria,,,Bayer Leverkusen,Bundesliga,2022-2023
