,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Manuel Riemann,"€ 23,654","€ 1,230,000",,"Jun 9, 2022","Jun 30, 2025",3,"€ 3,690,000",,K,GK,34,Starter,Germany,,,Bochum,Bundesliga,2022-2023
1,Dominique Heintz,"€ 23,077","€ 1,200,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 1,200,000",,D,CB,29,Reserve,Germany,,,Bochum,Bundesliga,2022-2023
2,Ivan Ordets,"€ 20,000","€ 1,040,000",,"Jul 10, 2022","Jun 30, 2023",1,"€ 1,040,000",,D,CB,30,Starter,Ukraine,,,Bochum,Bundesliga,2022-2023
3,Anthony Losilla,"€ 17,692","€ 920,000",,"Jan 18, 2023","Jun 30, 2024",2,"€ 1,840,000",,M,DM,36,Starter,France,,,Bochum,Bundesliga,2022-2023
4,Philipp Förster,"€ 16,154","€ 840,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,680,000",,F,AM,27,Starter,Germany,,,Bochum,Bundesliga,2022-2023
5,Kevin Stöger,"€ 15,000","€ 780,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,560,000",,F,AM,29,Reserve,Austria,,,Bochum,Bundesliga,2022-2023
6,Michael Esser,"€ 15,000","€ 780,000",,"Dec 21, 2022","Jun 30, 2024",2,"€ 1,560,000",,K,GK,35,Reserve,Germany,,,Bochum,Bundesliga,2022-2023
7,Konstantinos Stafylidis,"€ 14,231","€ 740,000",,"Jul 6, 2022","Jun 30, 2023",1,"€ 740,000",,D,LB,29,Starter,Greece,,,Bochum,Bundesliga,2022-2023
8,Erhan Masovic,"€ 12,308","€ 640,000",,"Dec 17, 2021","Jun 30, 2025",3,"€ 1,920,000",,D,CB,24,Starter,Serbia,,,Bochum,Bundesliga,2022-2023
9,Marko Johansson,"€ 12,115","€ 630,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 630,000",,K,GK,24,Reserve,Sweden,,,Bochum,Bundesliga,2022-2023
10,Keven Schlotterbeck,"€ 10,385","€ 540,000",,"Jan 2, 2023","Jun 30, 2023",1,"€ 540,000",,D,CB,25,Reserve,Germany,,,Bochum,Bundesliga,2022-2023
11,Patrick Osterhage,"€ 10,000","€ 520,000",,"Nov 23, 2022","Jun 30, 2026",4,"€ 2,080,000",,M,CM,23,Reserve,Germany,,,Bochum,Bundesliga,2022-2023
12,Cristian Gamboa,"€ 9,038","€ 470,000",,"Jul 7, 2022","Jun 30, 2024",2,"€ 940,000",,D,RB,33,Reserve,Costa Rica,,,Bochum,Bundesliga,2022-2023
13,Gerrit Holtmann,"€ 8,654","€ 450,000",,"Jul 21, 2022","Jun 30, 2025",3,"€ 1,350,000",,F,LW,27,Reserve,Philippines,,,Bochum,Bundesliga,2022-2023
14,Simon Zoller,"€ 8,462","€ 440,000",,"Aug 27, 2021","Jun 30, 2024",2,"€ 880,000",,F,CF,31,Starter,Germany,,,Bochum,Bundesliga,2022-2023
15,Danilo Soares,"€ 8,269","€ 430,000",,"Jul 4, 2020","Jun 30, 2024",2,"€ 860,000",,D,LB,31,Reserve,Brazil,,,Bochum,Bundesliga,2022-2023
16,Vasilios Lampropoulos,"€ 7,692","€ 400,000",,"Jun 10, 2022","Jun 30, 2023",1,"€ 400,000",,D,CB,32,Reserve,Greece,,,Bochum,Bundesliga,2022-2023
17,Jacek Goralski,"€ 7,500","€ 390,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 780,000",,M,DM,30,Reserve,Poland,,,Bochum,Bundesliga,2022-2023
18,Jordi Osei-Tutu,"€ 7,500","€ 390,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,170,000",,D,RB,24,Reserve,England,,,Bochum,Bundesliga,2022-2023
19,Philipp Hofmann,"€ 7,500","€ 390,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 780,000",,F,CF,29,Starter,Germany,,,Bochum,Bundesliga,2022-2023
20,Saidy Janko,"€ 4,808","€ 250,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 250,000",,D,RB,27,Starter,The Gambia,,,Bochum,Bundesliga,2022-2023
21,Silvère Ganvoula,"€ 4,423","€ 230,000",,"Jul 5, 2019","Jun 30, 2023",1,"€ 230,000",,F,CF,26,Reserve,Congo,,,Bochum,Bundesliga,2022-2023
22,Paul Grave,"€ 3,269","€ 170,000",,"Mar 2, 2019","Jun 30, 2023",1,"€ 170,000",,K,GK,21,Reserve,Germany,,,Bochum,Bundesliga,2022-2023
23,Takuma Asano,€ 962,"€ 50,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 100,000",,F,RW,28,Reserve,Japan,,,Bochum,Bundesliga,2022-2023
24,Mohammed Tolba,€ 962,"€ 50,000",,"Jan 26, 2023","Jun 30, 2025",3,"€ 150,000",,D,CB,18,Reserve,Germany,,,Bochum,Bundesliga,2022-2023
25,Christopher Antwi-Adjei,€ 577,"€ 30,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 60,000",,F,LW,28,Starter,Ghana,,,Bochum,Bundesliga,2022-2023
