,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Niklas Süle,"€ 362,885","€ 18,870,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 75,480,000",,D,CB,27,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
1,Sébastien Haller,"€ 211,538","€ 11,000,000",,"Jul 6, 2022","Jun 30, 2026",4,"€ 44,000,000",,F,CF,28,Reserve,Cote d'Ivoire,,,Borussia Dortmund,Bundesliga,2022-2023
2,Marco Reus,"€ 211,538","€ 11,000,000",,"Mar 9, 2018","Jun 30, 2023",1,"€ 11,000,000",,F,AM,33,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
3,Thomas Meunier,"€ 192,308","€ 10,000,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 20,000,000",,D,RB,31,Reserve,Belgium,,,Borussia Dortmund,Bundesliga,2022-2023
4,Mats Hummels,"€ 192,308","€ 10,000,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 10,000,000",,D,CB,34,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
5,Emre Can,"€ 169,231","€ 8,800,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 17,600,000",,M,DM,29,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
6,Anthony Modeste,"€ 115,385","€ 6,000,000",,"Aug 8, 2022","Jun 30, 2023",1,"€ 6,000,000",,F,CF,34,Reserve,France,,,Borussia Dortmund,Bundesliga,2022-2023
7,Karim Adeyemi,"€ 96,154","€ 5,000,000","€ 1,000,000","Jul 1, 2022","Jun 30, 2027",5,"€ 25,000,000",,F,RW,21,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
8,Nico Schlotterbeck,"€ 90,769","€ 4,720,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 23,600,000",,D,CB,23,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
9,Donyell Malen,"€ 86,538","€ 4,500,000",,"Jul 27, 2021","Jun 30, 2026",4,"€ 18,000,000",,F,LW,24,Reserve,Netherlands,,,Borussia Dortmund,Bundesliga,2022-2023
10,Julian Brandt,"€ 76,923","€ 4,000,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 8,000,000",,F,AM,26,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
11,Mahmoud Dahoud,"€ 76,923","€ 4,000,000",,"Jul 29, 2021","Jun 30, 2023",1,"€ 4,000,000",,M,CM,27,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
12,Salih Özcan,"€ 72,692","€ 3,780,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 15,120,000",,M,DM,25,Reserve,Turkey,,,Borussia Dortmund,Bundesliga,2022-2023
13,Raphaël Guerreiro,"€ 67,308","€ 3,500,000",,"Oct 17, 2019","Jun 30, 2023",1,"€ 3,500,000",,D,LB,29,Starter,Portugal,,,Borussia Dortmund,Bundesliga,2022-2023
14,Marius Wolf,"€ 63,462","€ 3,300,000",,"Jul 2, 2018","Jun 30, 2024",2,"€ 6,600,000",,D,RB,27,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
15,Youssoufa Moukoko,"€ 57,692","€ 3,000,000","€ 3,000,000","Jan 21, 2023","Jun 30, 2026",4,"€ 12,000,000",,F,CF,18,Starter,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
16,Julian Ryerson,"€ 39,231","€ 2,040,000",,"Jan 17, 2023","Jun 30, 2026",4,"€ 8,160,000",,D,RB,25,Starter,Norway,,,Borussia Dortmund,Bundesliga,2022-2023
17,Gregor Kobel,"€ 39,231","€ 2,040,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 8,160,000",,K,GK,25,Starter,Switzerland,,,Borussia Dortmund,Bundesliga,2022-2023
18,Jude Bellingham,"€ 30,769","€ 1,600,000",,"Jun 29, 2021","Jun 30, 2025",3,"€ 4,800,000",,M,CM,19,Starter,England,,,Borussia Dortmund,Bundesliga,2022-2023
19,Nico Schulz,"€ 25,000","€ 1,300,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 2,600,000",,D,LB,29,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
20,Soumaïla Coulibaly,"€ 20,192","€ 1,050,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 2,100,000",,D,CB,19,Reserve,France,,,Borussia Dortmund,Bundesliga,2022-2023
21,Felix Passlack,"€ 17,115","€ 890,000",,"May 6, 2021","Jun 30, 2023",1,"€ 890,000",,D,RB,24,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
22,Mateu Morey Bauzà,"€ 13,846","€ 720,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 1,440,000",,D,RB,22,Reserve,Spain,,,Borussia Dortmund,Bundesliga,2022-2023
23,Alexander Meyer,"€ 10,962","€ 570,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,140,000",,K,GK,31,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
24,Jamie Bynoe-Gittens,"€ 5,769","€ 300,000",,"Aug 16, 2022","Jun 30, 2025",3,"€ 900,000",,F,RW,18,Reserve,England,,,Borussia Dortmund,Bundesliga,2022-2023
25,Abdoulaye Kamara,"€ 2,885","€ 150,000",,,"Jun 30, 2024",2,"€ 300,000",,M,DM,18,Reserve,France,,,Borussia Dortmund,Bundesliga,2022-2023
26,Antonios Papadopoulos,"€ 2,885","€ 150,000",,,"Jun 30, 2024",2,"€ 300,000",,D,CB,23,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
27,Giovanni Reyna,"€ 2,500","€ 130,000",,"Nov 20, 2020","Jun 30, 2025",3,"€ 390,000",,F,AM,20,Starter,United States,,,Borussia Dortmund,Bundesliga,2022-2023
28,Marcel Lotka,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 240,000",,K,GK,21,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
29,Tom Rothe,"€ 1,538","€ 80,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 160,000",,D,LB,18,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
30,Göktan Gürpüz,"€ 1,154","€ 60,000",,,"Jun 30, 2025",3,"€ 180,000",,F,AM,20,Reserve,Turkey,,,Borussia Dortmund,Bundesliga,2022-2023
31,Luca Unbehaun,€ 962,"€ 50,000",,"Feb 22, 2022","Jun 30, 2023",1,"€ 50,000",,K,GK,21,Reserve,Germany,,,Borussia Dortmund,Bundesliga,2022-2023
32,Julien Duranville,€ 0,€ 0,,"Jan 27, 2023","Jun 30, 2023",1,€ 0,,F,RW,16,Reserve,Belgium,,,Borussia Dortmund,Bundesliga,2022-2023
33,Total,"€ 2,360,001","€ 122,720,000","€ 4,000,000",,,,"€ 331,710,000",€ 0,,,,,,,,Borussia Dortmund,Bundesliga,2022-2023
