,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Matthias Ginter,"€ 145,192","€ 7,550,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 37,750,000",,D,CB,29,Starter,Germany,,,Freiburg,Bundesliga,2022-2023
1,Michael Gregoritsch,"€ 21,923","€ 1,140,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 1,140,000",,F,CF,28,Starter,Austria,,,Freiburg,Bundesliga,2022-2023
2,Vincenzo Grifo,"€ 18,269","€ 950,000",,"Jul 7, 2022","Jun 30, 2023",1,"€ 950,000",,F,LW,29,Starter,Italy,,,Freiburg,Bundesliga,2022-2023
3,Ritsu Doan,"€ 18,077","€ 940,000",,"Jul 5, 2022","Jun 30, 2023",1,"€ 940,000",,F,RW,24,Starter,Japan,,,Freiburg,Bundesliga,2022-2023
4,Nicolas Höfler,"€ 17,308","€ 900,000",,"Jan 28, 2020","Jun 30, 2023",1,"€ 900,000",,M,DM,32,Starter,Germany,,,Freiburg,Bundesliga,2022-2023
5,Christian Günter,"€ 15,577","€ 810,000",,"Mar 18, 2021","Jun 30, 2023",1,"€ 810,000",,D,LB,29,Starter,Germany,,,Freiburg,Bundesliga,2022-2023
6,Jonathan Schmid,"€ 15,577","€ 810,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 810,000",,D,RB,32,Reserve,France,,,Freiburg,Bundesliga,2022-2023
7,Nils Petersen,"€ 14,423","€ 750,000",,"Apr 1, 2022","Jun 30, 2023",1,"€ 750,000",,F,CF,34,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
8,Maximilian Eggestein,"€ 14,231","€ 740,000",,"Aug 18, 2021","Jun 30, 2025",3,"€ 2,220,000",,M,CM,26,Starter,Germany,,,Freiburg,Bundesliga,2022-2023
9,Philipp Lienhart,"€ 13,077","€ 680,000",,"May 12, 2021","Jun 30, 2024",2,"€ 1,360,000",,D,CB,26,Starter,Austria,,,Freiburg,Bundesliga,2022-2023
10,Roland Sallai,"€ 10,769","€ 560,000",,"Mar 9, 2021","Jun 30, 2025",3,"€ 1,680,000",,F,RW,25,Starter,Hungary,,,Freiburg,Bundesliga,2022-2023
11,Manuel Gulde,"€ 9,423","€ 490,000",,"Aug 2, 2021","Jun 30, 2023",1,"€ 490,000",,D,CB,31,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
12,Lucas Höler,"€ 8,269","€ 430,000",,"Jan 16, 2020","Jun 30, 2023",1,"€ 430,000",,F,CF,28,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
13,Woo-yeong Jeong,"€ 7,500","€ 390,000",,"Dec 23, 2021","Jun 30, 2025",3,"€ 1,170,000",,F,SS,23,Reserve,South Korea,,,Freiburg,Bundesliga,2022-2023
14,Benjamin Uphoff,"€ 7,308","€ 380,000",,"Aug 5, 2020","Jun 30, 2023",1,"€ 380,000",,K,GK,29,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
15,Daniel-Kofi Kyereh,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 360,000",,F,AM,26,Reserve,Ghana,,,Freiburg,Bundesliga,2022-2023
16,Mark Flekken,"€ 6,731","€ 350,000",,"Sep 13, 2022","Jun 30, 2023",1,"€ 350,000",,K,GK,29,Starter,Netherlands,,,Freiburg,Bundesliga,2022-2023
17,Lukas Kübler,"€ 4,808","€ 250,000",,"May 3, 2021","Jun 30, 2023",1,"€ 250,000",,D,RB,30,Starter,Germany,,,Freiburg,Bundesliga,2022-2023
18,Robert Wagner,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 240,000",,M,CM,19,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
19,Kiliann Sildillia,"€ 2,115","€ 110,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 220,000",,D,RB,20,Reserve,France,,,Freiburg,Bundesliga,2022-2023
20,Kimberly Ezekwem,"€ 2,115","€ 110,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 110,000",,D,LB,21,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
21,Noah Weißhaupt,"€ 1,731","€ 90,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 90,000",,F,LW,21,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
22,Yannik Keitel,"€ 1,346","€ 70,000",,"Apr 16, 2020","Jun 30, 2024",2,"€ 140,000",,M,DM,22,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
23,Noah Atubolu,"€ 1,154","€ 60,000",,"Oct 10, 2022","Jun 30, 2023",1,"€ 60,000",,K,GK,20,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
24,Merlin Röhl,"€ 1,154","€ 60,000",,"Aug 17, 2022","Jun 30, 2023",1,"€ 60,000",,M,CM,20,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
25,Kenneth Schmidt,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2023",1,€ 0,,D,CB,20,Reserve,Germany,,,Freiburg,Bundesliga,2022-2023
26,Total,"€ 367,308","€ 19,100,000",€ 0,,,,"€ 53,660,000",€ 0,,,,,,,,Freiburg,Bundesliga,2022-2023
