,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Suat Serdar,"€ 60,192","€ 3,130,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 12,520,000",,M,CM,25,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023
1,Lucas Tousart,"€ 50,000","€ 2,600,000",,"Jan 27, 2020","Jun 30, 2025",3,"€ 7,800,000",,M,DM,25,Starter,France,,,Hertha Berlin,Bundesliga,2022-2023
2,Dodi Lukébakio,"€ 48,077","€ 2,500,000",,"Aug 1, 2019","Jun 30, 2024",2,"€ 5,000,000",,F,RW,25,Reserve,Belgium,,,Hertha Berlin,Bundesliga,2022-2023
3,Rune Jarstein,"€ 40,000","€ 2,080,000",,"May 13, 2021","Jun 30, 2023",1,"€ 2,080,000",,K,GK,38,Reserve,Norway,,,Hertha Berlin,Bundesliga,2022-2023
4,Chidera Ejuke,"€ 31,154","€ 1,620,000",,"Jul 13, 2022","Jun 30, 2023",1,"€ 1,620,000",,F,LW,25,Reserve,Nigeria,,,Hertha Berlin,Bundesliga,2022-2023
5,Marvin Plattenhardt,"€ 28,846","€ 1,500,000",,"Sep 29, 2017","Jun 30, 2023",1,"€ 1,500,000",,D,LB,31,Starter,Germany,,,Hertha Berlin,Bundesliga,2022-2023
6,Stevan Jovetic,"€ 25,192","€ 1,310,000",,"Jul 27, 2021","Jun 30, 2023",1,"€ 1,310,000",,F,CF,33,Reserve,Montenegro,,,Hertha Berlin,Bundesliga,2022-2023
7,Kevin-Prince Boateng,"€ 23,077","€ 1,200,000",,"Jun 22, 2022","Jun 30, 2023",1,"€ 1,200,000",,F,AM,35,Reserve,Ghana,,,Hertha Berlin,Bundesliga,2022-2023
8,Jonjoe Kenny,"€ 23,077","€ 1,200,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,600,000",,D,RB,25,Reserve,England,,,Hertha Berlin,Bundesliga,2022-2023
9,Agustín Rogel,"€ 21,923","€ 1,140,000",,"Aug 31, 2022","Jun 30, 2026",4,"€ 4,560,000",,D,CB,25,Reserve,Uruguay,,,Hertha Berlin,Bundesliga,2022-2023
