,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jonas Hector,"€ 63,462","€ 3,300,000",,"Apr 23, 2018","Jun 30, 2023",1,"€ 3,300,000",,D,LB,32,Starter,Germany,,,Koln,Bundesliga,2022-2023
1,Kingsley Schindler,"€ 49,423","€ 2,570,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 2,570,000",,D,RB,29,Reserve,Germany,,,Koln,Bundesliga,2022-2023
2,Timo Horn,"€ 48,077","€ 2,500,000",,"May 4, 2018","Jun 30, 2023",1,"€ 2,500,000",,K,GK,29,Reserve,Germany,,,Koln,Bundesliga,2022-2023
3,Ellyes Skhiri,"€ 32,692","€ 1,700,000",,"Jul 29, 2019","Jun 30, 2023",1,"€ 1,700,000",,M,DM,27,Starter,Tunisia,,,Koln,Bundesliga,2022-2023
4,Davie Selke,"€ 28,846","€ 1,500,000","€ 500,000","Jan 2, 2023","Jun 30, 2024",2,"€ 3,000,000",,F,CF,28,Reserve,Germany,,,Koln,Bundesliga,2022-2023
5,Florian Kainz,"€ 23,077","€ 1,200,000",,"Jan 18, 2023","Jun 30, 2025",3,"€ 3,600,000",,F,LW,30,Starter,Austria,,,Koln,Bundesliga,2022-2023
6,Mark Uth,"€ 21,923","€ 1,140,000",,"Jan 20, 2023","Jun 30, 2025",3,"€ 3,420,000",,F,CF,31,Reserve,Germany,,,Koln,Bundesliga,2022-2023
7,Dejan Ljubicic,"€ 18,654","€ 970,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 2,910,000",,M,DM,25,Reserve,Austria,,,Koln,Bundesliga,2022-2023
8,Sebastian Andersson,"€ 17,115","€ 890,000",,"Sep 15, 2020","Jun 30, 2023",1,"€ 890,000",,F,CF,31,Reserve,Sweden,,,Koln,Bundesliga,2022-2023
9,Kristian Pedersen,"€ 16,154","€ 840,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,680,000",,D,LB,28,Reserve,Denmark,,,Koln,Bundesliga,2022-2023
