,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMGKLBLWRBSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Timo Werner,"€ 192,308","€ 10,000,000","€ 2,000,000","Aug 9, 2022","Jun 30, 2026",4,"€ 40,000,000",,F,CF,26,Starter,Germany,,,Leipzig,Bundesliga,2022-2023
1,Christopher Nkunku,"€ 192,308","€ 10,000,000",,"Jun 23, 2022","Jun 30, 2026",4,"€ 40,000,000","€ 60,000,000",F,SS,25,Reserve,France,,,Leipzig,Bundesliga,2022-2023
2,David Raum,"€ 145,192","€ 7,550,000","€ 11,320,000","Jul 31, 2022","Jun 30, 2027",5,"€ 37,750,000",,D,LB,24,Reserve,Germany,,,Leipzig,Bundesliga,2022-2023
3,Emil Forsberg,"€ 126,923","€ 6,600,000",,"May 12, 2021","Jun 30, 2025",3,"€ 19,800,000",,F,LW,31,Reserve,Sweden,,,Leipzig,Bundesliga,2022-2023
4,Péter Gulácsi,"€ 107,692","€ 5,600,000",,"May 7, 2021","Jun 30, 2025",3,"€ 16,800,000",,K,GK,32,Reserve,Hungary,,,Leipzig,Bundesliga,2022-2023
5,Abdou Diallo,"€ 103,846","€ 5,400,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 5,400,000",,D,CB,26,Reserve,Senegal,,,Leipzig,Bundesliga,2022-2023
6,Lukas Klostermann,"€ 100,000","€ 5,200,000",,"May 8, 2020","Jun 30, 2024",2,"€ 10,400,000",,D,RB,26,Starter,Germany,,,Leipzig,Bundesliga,2022-2023
7,André Silva,"€ 96,154","€ 5,000,000",,"Jul 2, 2021","Jun 30, 2026",4,"€ 20,000,000",,F,CF,27,Starter,Portugal,,,Leipzig,Bundesliga,2022-2023
8,Willi Orbán,"€ 80,769","€ 4,200,000",,"Apr 9, 2021","Jun 30, 2025",3,"€ 12,600,000",,D,CB,30,Reserve,Hungary,,,Leipzig,Bundesliga,2022-2023
9,Dani Olmo,"€ 80,769","€ 4,200,000",,"Jan 25, 2020","Jun 30, 2024",2,"€ 8,400,000",,F,AM,24,Reserve,Spain,,,Leipzig,Bundesliga,2022-2023
10,Dominik Szoboszlai,"€ 80,769","€ 4,200,000",,"May 19, 2021","Jun 30, 2026",4,"€ 16,800,000",,F,AM,22,Starter,Hungary,,,Leipzig,Bundesliga,2022-2023
11,Yussuf Poulsen,"€ 76,923","€ 4,000,000",,"Oct 3, 2020","Jun 30, 2024",2,"€ 8,000,000",,F,CF,28,Reserve,Denmark,,,Leipzig,Bundesliga,2022-2023
12,Xaver Schlager,"€ 76,923","€ 4,000,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 16,000,000",,M,CM,25,Starter,Austria,,,Leipzig,Bundesliga,2022-2023
13,Benjamin Henrichs,"€ 73,077","€ 3,800,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 11,400,000",,D,RB,25,Starter,Germany,,,Leipzig,Bundesliga,2022-2023
14,Kevin Kampl,"€ 67,308","€ 3,500,000",,"May 17, 2022","Jun 30, 2024",2,"€ 7,000,000",,M,CM,32,Reserve,Slovenia,,,Leipzig,Bundesliga,2022-2023
15,Marcel Halstenberg,"€ 57,692","€ 3,000,000",,"Jun 6, 2022","Jun 30, 2024",2,"€ 6,000,000",,D,LB,31,Starter,Germany,,,Leipzig,Bundesliga,2022-2023
16,Konrad Laimer,"€ 48,077","€ 2,500,000",,"Feb 18, 2020","Jun 30, 2023",1,"€ 2,500,000",,M,CM,25,Starter,Austria,,,Leipzig,Bundesliga,2022-2023
17,Mohamed Simakan,"€ 32,692","€ 1,700,000",,"Dec 6, 2022","Jun 30, 2027",5,"€ 8,500,000",,D,CB,22,Starter,France,,,Leipzig,Bundesliga,2022-2023
18,Josko Gvardiol,"€ 21,538","€ 1,120,000",,"Sep 1, 2022","Jun 30, 2027",5,"€ 5,600,000",,D,CB,21,Starter,Croatia,,,Leipzig,Bundesliga,2022-2023
19,Amadou Haidara,"€ 19,231","€ 1,000,000",,"May 10, 2021","Jun 30, 2025",3,"€ 3,000,000",,M,CM,25,Reserve,Mali,,,Leipzig,Bundesliga,2022-2023
20,Janis Blaswich,"€ 7,115","€ 370,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,110,000",,K,GK,31,Starter,Germany,,,Leipzig,Bundesliga,2022-2023
21,Jonas Nickisch,"€ 1,731","€ 90,000",,,"Jun 30, 2023",1,"€ 90,000",,K,GK,18,Reserve,Germany,,,Leipzig,Bundesliga,2022-2023
22,Sanoussy Ba,"€ 1,154","€ 60,000",,"Nov 29, 2022","Jun 30, 2025",3,"€ 180,000",,D,LB,19,Reserve,Germany,,,Leipzig,Bundesliga,2022-2023
23,Timo Schlieck,"€ 1,154","€ 60,000",,,"Jun 30, 2023",1,"€ 60,000",,K,GK,16,Reserve,Germany,,,Leipzig,Bundesliga,2022-2023
24,Caden Clark,€ 0,€ 0,,"Jul 1, 2021","Jun 30, 2025",3,€ 0,,F,AM,19,Reserve,United States,,,Leipzig,Bundesliga,2022-2023
25,Oskar Preil,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2023",1,€ 0,,K,GK,19,Reserve,Germany,,,Leipzig,Bundesliga,2022-2023
26,Örjan Nyland,€ 0,€ 0,,"Oct 9, 2022","Jun 30, 2023",1,€ 0,,K,GK,32,Reserve,Norway,,,Leipzig,Bundesliga,2022-2023
27,Total,"€ 1,791,345","€ 93,150,000","€ 13,320,000",,,,"€ 297,390,000","€ 60,000,000",,,,,,,,Leipzig,Bundesliga,2022-2023
