,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Aarón Martín,"€ 38,462","€ 2,000,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 2,000,000",,D,LB,25,Reserve,Spain,,,Mainz,Bundesliga,2022-2023
1,Angelo Fulgini,"€ 38,077","€ 1,980,000",,"Jul 12, 2022","Jun 30, 2026",4,"€ 7,920,000",,F,AM,26,Reserve,France,,,Mainz,Bundesliga,2022-2023
2,Edimilson Fernandes,"€ 38,077","€ 1,980,000",,"Nov 13, 2022","Jun 30, 2026",4,"€ 7,920,000",,M,CM,26,Starter,Switzerland,,,Mainz,Bundesliga,2022-2023
3,Stefan Bell,"€ 34,615","€ 1,800,000",,"Jun 8, 2021","Jun 30, 2024",2,"€ 3,600,000",,D,CB,31,Starter,Germany,,,Mainz,Bundesliga,2022-2023
4,Anthony Caci,"€ 32,308","€ 1,680,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 6,720,000",,D,LB,25,Starter,France,,,Mainz,Bundesliga,2022-2023
5,Silvan Widmer,"€ 25,000","€ 1,300,000",,"Jul 9, 2021","Jun 30, 2024",2,"€ 2,600,000",,D,RB,29,Reserve,Switzerland,,,Mainz,Bundesliga,2022-2023
6,Dominik Kohr,"€ 22,885","€ 1,190,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 4,760,000",,M,CM,29,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
7,Danny da Costa,"€ 18,462","€ 960,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,880,000",,D,RB,29,Starter,Germany,,,Mainz,Bundesliga,2022-2023
8,Maxim Leitsch,"€ 18,077","€ 940,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 3,760,000",,D,CB,24,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
9,Anton Stach,"€ 17,500","€ 910,000",,"Jul 31, 2021","Jun 30, 2024",2,"€ 1,820,000",,M,DM,24,Starter,Germany,,,Mainz,Bundesliga,2022-2023
10,Jae-sung Lee,"€ 16,923","€ 880,000",,"Jul 8, 2021","Jun 30, 2024",2,"€ 1,760,000",,F,AM,30,Starter,South Korea,,,Mainz,Bundesliga,2022-2023
11,Aymen Barkok,"€ 16,154","€ 840,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,520,000",,M,CM,24,Reserve,Morocco,,,Mainz,Bundesliga,2022-2023
12,Marcus Ingvartsen,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,160,000",,F,CF,27,Reserve,Denmark,,,Mainz,Bundesliga,2022-2023
13,Karim Onisiwo,"€ 11,346","€ 590,000",,"May 28, 2021","Jun 30, 2024",2,"€ 1,180,000",,F,CF,30,Starter,Austria,,,Mainz,Bundesliga,2022-2023
14,Alexander Hack,"€ 10,577","€ 550,000",,"Jul 8, 2021","Jun 30, 2024",2,"€ 1,100,000",,D,CB,29,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
15,Robin Zentner,"€ 10,000","€ 520,000",,"Mar 19, 2022","Jun 30, 2025",3,"€ 1,560,000",,K,GK,28,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
16,Nelson Weiper,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,080,000",,F,CF,17,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
17,Delano Burgzorg,"€ 4,808","€ 250,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 750,000",,F,LW,24,Reserve,Netherlands,,,Mainz,Bundesliga,2022-2023
18,Marlon Mustapha,"€ 3,654","€ 190,000",,"Jun 30, 2020","Jun 30, 2024",2,"€ 380,000",,F,CF,21,Reserve,Austria,,,Mainz,Bundesliga,2022-2023
19,Jonathan Burkardt,"€ 3,654","€ 190,000",,"Jun 10, 2021","Jun 30, 2024",2,"€ 380,000",,F,CF,22,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
20,Eniss Shabani,"€ 2,885","€ 150,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 450,000",,M,CM,19,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
21,Philipp Schulz,"€ 2,885","€ 150,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 450,000",,D,CB,17,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
22,Leandro Barreiro Martins,"€ 2,500","€ 130,000",,"May 27, 2021","Jun 30, 2024",2,"€ 260,000",,M,CM,23,Starter,Luxembourg,,,Mainz,Bundesliga,2022-2023
23,Finn Dahmen,"€ 1,346","€ 70,000",,"May 10, 2019","Jun 30, 2023",1,"€ 70,000",,K,GK,24,Starter,Germany,,,Mainz,Bundesliga,2022-2023
24,Lasse Rieß,"€ 1,154","€ 60,000",,"May 2, 2022","Jun 30, 2025",3,"€ 180,000",,K,GK,21,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
25,Ludovic Ajorque,€ 0,€ 0,,"Jan 24, 2023","Jun 30, 2026",4,€ 0,,F,CF,28,Starter,France,,,Mainz,Bundesliga,2022-2023
26,Andreas Hanche-Olsen,€ 0,€ 0,,"Jan 13, 2023","Jun 30, 2026",4,€ 0,,D,CB,26,Starter,Norway,,,Mainz,Bundesliga,2022-2023
27,Brajan Gruda,€ 0,€ 0,,"Nov 18, 2022","Jun 30, 2023",1,€ 0,,F,RW,18,Reserve,Germany,,,Mainz,Bundesliga,2022-2023
28,Total,"€ 392,118","€ 20,390,000",€ 0,,,,"€ 58,260,000",€ 0,,,,,,,,Mainz,Bundesliga,2022-2023
