,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Alassane Plea,"€ 90,769","€ 4,720,000",,"Aug 5, 2022","Jun 30, 2025",3,"€ 14,160,000",,F,LW,29,Reserve,France,,,Monchengladbach,Bundesliga,2022-2023
1,Julian Weigl,"€ 76,154","€ 3,960,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,960,000",,M,DM,27,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
2,Christoph Kramer,"€ 67,308","€ 3,500,000",,"Jan 3, 2023","Jun 30, 2025",3,"€ 10,500,000",,M,DM,31,Starter,Germany,,,Monchengladbach,Bundesliga,2022-2023
3,Marcus Thuram,"€ 61,538","€ 3,200,000",,"Jul 22, 2019","Jun 30, 2023",1,"€ 3,200,000",,F,CF,25,Starter,France,,,Monchengladbach,Bundesliga,2022-2023
4,Lars Stindl,"€ 55,769","€ 2,900,000",,"Dec 18, 2020","Jun 30, 2023",1,"€ 2,900,000",,F,AM,34,Starter,Germany,,,Monchengladbach,Bundesliga,2022-2023
5,Luca Netz,"€ 51,923","€ 2,700,000",,"Aug 6, 2021","Jun 30, 2026",4,"€ 10,800,000",,D,LB,19,Starter,Germany,,,Monchengladbach,Bundesliga,2022-2023
6,Jonas Hofmann,"€ 48,077","€ 2,500,000",,"Aug 8, 2022","Jun 30, 2025",3,"€ 7,500,000",,F,RW,30,Starter,Germany,,,Monchengladbach,Bundesliga,2022-2023
7,Stefan Lainer,"€ 44,231","€ 2,300,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 4,600,000",,D,RB,30,Reserve,Austria,,,Monchengladbach,Bundesliga,2022-2023
8,Ramy Bensebaini,"€ 36,538","€ 1,900,000",,"Aug 14, 2019","Jun 30, 2023",1,"€ 1,900,000",,D,LB,27,Reserve,Algeria,,,Monchengladbach,Bundesliga,2022-2023
9,Ko Itakura,"€ 36,346","€ 1,890,000",,"Jul 2, 2022","Jun 30, 2026",4,"€ 7,560,000",,D,CB,26,Starter,Japan,,,Monchengladbach,Bundesliga,2022-2023
10,Marvin Friedrich,"€ 33,654","€ 1,750,000",,"Jan 11, 2022","Jun 30, 2026",4,"€ 7,000,000",,D,CB,27,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
11,Tony Jantschke,"€ 32,692","€ 1,700,000",,"Dec 18, 2020","Jun 30, 2023",1,"€ 1,700,000",,D,CB,32,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
12,Patrick Herrmann,"€ 32,692","€ 1,700,000",,"May 11, 2022","Jun 30, 2024",2,"€ 3,400,000",,F,RW,31,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
13,Florian Neuhaus,"€ 30,769","€ 1,600,000",,"Nov 19, 2019","Jun 30, 2024",2,"€ 3,200,000",,M,CM,25,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
14,Nico Elvedi,"€ 30,769","€ 1,600,000",,"Mar 11, 2021","Jun 30, 2024",2,"€ 3,200,000",,D,CB,26,Starter,Switzerland,,,Monchengladbach,Bundesliga,2022-2023
15,Hannes Wolf,"€ 19,231","€ 1,000,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 2,000,000",,F,AM,23,Starter,Austria,,,Monchengladbach,Bundesliga,2022-2023
16,Nathan N'Goumou,"€ 18,462","€ 960,000",,"Aug 30, 2022","Jun 30, 2027",5,"€ 4,800,000",,F,RW,22,Reserve,France,,,Monchengladbach,Bundesliga,2022-2023
17,Oscar Fraulo,"€ 15,000","€ 780,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 3,120,000",,M,CM,19,Reserve,Denmark,,,Monchengladbach,Bundesliga,2022-2023
18,Conor Noß,"€ 13,846","€ 720,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 1,440,000",,F,AM,22,Reserve,Ireland,,,Monchengladbach,Bundesliga,2022-2023
19,Tobias Sippel,"€ 8,462","€ 440,000",,"Mar 11, 2021","Jun 30, 2023",1,"€ 440,000",,K,GK,34,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
20,Yvandro Borges Sanches,"€ 6,923","€ 360,000",,"Jun 1, 2022","Jun 30, 2025",3,"€ 1,080,000",,F,LW,18,Reserve,Luxembourg,,,Monchengladbach,Bundesliga,2022-2023
21,Jan Olschowsky,"€ 6,923","€ 360,000",,"Feb 7, 2023","Jun 30, 2023",1,"€ 360,000",,K,GK,21,Reserve,Germany,,,Monchengladbach,Bundesliga,2022-2023
22,Kouadio Koné,"€ 6,731","€ 350,000",,"Jan 21, 2021","Jun 30, 2025",3,"€ 1,050,000",,M,CM,21,Starter,France,,,Monchengladbach,Bundesliga,2022-2023
