,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Dan-Axel Zagadou,"€ 54,423","€ 2,830,000",,"Sep 19, 2022","Jun 30, 2026",4,"€ 11,320,000",,D,CB,23,Starter,France,,,Stuttgart,Bundesliga,2022-2023
1,Serhou Guirassy,"€ 41,538","€ 2,160,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 2,160,000",,F,CF,26,Reserve,Guinea,,,Stuttgart,Bundesliga,2022-2023
2,Hiroki Ito,"€ 22,115","€ 1,150,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,450,000",,D,CB,23,Starter,Japan,,,Stuttgart,Bundesliga,2022-2023
3,Silas Wamangituka,"€ 21,923","€ 1,140,000",,"Jan 1, 2023","Jun 30, 2026",4,"€ 4,560,000",,F,RW,24,Reserve,Democratic Republic of the Congo,,,Stuttgart,Bundesliga,2022-2023
4,Josha Vagnoman,"€ 18,077","€ 940,000",,"Jul 9, 2022","Jun 30, 2026",4,"€ 3,760,000",,D,RB,22,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023
5,Konstantinos Mavropanos,"€ 14,615","€ 760,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,280,000",,D,CB,25,Reserve,Greece,,,Stuttgart,Bundesliga,2022-2023
6,Waldemar Anton,"€ 14,423","€ 750,000",,"Nov 5, 2021","Jun 30, 2025",3,"€ 2,250,000",,D,CB,26,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023
7,Pascal Stenzel,"€ 13,654","€ 710,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 1,420,000",,D,RB,26,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023
8,Wataru Endo,"€ 12,692","€ 660,000",,"Nov 26, 2020","Jun 30, 2024",2,"€ 1,320,000",,M,DM,29,Starter,Japan,,,Stuttgart,Bundesliga,2022-2023
9,Borna Sosa,"€ 12,308","€ 640,000",,"Nov 27, 2020","Jun 30, 2025",3,"€ 1,920,000",,D,LB,25,Starter,Croatia,,,Stuttgart,Bundesliga,2022-2023
10,Nikolas Nartey,"€ 11,923","€ 620,000",,"Apr 27, 2022","Jun 30, 2025",3,"€ 1,860,000",,M,CM,22,Reserve,Denmark,,,Stuttgart,Bundesliga,2022-2023
11,Luca Pfeiffer,"€ 11,538","€ 600,000",,"Aug 2, 2022","Jun 30, 2026",4,"€ 2,400,000",,F,CF,26,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023
12,Fabian Bredlow,"€ 9,423","€ 490,000",,"Jan 15, 2021","Jun 30, 2024",2,"€ 980,000",,K,GK,27,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023
13,Atakan Karazor,"€ 9,038","€ 470,000",,"May 19, 2022","Jun 30, 2026",4,"€ 1,880,000",,M,DM,26,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023
14,Juan José Perea,"€ 7,500","€ 390,000",,"Jul 8, 2022","Jun 30, 2026",4,"€ 1,560,000",,F,CF,22,Reserve,Colombia,,,Stuttgart,Bundesliga,2022-2023
