,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jordan Siebatcheu,"€ 33,462","€ 1,740,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 6,960,000",,F,CF,26,Reserve,United States,,,Union Berlin,Bundesliga,2022-2023
1,Robin Knoche,"€ 28,846","€ 1,500,000",,"Apr 1, 2022","Jun 30, 2024",2,"€ 3,000,000",,D,CB,30,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023
2,Timo Baumgartl,"€ 28,269","€ 1,470,000",,"Jun 14, 2022","Jun 30, 2023",1,"€ 1,470,000",,D,CB,26,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023
3,Janik Haberer,"€ 20,769","€ 1,080,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,240,000",,M,CM,28,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023
4,Morten Thorsby,"€ 20,000","€ 1,040,000",,"Jul 19, 2022","Jun 30, 2025",3,"€ 3,120,000",,M,CM,26,Reserve,Norway,,,Union Berlin,Bundesliga,2022-2023
5,Jamie Leweling,"€ 19,615","€ 1,020,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 4,080,000",,F,SS,21,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023
6,Kevin Möhwald,"€ 17,692","€ 920,000",,"Aug 30, 2021","Jun 30, 2023",1,"€ 920,000",,M,CM,29,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023
7,András Schäfer,"€ 17,308","€ 900,000",,"Jan 21, 2022","Jun 30, 2023",1,"€ 900,000",,M,CM,23,Reserve,Hungary,,,Union Berlin,Bundesliga,2022-2023
8,Lennart Grill,"€ 17,308","€ 900,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 900,000",,K,GK,24,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023
9,Levin Öztunali,"€ 16,538","€ 860,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 860,000",,M,CM,26,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023
