,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jiri Pavlenka,"€ 50,000","€ 2,600,000",,"May 17, 2022","Jun 30, 2025",3,"€ 7,800,000",,K,GK,30,Starter,Czech Republic,,,Werder Bremen,Bundesliga,2022-2023
1,Marvin Ducksch,"€ 47,500","€ 2,470,000",,"Aug 25, 2021","Jun 30, 2024",2,"€ 4,940,000",,F,CF,28,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
2,Niclas Füllkrug,"€ 44,231","€ 2,300,000",,"Jul 17, 2022","Jun 30, 2025",3,"€ 6,900,000",,F,CF,29,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
3,Anthony Jung,"€ 43,462","€ 2,260,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 2,260,000",,D,LB,31,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
4,Maximilian Philipp,"€ 40,385","€ 2,100,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 2,100,000",,F,SS,28,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023
5,Mitchell Weiser,"€ 38,077","€ 1,980,000",,"Jul 15, 2022","Jun 30, 2024",2,"€ 3,960,000",,D,RB,28,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
6,Leonardo Bittencourt,"€ 30,769","€ 1,600,000",,"Oct 26, 2022","Jun 30, 2023",1,"€ 1,600,000",,F,AM,29,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
7,Niklas Stark,"€ 27,692","€ 1,440,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 5,760,000",,D,CB,27,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
8,Milos Veljkovic,"€ 17,692","€ 920,000",,"Jun 11, 2022","Jun 30, 2025",3,"€ 2,760,000",,D,CB,27,Starter,Serbia,,,Werder Bremen,Bundesliga,2022-2023
9,Amos Pieper,"€ 14,423","€ 750,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 3,000,000",,D,CB,25,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
10,Ilia Gruev,"€ 13,846","€ 720,000",,"Jun 26, 2022","Jun 30, 2025",3,"€ 2,160,000",,M,DM,22,Reserve,Bulgaria,,,Werder Bremen,Bundesliga,2022-2023
11,Felix Agu,"€ 11,538","€ 600,000",,"Feb 6, 2022","Jun 30, 2024",2,"€ 1,200,000",,D,RB,23,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023
12,Jens Stage,"€ 11,538","€ 600,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 2,400,000",,M,CM,26,Starter,Denmark,,,Werder Bremen,Bundesliga,2022-2023
13,Marco Friedl,"€ 11,154","€ 580,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 2,320,000",,D,CB,24,Reserve,Austria,,,Werder Bremen,Bundesliga,2022-2023
14,Christian Groß,"€ 5,577","€ 290,000",,"Oct 5, 2021","Jun 30, 2023",1,"€ 290,000",,M,DM,33,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023
15,Lee Buchanan,"€ 5,192","€ 270,000",,"Jul 4, 2022","Jun 30, 2026",4,"€ 1,080,000",,D,LB,21,Reserve,England,,,Werder Bremen,Bundesliga,2022-2023
16,Romano Schmid,"€ 4,038","€ 210,000",,"Apr 2, 2022","Jun 30, 2025",3,"€ 630,000",,F,AM,23,Reserve,Austria,,,Werder Bremen,Bundesliga,2022-2023
17,Eduardo Dos Santos Haesler,"€ 4,038","€ 210,000",,"Jul 25, 2019","Jun 30, 2024",2,"€ 420,000",,K,GK,23,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023
18,Eren Dinkci,"€ 3,846","€ 200,000",,"Apr 4, 2022","Jun 30, 2025",3,"€ 600,000",,F,CF,21,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023
