,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Maximilian Arnold,"€ 105,769","€ 5,500,000",,"Feb 12, 2021","Jun 30, 2026",4,"€ 22,000,000",,M,CM,28,Starter,Germany,,,Wolfsburg,Bundesliga,2022-2023
1,Yannick Gerhardt,"€ 69,231","€ 3,600,000",,"Jan 29, 2021","Jun 30, 2025",3,"€ 10,800,000",,M,CM,28,Starter,Germany,,,Wolfsburg,Bundesliga,2022-2023
2,Koen Casteels,"€ 65,385","€ 3,400,000",,"Dec 11, 2019","Jun 30, 2024",2,"€ 6,800,000",,K,GK,30,Starter,Belgium,,,Wolfsburg,Bundesliga,2022-2023
3,Josuha Guilavogui,"€ 55,385","€ 2,880,000",,"May 18, 2019","Jun 30, 2023",1,"€ 2,880,000",,M,DM,32,Reserve,France,,,Wolfsburg,Bundesliga,2022-2023
4,Mattias Svanberg,"€ 54,423","€ 2,830,000",,"Jul 16, 2022","Jun 30, 2027",5,"€ 14,150,000",,M,CM,24,Starter,Sweden,,,Wolfsburg,Bundesliga,2022-2023
5,Jonas Wind,"€ 39,231","€ 2,040,000",,"Jan 31, 2022","Jun 30, 2026",4,"€ 8,160,000",,F,CF,23,Starter,Denmark,,,Wolfsburg,Bundesliga,2022-2023
6,Luca Waldschmidt,"€ 38,462","€ 2,000,000",,"Aug 22, 2021","Jun 30, 2025",3,"€ 6,000,000",,F,SS,26,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
7,Patrick Wimmer,"€ 38,077","€ 1,980,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 9,900,000",,F,RW,21,Starter,Austria,,,Wolfsburg,Bundesliga,2022-2023
8,Sebastiaan Bornauw,"€ 35,192","€ 1,830,000",,"Jul 16, 2021","Jun 30, 2026",4,"€ 7,320,000",,D,CB,23,Starter,Belgium,,,Wolfsburg,Bundesliga,2022-2023
9,Jakub Kaminski,"€ 19,615","€ 1,020,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 5,100,000",,F,LW,20,Starter,Poland,,,Wolfsburg,Bundesliga,2022-2023
10,Bartol Franjic,"€ 18,077","€ 940,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 4,700,000",,M,DM,23,Reserve,Croatia,,,Wolfsburg,Bundesliga,2022-2023
11,Kilian Fischer,"€ 18,077","€ 940,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 4,700,000",,D,RB,22,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
12,Kevin Paredes,"€ 17,308","€ 900,000",,"Jan 28, 2022","Jun 30, 2026",4,"€ 3,600,000",,M,LM,19,Reserve,United States,,,Wolfsburg,Bundesliga,2022-2023
13,Pavao Pervan,"€ 15,385","€ 800,000",,"Jan 29, 2022","Jun 30, 2024",2,"€ 1,600,000",,K,GK,35,Reserve,Austria,,,Wolfsburg,Bundesliga,2022-2023
14,Lukas Nmecha,"€ 11,923","€ 620,000",,"Jul 16, 2021","Jun 30, 2025",3,"€ 1,860,000",,F,CF,24,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
15,Ridle Baku,"€ 11,538","€ 600,000",,"Oct 1, 2020","Jun 30, 2025",3,"€ 1,800,000",,D,RB,24,Starter,Germany,,,Wolfsburg,Bundesliga,2022-2023
16,Paulo Otávio,"€ 9,231","€ 480,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 480,000",,D,LB,28,Starter,Brazil,,,Wolfsburg,Bundesliga,2022-2023
17,Dzenan Pejcinovic,"€ 8,654","€ 450,000",,"Jul 14, 2022","Jun 30, 2027",5,"€ 2,250,000",,F,CF,17,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
18,Micky van de Ven,"€ 8,077","€ 420,000",,"Aug 31, 2021","Jun 30, 2025",3,"€ 1,260,000",,D,CB,21,Starter,Netherlands,,,Wolfsburg,Bundesliga,2022-2023
19,Omar Marmoush,"€ 4,423","€ 230,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 230,000",,F,LW,23,Reserve,Egypt,,,Wolfsburg,Bundesliga,2022-2023
20,Maxence Lacroix,"€ 3,654","€ 190,000",,"Sep 30, 2021","Jun 30, 2025",3,"€ 570,000",,D,CB,22,Reserve,France,,,Wolfsburg,Bundesliga,2022-2023
21,Felix Nmecha,"€ 2,115","€ 110,000",,"Jul 21, 2021","Jun 30, 2024",2,"€ 220,000",,F,AM,22,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
22,Niklas Klinger,"€ 1,154","€ 60,000",,"Apr 8, 2021","Jun 30, 2023",1,"€ 60,000",,K,GK,27,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
23,Philipp Schulze,€ 962,"€ 50,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 50,000",,K,GK,20,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023
24,Nicolas Cozza,€ 0,€ 0,,"Jan 25, 2023","Jun 30, 2027",5,€ 0,,D,LB,24,Reserve,France,,,Wolfsburg,Bundesliga,2022-2023
25,Total,"€ 651,348","€ 33,870,000",€ 0,,,,"€ 116,490,000",€ 0,,,,,,,,Wolfsburg,Bundesliga,2022-2023
