,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Luis Suárez,"€ 31,538","€ 1,640,000",,"Jan 1, 2023","Jun 30, 2023",1,"€ 1,640,000",,F,CF,25,Starter,Colombia,,,Almeria,La Liga,2022-2023
1,Lucas Robertone,"€ 21,923","€ 1,140,000",,"Dec 23, 2022","Jun 30, 2028",6,"€ 6,840,000","€ 40,000,000",M,CM,25,Reserve,Argentina,,,Almeria,La Liga,2022-2023
2,Dyego Sousa,"€ 20,000","€ 1,040,000",,"Mar 23, 2022","Jun 30, 2024",2,"€ 2,080,000",,F,CF,33,Reserve,Portugal,,,Almeria,La Liga,2022-2023
3,Chumi,"€ 18,654","€ 970,000",,"Mar 1, 2022","Jun 30, 2025",3,"€ 2,910,000",,D,CB,23,Reserve,Spain,,,Almeria,La Liga,2022-2023
4,Adrián Embarba,"€ 18,462","€ 960,000",,"Aug 24, 2022","Jun 30, 2026",4,"€ 3,840,000",,F,RW,30,Starter,Spain,,,Almeria,La Liga,2022-2023
5,Francisco Portillo,"€ 16,346","€ 850,000",,"Jul 22, 2021","Jun 30, 2023",1,"€ 850,000",,F,RW,32,Starter,Spain,,,Almeria,La Liga,2022-2023
6,Álex Centelles,"€ 15,385","€ 800,000",,"Jun 4, 2022","Jun 30, 2026",4,"€ 3,200,000",,D,LB,23,Reserve,Spain,,,Almeria,La Liga,2022-2023
7,Alejandro Pozo,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 3,600,000",,D,RB,23,Starter,Spain,,,Almeria,La Liga,2022-2023
8,Iñigo Eguaras,"€ 11,923","€ 620,000",,"Jan 21, 2022","Jun 30, 2024",2,"€ 1,240,000",,M,DM,30,Starter,Spain,,,Almeria,La Liga,2022-2023
9,Léo Baptistão,"€ 11,538","€ 600,000",,"Aug 11, 2022","Jun 30, 2026",4,"€ 2,400,000",,F,SS,30,Reserve,Brazil,,,Almeria,La Liga,2022-2023
