,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Raúl García,"€ 160,000","€ 8,320,000",,"May 9, 2022","Jun 30, 2023",1,"€ 8,320,000",,F,CF,36,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
1,Ander Herrera,"€ 115,385","€ 6,000,000",,"Feb 1, 2023","Jun 30, 2023",1,"€ 6,000,000",,M,CM,33,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
2,Iñaki Williams,"€ 114,808","€ 5,970,000",,"Aug 12, 2019","Jun 30, 2028",6,"€ 35,820,000",,F,CF,28,Starter,Ghana,,,Athletic Club,La Liga,2022-2023
3,Iñigo Martínez,"€ 96,154","€ 5,000,000",,"Jan 30, 2018","Jun 30, 2023",1,"€ 5,000,000",,D,CB,31,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
4,Iker Muniain,"€ 84,615","€ 4,400,000",,"Nov 21, 2018","Jun 30, 2024",2,"€ 8,800,000",,F,AM,30,Starter,Spain,,,Athletic Club,La Liga,2022-2023
5,Unai Simón,"€ 83,654","€ 4,350,000",,"Aug 20, 2020","Jun 30, 2025",3,"€ 13,050,000",,K,GK,25,Starter,Spain,,,Athletic Club,La Liga,2022-2023
6,Yuri Berchiche,"€ 80,769","€ 4,200,000",,"Oct 5, 2021","Jun 30, 2024",2,"€ 8,400,000",,D,LB,32,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
7,Álex Berenguer,"€ 54,808","€ 2,850,000",,"Oct 2, 2020","Jun 30, 2024",2,"€ 5,700,000",,F,LW,27,Starter,Spain,,,Athletic Club,La Liga,2022-2023
8,Dani García,"€ 53,269","€ 2,770,000",,"Feb 16, 2022","Jun 30, 2024",2,"€ 5,540,000",,M,CM,32,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
9,Yeray Álvarez,"€ 49,231","€ 2,560,000",,"Jul 18, 2019","Jun 30, 2026",4,"€ 10,240,000",,D,CB,28,Starter,Spain,,,Athletic Club,La Liga,2022-2023
10,Ander Capa,"€ 48,077","€ 2,500,000",,"Jul 12, 2022","Jun 30, 2024",2,"€ 5,000,000",,D,RB,30,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
11,Nico Williams,"€ 45,192","€ 2,350,000",,"Jan 21, 2022","Jun 30, 2024",2,"€ 4,700,000","€ 50,000,000",F,RW,20,Starter,Spain,,,Athletic Club,La Liga,2022-2023
12,Jon Morcillo,"€ 38,462","€ 2,000,000","€ 500,000","Sep 19, 2022","Jun 30, 2024",2,"€ 4,000,000",,F,LW,24,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
13,Óscar de Marcos,"€ 35,577","€ 1,850,000",,"Apr 26, 2022","Jun 30, 2023",1,"€ 1,850,000",,D,RB,33,Starter,Spain,,,Athletic Club,La Liga,2022-2023
14,Mikel Balenziaga,"€ 31,731","€ 1,650,000",,"Mar 15, 2022","Jun 30, 2023",1,"€ 1,650,000",,D,LB,34,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
15,Iñigo Lekue,"€ 29,808","€ 1,550,000",,"Jan 16, 2018","Jun 30, 2023",1,"€ 1,550,000",,D,RB,29,Starter,Spain,,,Athletic Club,La Liga,2022-2023
16,Oier Zarraga,"€ 28,846","€ 1,500,000",,"Feb 1, 2021","Jun 30, 2023",1,"€ 1,500,000",,M,CM,24,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
17,Oihan Sancet,"€ 26,923","€ 1,400,000",,"Aug 4, 2020","Jun 30, 2024",2,"€ 2,800,000",,F,AM,22,Starter,Spain,,,Athletic Club,La Liga,2022-2023
18,Dani Vivian,"€ 22,692","€ 1,180,000",,"Feb 4, 2022","Jun 30, 2026",4,"€ 4,720,000",,D,CB,23,Starter,Spain,,,Athletic Club,La Liga,2022-2023
19,Mikel Vesga,"€ 11,538","€ 600,000",,"Jan 7, 2021","Jun 30, 2024",2,"€ 1,200,000",,M,DM,29,Starter,Spain,,,Athletic Club,La Liga,2022-2023
20,Julen Agirrezabala,"€ 11,154","€ 580,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,740,000",,K,GK,22,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
21,Gorka Guruzeta,"€ 5,769","€ 300,000",,"Jul 3, 2022","Jun 30, 2024",2,"€ 600,000",,F,CF,26,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
22,Unai Vencedor,"€ 4,615","€ 240,000",,"May 13, 2022","Jun 30, 2027",5,"€ 1,200,000",,M,CM,22,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
23,Aitor Paredes,"€ 3,462","€ 180,000",,"Aug 1, 2020","Jun 30, 2025",3,"€ 540,000",,D,CB,22,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
24,Ander Iru,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2023",1,€ 0,,K,GK,24,Reserve,Spain,,,Athletic Club,La Liga,2022-2023
25,Total,"€ 1,236,539","€ 64,300,000","€ 500,000",,,,"€ 139,920,000","€ 50,000,000",,,,,,,,Athletic Club,La Liga,2022-2023
