,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jan Oblak,"€ 400,577","€ 20,830,000",,"Jul 20, 2022","Jun 30, 2028",6,"€ 124,980,000",,K,GK,30,Starter,Slovenia,,,Atletico Madrid,La Liga,2022-2023
1,Koke,"€ 307,692","€ 16,000,000",,"May 23, 2017","Jun 30, 2024",2,"€ 32,000,000",,M,CM,31,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023
2,Antoine Griezmann,"€ 240,385","€ 12,500,000",,"Aug 31, 2021","Jun 30, 2023",1,"€ 12,500,000",,F,SS,31,Starter,France,,,Atletico Madrid,La Liga,2022-2023
3,Saúl Ñíguez,"€ 230,769","€ 12,000,000",,"Jul 1, 2017","Jun 30, 2026",4,"€ 48,000,000",,M,CM,28,Reserve,Spain,,,Atletico Madrid,La Liga,2022-2023
4,Álvaro Morata,"€ 188,462","€ 9,800,000",,"Sep 21, 2020","Jun 30, 2024",2,"€ 19,600,000",,F,CF,30,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023
5,Memphis Depay,"€ 168,269","€ 8,750,000",,"Jan 20, 2023","Jun 30, 2025",3,"€ 26,250,000",,F,CF,28,Reserve,Netherlands,,,Atletico Madrid,La Liga,2022-2023
6,Axel Witsel,"€ 160,192","€ 8,330,000",,"Feb 22, 2023","Jun 30, 2024",2,"€ 16,660,000",,M,DM,34,Reserve,Belgium,,,Atletico Madrid,La Liga,2022-2023
7,Yannick Carrasco,"€ 145,385","€ 7,560,000",,"Sep 8, 2020","Jun 30, 2024",2,"€ 15,120,000","€ 60,000,000",F,LW,29,Reserve,Belgium,,,Atletico Madrid,La Liga,2022-2023
8,Geoffrey Kondogbia,"€ 132,692","€ 6,900,000",,"Nov 3, 2020","Jun 30, 2024",2,"€ 13,800,000",,M,DM,29,Reserve,Central African Republic,,,Atletico Madrid,La Liga,2022-2023
9,Rodrigo de Paul,"€ 128,269","€ 6,670,000",,"Jul 12, 2021","Jun 30, 2026",4,"€ 26,680,000",,M,CM,28,Starter,Argentina,,,Atletico Madrid,La Liga,2022-2023
10,Stefan Savic,"€ 86,538","€ 4,500,000",,"Aug 11, 2021","Jun 30, 2024",2,"€ 9,000,000",,D,CB,32,Starter,Montenegro,,,Atletico Madrid,La Liga,2022-2023
11,José Giménez,"€ 76,923","€ 4,000,000",,"Aug 12, 2021","Jun 30, 2025",3,"€ 12,000,000",,D,CB,28,Reserve,Uruguay,,,Atletico Madrid,La Liga,2022-2023
12,Ángel Correa,"€ 67,308","€ 3,500,000",,"Jan 4, 2022","Jun 30, 2026",4,"€ 14,000,000",,F,RW,27,Reserve,Argentina,,,Atletico Madrid,La Liga,2022-2023
13,Thomas Lemar,"€ 62,500","€ 3,250,000",,"Jul 1, 2018","Jun 30, 2023",1,"€ 3,250,000",,F,AM,27,Reserve,France,,,Atletico Madrid,La Liga,2022-2023
14,Sergio Reguilón,"€ 61,346","€ 3,190,000",,"Aug 30, 2022","Jun 30, 2023",1,"€ 3,190,000",,D,LB,26,Reserve,Spain,,,Atletico Madrid,La Liga,2022-2023
15,Mario Hermoso,"€ 40,385","€ 2,100,000",,"Jul 18, 2019","Jun 30, 2024",2,"€ 4,200,000",,D,CB,27,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023
16,Marcos Llorente,"€ 40,385","€ 2,100,000",,"Aug 18, 2021","Jun 30, 2027",5,"€ 10,500,000","€ 120,000,000",M,CM,28,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023
17,Nahuel Molina,"€ 23,077","€ 1,200,000",,"Jul 28, 2022","Jun 30, 2027",5,"€ 6,000,000",,D,RB,24,Starter,Argentina,,,Atletico Madrid,La Liga,2022-2023
18,Ivo Grbic,"€ 16,538","€ 860,000",,"Aug 20, 2020","Jun 30, 2024",2,"€ 1,720,000",,K,GK,27,Reserve,Croatia,,,Atletico Madrid,La Liga,2022-2023
19,Reinildo Mandava,"€ 15,385","€ 800,000",,"Jan 31, 2022","Jun 30, 2025",3,"€ 2,400,000",,D,LB,29,Starter,Mozambique,,,Atletico Madrid,La Liga,2022-2023
20,Matt Doherty,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2023",1,€ 0,,D,RB,31,Reserve,Ireland,,,Atletico Madrid,La Liga,2022-2023
21,Pablo Barrios,€ 0,€ 0,,"Jan 23, 2023","Jun 30, 2028",6,€ 0,,M,CM,19,Starter,Spain,,,Atletico Madrid,La Liga,2022-2023
22,João Félix,€ 0,€ 0,,"Jan 11, 2023","Jun 30, 2027",5,€ 0,,F,SS,23,Reserve,Portugal,,,Atletico Madrid,La Liga,2022-2023
23,Total,"€ 2,593,077","€ 134,840,000",€ 0,,,,"€ 401,850,000","€ 180,000,000",,,,,,,,Atletico Madrid,La Liga,2022-2023
