,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Frenkie de Jong,"€ 721,154","€ 37,500,000","€ 6,000,000","Oct 20, 2020","Jun 30, 2026",4,"€ 150,000,000","€ 400,000,000",M,CM,25,Starter,Netherlands,,,Barcelona,La Liga,2022-2023
1,Sergio Busquets,"€ 711,538","€ 37,000,000",,"Sep 27, 2018","Jun 30, 2023",1,"€ 37,000,000","€ 500,000,000",M,DM,34,Reserve,Spain,,,Barcelona,La Liga,2022-2023
2,Robert Lewandowski,"€ 400,577","€ 20,830,000",,"Jul 19, 2022","Jun 30, 2026",4,"€ 83,320,000","€ 500,000,000",F,CF,34,Starter,Poland,,,Barcelona,La Liga,2022-2023
3,Jordi Alba,"€ 400,577","€ 20,830,000",,"Feb 28, 2019","Jun 30, 2024",2,"€ 41,660,000","€ 500,000,000",D,LB,33,Starter,Spain,,,Barcelona,La Liga,2022-2023
4,Gerard Piqué,"€ 283,654","€ 14,750,000",,"Oct 20, 2020","Jun 30, 2024",2,"€ 29,500,000","€ 500,000,000",D,CB,35,Reserve,Spain,,,Barcelona,La Liga,2022-2023
5,Ansu Fati,"€ 268,269","€ 13,950,000",,"Oct 21, 2021","Jun 30, 2027",5,"€ 69,750,000","€ 1,000,000,000",F,LW,20,Reserve,Spain,,,Barcelona,La Liga,2022-2023
6,Jules Koundé,"€ 260,577","€ 13,550,000",,"Jul 28, 2022","Jun 30, 2027",5,"€ 67,750,000","€ 1,000,000,000",D,CB,24,Starter,France,,,Barcelona,La Liga,2022-2023
7,Raphinha,"€ 240,385","€ 12,500,000",,"Jul 13, 2022","Jun 30, 2027",5,"€ 62,500,000","€ 1,000,000,000",F,RW,26,Reserve,Brazil,,,Barcelona,La Liga,2022-2023
8,Ousmane Dembélé,"€ 230,769","€ 12,000,000","€ 3,000,000","Jul 14, 2022","Jun 30, 2024",2,"€ 24,000,000","€ 50,000,000",F,RW,25,Starter,France,,,Barcelona,La Liga,2022-2023
9,Ferran Torres,"€ 192,308","€ 10,000,000","€ 3,000,000","Jan 1, 2022","Jun 30, 2027",5,"€ 50,000,000","€ 1,000,000,000",F,LW,22,Reserve,Spain,,,Barcelona,La Liga,2022-2023
10,Pedri,"€ 180,385","€ 9,380,000",,"Oct 14, 2021","Jun 30, 2026",4,"€ 37,520,000","€ 1,000,000,000",M,CM,20,Starter,Spain,,,Barcelona,La Liga,2022-2023
11,Marc-André ter Stegen,"€ 173,077","€ 9,000,000",,"Oct 20, 2020","Jun 30, 2025",3,"€ 27,000,000","€ 500,000,000",K,GK,30,Starter,Germany,,,Barcelona,La Liga,2022-2023
12,Franck Kessié,"€ 173,077","€ 9,000,000","€ 4,000,000","Jul 4, 2022","Jun 30, 2026",4,"€ 36,000,000","€ 500,000,000",M,CM,26,Reserve,Cote d'Ivoire,,,Barcelona,La Liga,2022-2023
13,Andreas Christensen,"€ 173,077","€ 9,000,000","€ 4,000,000","Jul 4, 2022","Jun 30, 2026",4,"€ 36,000,000","€ 500,000,000",D,CB,26,Starter,Denmark,,,Barcelona,La Liga,2022-2023
14,Ronald Araújo,"€ 134,615","€ 7,000,000",,"Apr 29, 2022","Jun 30, 2026",4,"€ 28,000,000","€ 1,000,000,000",D,CB,23,Starter,Uruguay,,,Barcelona,La Liga,2022-2023
15,Gavi,"€ 130,769","€ 6,800,000",,"Sep 14, 2022","Jun 30, 2026",4,"€ 27,200,000","€ 1,000,000,000",M,CM,18,Starter,Spain,,,Barcelona,La Liga,2022-2023
16,Marcos Alonso,"€ 120,192","€ 6,250,000",,"Jan 27, 2023","Jun 30, 2024",2,"€ 12,500,000","€ 50,000,000",D,LB,32,Reserve,Spain,,,Barcelona,La Liga,2022-2023
