,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Gonzalo Escalante,"€ 56,154","€ 2,920,000",,"Jan 25, 2023","Jun 30, 2023",1,"€ 2,920,000",,M,CM,29,Starter,Argentina,,,Cadiz,La Liga,2022-2023
1,Álvaro Negredo,"€ 24,808","€ 1,290,000",,"Mar 31, 2022","Jun 30, 2023",1,"€ 1,290,000",,F,CF,37,Reserve,Spain,,,Cadiz,La Liga,2022-2023
2,Jeremías Ledesma,"€ 24,615","€ 1,280,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 3,840,000",,K,GK,29,Starter,Argentina,,,Cadiz,La Liga,2022-2023
3,Jorge Meré,"€ 23,077","€ 1,200,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,200,000",,D,CB,25,Reserve,Spain,,,Cadiz,La Liga,2022-2023
4,Théo Bongonda,"€ 23,077","€ 1,200,000",,"Aug 26, 2022","Jun 30, 2026",4,"€ 4,800,000",,F,RW,27,Starter,Democratic Republic of the Congo,,,Cadiz,La Liga,2022-2023
5,Juan Cala,"€ 21,154","€ 1,100,000",,"Jul 17, 2019","Jun 30, 2024",2,"€ 2,200,000",,D,CB,33,Reserve,Spain,,,Cadiz,La Liga,2022-2023
6,Roger Martí,"€ 19,615","€ 1,020,000",,"Jan 26, 2023","Jun 30, 2023",1,"€ 1,020,000",,F,CF,32,Starter,Spain,,,Cadiz,La Liga,2022-2023
7,Luis Hernández,"€ 19,615","€ 1,020,000",,"Nov 4, 2022","Jun 30, 2025",3,"€ 3,060,000",,D,CB,33,Starter,Spain,,,Cadiz,La Liga,2022-2023
8,Joseba Zaldua,"€ 17,308","€ 900,000",,"Jul 11, 2022","Jun 30, 2025",3,"€ 2,700,000",,D,RB,30,Reserve,Spain,,,Cadiz,La Liga,2022-2023
9,Rubén Alcaraz,"€ 14,808","€ 770,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,540,000",,M,CM,31,Starter,Spain,,,Cadiz,La Liga,2022-2023
10,Fede San Emeterio,"€ 13,846","€ 720,000",,"Aug 7, 2022","Jun 30, 2026",4,"€ 2,880,000",,M,CM,25,Reserve,Spain,,,Cadiz,La Liga,2022-2023
11,Rubén Sobrino,"€ 13,462","€ 700,000",,"Aug 30, 2021","Jun 30, 2024",2,"€ 1,400,000",,F,CF,30,Reserve,Spain,,,Cadiz,La Liga,2022-2023
