,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Carles Pérez,"€ 80,192","€ 4,170,000",,"Aug 9, 2022","Jun 30, 2023",1,"€ 4,170,000",,F,RW,24,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
1,Iago Aspas,"€ 50,000","€ 2,600,000",,"Jul 25, 2022","Jun 30, 2025",3,"€ 7,800,000",,F,CF,35,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
2,Hugo Mallo,"€ 49,808","€ 2,590,000",,"Aug 10, 2018","Jun 30, 2023",1,"€ 2,590,000",,D,RB,31,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023
3,Franco Cervi,"€ 48,077","€ 2,500,000",,"Jul 5, 2021","Jun 30, 2024",2,"€ 5,000,000",,F,LW,28,Reserve,Argentina,,,Celta Vigo,La Liga,2022-2023
4,Unai Núñez,"€ 43,077","€ 2,240,000",,"Jul 20, 2022","Jun 30, 2023",1,"€ 2,240,000",,D,CB,26,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023
5,Joseph Aidoo,"€ 37,500","€ 1,950,000",,"Feb 7, 2022","Jun 30, 2026",4,"€ 7,800,000",,D,CB,27,Starter,Ghana,,,Celta Vigo,La Liga,2022-2023
6,Javi Galán,"€ 28,846","€ 1,500,000",,"Jul 31, 2021","Jun 30, 2026",4,"€ 6,000,000","€ 18,000,000",D,LB,28,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
7,Augusto Solari,"€ 25,962","€ 1,350,000",,"Jan 23, 2021","Jun 30, 2023",1,"€ 1,350,000",,F,RW,31,Reserve,Argentina,,,Celta Vigo,La Liga,2022-2023
8,Agustín Marchesín,"€ 24,231","€ 1,260,000",,"Aug 1, 2022","Jun 30, 2025",3,"€ 3,780,000",,K,GK,34,Reserve,Argentina,,,Celta Vigo,La Liga,2022-2023
9,Óscar Rodríguez,"€ 22,115","€ 1,150,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 1,150,000",,F,AM,24,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023
10,Óscar Mingueza,"€ 21,923","€ 1,140,000",,"Jul 30, 2022","Jun 30, 2026",4,"€ 4,560,000",,D,CB,23,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
11,Iván Villar,"€ 19,038","€ 990,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 990,000",,K,GK,25,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
12,Kevin Vázquez,"€ 18,462","€ 960,000",,"Jul 1, 2018","Jun 30, 2023",1,"€ 960,000",,D,RB,29,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023
13,Fran Beltrán,"€ 17,308","€ 900,000",,"Jan 13, 2022","Jun 30, 2026",4,"€ 3,600,000",,M,CM,23,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
14,Gonçalo Paciência,"€ 15,000","€ 780,000",,"Aug 6, 2022","Jun 30, 2025",3,"€ 2,340,000",,F,CF,28,Reserve,Portugal,,,Celta Vigo,La Liga,2022-2023
15,Jörgen Strand Larsen,"€ 8,654","€ 450,000",,"Sep 1, 2022","Jun 30, 2028",6,"€ 2,700,000",,F,CF,22,Starter,Norway,,,Celta Vigo,La Liga,2022-2023
16,Carlos Domínguez,"€ 5,769","€ 300,000",,"Jan 11, 2022","Jun 30, 2026",4,"€ 1,200,000",,D,CB,21,Reserve,Spain,,,Celta Vigo,La Liga,2022-2023
17,Luca de la Torre,"€ 5,192","€ 270,000",,"Jul 8, 2022","Jun 30, 2026",4,"€ 1,080,000",,M,CM,24,Starter,United States,,,Celta Vigo,La Liga,2022-2023
18,Renato Tapia,"€ 5,000","€ 260,000",,"Aug 4, 2020","Jun 30, 2024",2,"€ 520,000",,M,DM,27,Starter,Peru,,,Celta Vigo,La Liga,2022-2023
19,Williot Swedberg,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 1,200,000",,F,AM,19,Reserve,Sweden,,,Celta Vigo,La Liga,2022-2023
20,Gabri Veiga,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2026",4,€ 0,"€ 40,000,000",F,AM,20,Starter,Spain,,,Celta Vigo,La Liga,2022-2023
21,Haris Seferovic,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2023",1,€ 0,,F,CF,30,Reserve,Switzerland,,,Celta Vigo,La Liga,2022-2023
22,Total,"€ 530,769","€ 27,600,000",€ 0,,,,"€ 61,030,000","€ 58,000,000",,,,,,,,Celta Vigo,La Liga,2022-2023
