,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Álex Collado,"€ 57,692","€ 3,000,000",,"Aug 15, 2022","Jun 30, 2023",1,"€ 3,000,000",,F,RW,23,Reserve,Spain,,,Elche,La Liga,2022-2023
1,Ezequiel Ponce,"€ 34,615","€ 1,800,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 7,200,000",,F,CF,25,Starter,Argentina,,,Elche,La Liga,2022-2023
2,Carlos Clerc,"€ 20,769","€ 1,080,000",,"Jul 21, 2022","Jun 30, 2024",2,"€ 2,160,000",,D,LB,30,Starter,Spain,,,Elche,La Liga,2022-2023
3,Pol Lirola,"€ 19,231","€ 1,000,000",,"Aug 12, 2022","Jun 30, 2023",1,"€ 1,000,000",,D,RB,25,Reserve,Spain,,,Elche,La Liga,2022-2023
4,Omar Mascarell,"€ 15,769","€ 820,000",,"Jul 8, 2022","Jun 30, 2025",3,"€ 2,460,000",,M,DM,29,Starter,Spain,,,Elche,La Liga,2022-2023
5,Édgar Badía,"€ 12,500","€ 650,000",,"Aug 10, 2022","Jun 30, 2025",3,"€ 1,950,000",,K,GK,30,Starter,Spain,,,Elche,La Liga,2022-2023
6,Fidel,"€ 11,923","€ 620,000",,"Oct 21, 2021","Jun 30, 2024",2,"€ 1,240,000",,F,LW,33,Reserve,Spain,,,Elche,La Liga,2022-2023
7,José Ángel Carmona,"€ 10,385","€ 540,000",,"Jan 11, 2023","Jun 30, 2023",1,"€ 540,000",,D,RB,21,Starter,Spain,,,Elche,La Liga,2022-2023
8,Raúl Guti,"€ 9,038","€ 470,000",,"Sep 20, 2020","Jun 30, 2025",3,"€ 1,410,000",,M,CM,26,Reserve,Spain,,,Elche,La Liga,2022-2023
9,Pere Milla,"€ 6,538","€ 340,000",,"Jul 2, 2022","Jun 30, 2025",3,"€ 1,020,000",,F,LW,30,Starter,Spain,,,Elche,La Liga,2022-2023
10,Lucas Boyé,"€ 6,154","€ 320,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 640,000",,F,CF,26,Starter,Argentina,,,Elche,La Liga,2022-2023
11,Tete Morente,"€ 5,577","€ 290,000",,"Sep 16, 2020","Jun 30, 2024",2,"€ 580,000",,F,LW,26,Reserve,Spain,,,Elche,La Liga,2022-2023
12,Nicolás Fernández Mercau,"€ 4,615","€ 240,000",,"Sep 1, 2022","Jun 30, 2027",5,"€ 1,200,000",,D,LB,23,Reserve,Argentina,,,Elche,La Liga,2022-2023
13,Randy Nteka,"€ 4,423","€ 230,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 230,000",,F,AM,25,Reserve,France,,,Elche,La Liga,2022-2023
14,Axel Werner,"€ 4,038","€ 210,000",,"Sep 1, 2021","Jun 30, 2023",1,"€ 210,000",,K,GK,26,Reserve,Argentina,,,Elche,La Liga,2022-2023
15,Pedro Bigas,"€ 4,038","€ 210,000",,"Jul 7, 2021","Jun 30, 2023",1,"€ 210,000",,D,CB,32,Reserve,Spain,,,Elche,La Liga,2022-2023
16,Gerard Gumbau,"€ 4,038","€ 210,000",,"Aug 31, 2021","Jun 30, 2023",1,"€ 210,000",,M,DM,28,Starter,Spain,,,Elche,La Liga,2022-2023
17,John Nwankwo,"€ 3,077","€ 160,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 480,000",,D,CB,22,Reserve,Spain,,,Elche,La Liga,2022-2023
18,Gonzalo Verdú,"€ 2,981","€ 155,000",,"Aug 5, 2021","Jun 30, 2023",1,"€ 155,000",,D,CB,34,Reserve,Spain,,,Elche,La Liga,2022-2023
19,Helibelton Palacios,"€ 2,981","€ 155,000",,"Feb 4, 2021","Jun 30, 2023",1,"€ 155,000",,D,RB,29,Starter,Colombia,,,Elche,La Liga,2022-2023
20,Josan,"€ 2,981","€ 155,000",,"Mar 29, 2022","Jun 30, 2023",1,"€ 155,000",,F,RW,33,Reserve,Spain,,,Elche,La Liga,2022-2023
21,Enzo Roco,"€ 2,981","€ 155,000",,"Jul 9, 2021","Jun 30, 2023",1,"€ 155,000",,D,CB,30,Starter,Chile,,,Elche,La Liga,2022-2023
22,Diego González,"€ 2,981","€ 155,000",,"Jun 14, 2022","Jun 30, 2024",2,"€ 310,000",,D,CB,28,Reserve,Spain,,,Elche,La Liga,2022-2023
23,Lautaro Blanco,€ 0,€ 0,,"Aug 5, 2022","Jun 30, 2027",5,€ 0,,D,LB,23,Reserve,Argentina,,,Elche,La Liga,2022-2023
24,Lisandro Magallán,€ 0,€ 0,,"Jan 5, 2023","Jun 30, 2023",1,€ 0,,D,CB,29,Starter,Argentina,,,Elche,La Liga,2022-2023
25,Total,"€ 249,325","€ 12,965,000",€ 0,,,,"€ 26,670,000",€ 0,,,,,,,,Elche,La Liga,2022-2023
