,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRB,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Denis Suárez,"€ 90,000","€ 4,680,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 4,680,000",,F,AM,29,Reserve,Spain,,,Espanyol,La Liga,2022-2023
1,Martin Braithwaite,"€ 51,923","€ 2,700,000",,"Sep 1, 2022","Jun 30, 2025",3,"€ 8,100,000",,F,CF,31,Starter,Denmark,,,Espanyol,La Liga,2022-2023
2,Sergi Darder,"€ 44,038","€ 2,290,000",,"Aug 25, 2022","Jun 30, 2026",4,"€ 9,160,000",,M,CM,29,Starter,Spain,,,Espanyol,La Liga,2022-2023
3,Leandro Cabrera,"€ 28,462","€ 1,480,000",,"Jan 20, 2020","Jun 30, 2024",2,"€ 2,960,000",,D,CB,31,Starter,Uruguay,,,Espanyol,La Liga,2022-2023
4,Joselu,"€ 23,077","€ 1,200,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 3,600,000",,F,CF,32,Reserve,Spain,,,Espanyol,La Liga,2022-2023
5,Fernando Calero,"€ 19,038","€ 990,000",,"Aug 9, 2019","Jun 30, 2024",2,"€ 1,980,000",,D,CB,27,Starter,Spain,,,Espanyol,La Liga,2022-2023
6,Adrià Pedrosa,"€ 18,462","€ 960,000",,"May 22, 2019","Jun 30, 2023",1,"€ 960,000",,D,LB,24,Reserve,Spain,,,Espanyol,La Liga,2022-2023
7,Edu Expósito,"€ 13,846","€ 720,000",,"Aug 8, 2022","Jun 30, 2027",5,"€ 3,600,000",,M,CM,26,Reserve,Spain,,,Espanyol,La Liga,2022-2023
8,Keidi Bare,"€ 13,462","€ 700,000",,"Sep 22, 2020","Jun 30, 2024",2,"€ 1,400,000",,M,CM,25,Reserve,Albania,,,Espanyol,La Liga,2022-2023
9,Sergi Gómez,"€ 12,500","€ 650,000",,"Jul 28, 2021","Jun 30, 2024",2,"€ 1,300,000",,D,CB,30,Reserve,Spain,,,Espanyol,La Liga,2022-2023
10,Dani Gómez,"€ 12,500","€ 650,000",,"Aug 22, 2022","Jun 30, 2023",1,"€ 650,000",,F,CF,24,Reserve,Spain,,,Espanyol,La Liga,2022-2023
11,Brian Oliván,"€ 10,385","€ 540,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,620,000",,D,LB,28,Starter,Spain,,,Espanyol,La Liga,2022-2023
12,Óscar Gil,"€ 10,000","€ 520,000",,"Sep 7, 2020","Jun 30, 2024",2,"€ 1,040,000",,D,RB,24,Starter,Spain,,,Espanyol,La Liga,2022-2023
13,Javi Puado,"€ 9,615","€ 500,000",,"Jul 11, 2021","Jun 30, 2025",3,"€ 1,500,000",,F,LW,24,Starter,Spain,,,Espanyol,La Liga,2022-2023
14,José Gragera,"€ 9,231","€ 480,000",,"Jan 31, 2023","Jun 30, 2028",6,"€ 2,880,000",,M,CM,22,Reserve,Spain,,,Espanyol,La Liga,2022-2023
15,Nico Melamed,"€ 8,846","€ 460,000",,"Oct 8, 2020","Jun 30, 2024",2,"€ 920,000",,F,LW,21,Starter,Spain,,,Espanyol,La Liga,2022-2023
16,José Carlos Lazo,"€ 8,077","€ 420,000",,"Aug 24, 2022","Jun 30, 2027",5,"€ 2,100,000",,F,LW,26,Reserve,Spain,,,Espanyol,La Liga,2022-2023
17,Vinicius Souza,"€ 8,077","€ 420,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 420,000",,M,DM,23,Starter,Brazil,,,Espanyol,La Liga,2022-2023
18,Álvaro Fernández,"€ 7,500","€ 390,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 390,000",,K,GK,24,Starter,Spain,,,Espanyol,La Liga,2022-2023
19,Aleix Vidal,"€ 4,231","€ 220,000",,"Aug 18, 2021","Jun 30, 2023",1,"€ 220,000",,D,RB,33,Starter,Spain,,,Espanyol,La Liga,2022-2023
20,Joan García,"€ 3,846","€ 200,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 600,000",,K,GK,21,Reserve,Spain,,,Espanyol,La Liga,2022-2023
21,Ronaël Pierre-Gabriel,€ 0,€ 0,,"Jan 18, 2023","Jun 30, 2023",1,€ 0,,D,RB,24,Reserve,France,,,Espanyol,La Liga,2022-2023
22,Rubén Sánchez,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2024",2,€ 0,,D,RB,21,Reserve,Spain,,,Espanyol,La Liga,2022-2023
23,Simo Keddari,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2026",4,€ 0,,D,CB,17,Reserve,Spain,,,Espanyol,La Liga,2022-2023
24,Fernando Pacheco,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2026",4,€ 0,,K,GK,30,Reserve,Spain,,,Espanyol,La Liga,2022-2023
25,Omar El Hilali,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2023",1,€ 0,,D,RB,19,Reserve,Morocco,,,Espanyol,La Liga,2022-2023
26,César Montes,€ 0,€ 0,,"Jan 1, 2023","Jun 30, 2028",6,€ 0,,D,CB,25,Reserve,Mexico,,,Espanyol,La Liga,2022-2023
27,Total,"€ 407,116","€ 21,170,000",€ 0,,,,"€ 50,080,000",€ 0,,,,,,,,Espanyol,La Liga,2022-2023
