,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Munir El Haddadi,"€ 100,962","€ 5,250,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 5,250,000",,F,CF,27,Reserve,Morocco,,,Getafe,La Liga,2022-2023
1,Borja Mayoral,"€ 92,115","€ 4,790,000",,"Aug 1, 2022","Jun 30, 2027",5,"€ 23,950,000","€ 20,000,000",F,CF,25,Starter,Spain,,,Getafe,La Liga,2022-2023
2,Gonzalo Villar,"€ 48,077","€ 2,500,000",,"Jan 13, 2023","Jun 30, 2023",1,"€ 2,500,000",,M,CM,24,Starter,Spain,,,Getafe,La Liga,2022-2023
3,Kiko Casilla,"€ 46,154","€ 2,400,000",,"Aug 10, 2022","Jun 30, 2023",1,"€ 2,400,000",,K,GK,36,Reserve,Spain,,,Getafe,La Liga,2022-2023
4,Djené,"€ 42,308","€ 2,200,000",,"Jul 24, 2017","Jun 30, 2023",1,"€ 2,200,000",,D,CB,31,Reserve,Togo,,,Getafe,La Liga,2022-2023
5,Jaime Mata,"€ 41,154","€ 2,140,000",,"Jan 6, 2021","Jun 30, 2024",2,"€ 4,280,000",,F,CF,34,Reserve,Spain,,,Getafe,La Liga,2022-2023
6,Portu,"€ 40,577","€ 2,110,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 2,110,000",,F,RW,30,Reserve,Spain,,,Getafe,La Liga,2022-2023
7,Nemanja Maksimović,"€ 40,000","€ 2,080,000",,"Jul 16, 2018","Jun 30, 2024",2,"€ 4,160,000",,M,CM,28,Reserve,Serbia,,,Getafe,La Liga,2022-2023
8,Gastón Álvarez,"€ 34,615","€ 1,800,000",,"Jan 28, 2022","Jun 30, 2023",1,"€ 1,800,000",,D,CB,22,Starter,Uruguay,,,Getafe,La Liga,2022-2023
9,Mauro Arambarri,"€ 29,423","€ 1,530,000",,"Feb 6, 2023","Jun 30, 2023",1,"€ 1,530,000",,M,CM,27,Starter,Uruguay,,,Getafe,La Liga,2022-2023
10,David Soria,"€ 29,038","€ 1,510,000",,"May 25, 2021","Jun 30, 2023",1,"€ 1,510,000",,K,GK,29,Starter,Spain,,,Getafe,La Liga,2022-2023
11,Omar Alderete,"€ 23,077","€ 1,200,000",,"Aug 19, 2022","Jun 30, 2023",1,"€ 1,200,000",,D,CB,26,Starter,Paraguay,,,Getafe,La Liga,2022-2023
12,Domingos Duarte,"€ 20,769","€ 1,080,000",,"Jul 11, 2022","Jun 30, 2026",4,"€ 4,320,000",,D,CB,27,Starter,Portugal,,,Getafe,La Liga,2022-2023
13,Jordan Amavi,"€ 19,615","€ 1,020,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 1,020,000",,D,LB,28,Reserve,France,,,Getafe,La Liga,2022-2023
14,Enes Ünal,"€ 16,538","€ 860,000",,"Aug 12, 2020","Jun 30, 2025",3,"€ 2,580,000",,F,CF,25,Starter,Turkey,,,Getafe,La Liga,2022-2023
15,Luis Milla,"€ 15,000","€ 780,000",,"Jul 25, 2022","Jun 30, 2027",5,"€ 3,900,000",,M,CM,28,Starter,Spain,,,Getafe,La Liga,2022-2023
16,Carles Aleñá,"€ 12,115","€ 630,000",,"Jul 10, 2021","Jun 30, 2026",4,"€ 2,520,000",,M,CM,25,Starter,Spain,,,Getafe,La Liga,2022-2023
17,Damián Suárez,"€ 11,923","€ 620,000",,"May 20, 2022","Jun 30, 2023",1,"€ 620,000",,D,RB,34,Reserve,Uruguay,,,Getafe,La Liga,2022-2023
18,Fabrizio Angileri,"€ 11,538","€ 600,000",,"Jul 14, 2022","Jun 30, 2026",4,"€ 2,400,000",,D,LB,28,Reserve,Argentina,,,Getafe,La Liga,2022-2023
19,Jaime Seoane,"€ 10,385","€ 540,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,620,000",,M,CM,26,Starter,Spain,,,Getafe,La Liga,2022-2023
20,Stefan Mitrović,"€ 4,808","€ 250,000",,"Jul 6, 2021","Jun 30, 2024",2,"€ 500,000",,D,CB,32,Reserve,Serbia,,,Getafe,La Liga,2022-2023
21,Juanmi Latasa,"€ 4,038","€ 210,000",,"Aug 26, 2022","Jun 30, 2023",1,"€ 210,000",,F,CF,21,Reserve,Spain,,,Getafe,La Liga,2022-2023
22,Juan Iglesias,"€ 3,462","€ 180,000",,"Aug 19, 2021","Jun 30, 2026",4,"€ 720,000",,D,RB,24,Reserve,Spain,,,Getafe,La Liga,2022-2023
23,Ángel Algobia,"€ 3,462","€ 180,000",,"Aug 11, 2022","Jun 30, 2023",1,"€ 180,000",,M,DM,23,Reserve,Spain,,,Getafe,La Liga,2022-2023
24,Diego Conde,"€ 2,981","€ 155,000",,"Jul 28, 2021","Jun 30, 2024",2,"€ 310,000",,K,GK,24,Reserve,Spain,,,Getafe,La Liga,2022-2023
25,Total,"€ 704,134","€ 36,615,000",€ 0,,,,"€ 73,790,000","€ 20,000,000",,,,,,,,Getafe,La Liga,2022-2023
