,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,David López,"€ 69,231","€ 3,600,000",,"Jul 25, 2022","Jun 30, 2023",1,"€ 3,600,000",,D,CB,33,Reserve,Spain,,,Girona,La Liga,2022-2023
1,Oriol Romeu,"€ 57,692","€ 3,000,000",,"Sep 1, 2022","Jun 30, 2025",3,"€ 9,000,000",,M,DM,31,Starter,Spain,,,Girona,La Liga,2022-2023
2,Yangel Herrera,"€ 20,769","€ 1,080,000",,"Aug 2, 2022","Jun 30, 2023",1,"€ 1,080,000",,M,CM,25,Reserve,Venezuela,,,Girona,La Liga,2022-2023
3,Iván Martín,"€ 20,000","€ 1,040,000",,"Jan 27, 2022","Jun 30, 2023",1,"€ 1,040,000",,F,AM,23,Starter,Spain,,,Girona,La Liga,2022-2023
4,Valentín Castellanos,"€ 17,500","€ 910,000",,"Jul 25, 2022","Jun 30, 2023",1,"€ 910,000",,F,CF,24,Starter,Argentina,,,Girona,La Liga,2022-2023
5,Paulo Gazzaniga,"€ 15,577","€ 810,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 810,000",,K,GK,31,Starter,Argentina,,,Girona,La Liga,2022-2023
6,Miguel Gutiérrez,"€ 15,000","€ 780,000",,"Aug 5, 2022","Jun 30, 2027",5,"€ 3,900,000","€ 40,000,000",D,LB,21,Starter,Spain,,,Girona,La Liga,2022-2023
7,Reinier,"€ 11,538","€ 600,000",,"Aug 19, 2022","Jun 30, 2023",1,"€ 600,000",,F,AM,21,Reserve,Brazil,,,Girona,La Liga,2022-2023
8,Toni Villa,"€ 10,385","€ 540,000",,"Sep 1, 2022","Jun 30, 2025",3,"€ 1,620,000",,F,LW,28,Starter,Spain,,,Girona,La Liga,2022-2023
9,Yan Couto,"€ 9,231","€ 480,000",,"Jul 25, 2022","Jun 30, 2023",1,"€ 480,000",,D,RB,20,Reserve,Brazil,,,Girona,La Liga,2022-2023
10,Rodrigo Riquelme,"€ 7,500","€ 390,000",,"Aug 1, 2022","Jun 30, 2023",1,"€ 390,000",,F,RW,22,Reserve,Spain,,,Girona,La Liga,2022-2023
11,Juan Carlos,"€ 7,115","€ 370,000",,"Jun 29, 2021","Jun 30, 2023",1,"€ 370,000",,K,GK,35,Reserve,Spain,,,Girona,La Liga,2022-2023
12,Borja García,"€ 5,962","€ 310,000",,"Sep 3, 2021","Jun 30, 2023",1,"€ 310,000",,F,AM,32,Starter,Spain,,,Girona,La Liga,2022-2023
13,Cristhian Stuani,"€ 5,577","€ 290,000",,"Jul 21, 2017","Jun 30, 2026",4,"€ 1,160,000",,F,CF,36,Reserve,Uruguay,,,Girona,La Liga,2022-2023
14,Juanpe,"€ 5,577","€ 290,000",,"Jul 7, 2016","Jun 30, 2023",1,"€ 290,000",,D,CB,31,Reserve,Spain,,,Girona,La Liga,2022-2023
15,Bernardo Espinosa,"€ 4,808","€ 250,000",,"Jul 7, 2017","Jun 30, 2023",1,"€ 250,000",,D,CB,33,Starter,Colombia,,,Girona,La Liga,2022-2023
16,Javi Hernández,"€ 4,038","€ 210,000",,"Aug 19, 2022","Jun 30, 2023",1,"€ 210,000",,D,LB,24,Reserve,Spain,,,Girona,La Liga,2022-2023
17,Ibrahima Kébé,"€ 3,462","€ 180,000",,"Aug 31, 2021","Jun 30, 2024",2,"€ 360,000",,M,DM,22,Reserve,Mali,,,Girona,La Liga,2022-2023
18,Arnau Martínez,"€ 3,077","€ 160,000",,"Jan 3, 2022","Jun 30, 2025",3,"€ 480,000",,D,RB,19,Starter,Spain,,,Girona,La Liga,2022-2023
19,Toni Fuidias,"€ 3,077","€ 160,000",,"Sep 1, 2022","Jun 30, 2025",3,"€ 480,000",,K,GK,21,Reserve,Spain,,,Girona,La Liga,2022-2023
20,Valery Fernández,"€ 2,981","€ 155,000",,"Feb 8, 2023","Jun 30, 2023",1,"€ 155,000",,F,RW,23,Reserve,Spain,,,Girona,La Liga,2022-2023
21,Santiago Bueno,"€ 2,981","€ 155,000",,"Jan 23, 2023","Jun 30, 2026",4,"€ 620,000",,D,CB,24,Starter,Uruguay,,,Girona,La Liga,2022-2023
22,Aleix García,"€ 2,981","€ 155,000",,"Jul 23, 2021","Jun 30, 2023",1,"€ 155,000",,M,CM,25,Starter,Spain,,,Girona,La Liga,2022-2023
23,Alexander Callens,€ 0,€ 0,,"Jan 23, 2023","Jun 30, 2025",3,€ 0,,D,CB,30,Reserve,Peru,,,Girona,La Liga,2022-2023
24,Viktor Tsyhankov,€ 0,€ 0,,"Jan 17, 2023","Jun 30, 2027",5,€ 0,,F,RW,25,Reserve,Ukraine,,,Girona,La Liga,2022-2023
25,Total,"€ 306,059","€ 15,915,000",€ 0,,,,"€ 28,270,000","€ 40,000,000",,,,,,,,Girona,La Liga,2022-2023
