,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 23, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRB,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Vedat Muriqi,"€ 88,077","€ 4,580,000",,"Jul 22, 2022","Jun 30, 2027",5,"€ 22,900,000",,F,CF,28,Starter,Kosovo,,,Mallorca,La Liga,2022-2023
1,Rodrigo Battaglia,"€ 25,385","€ 1,320,000",,"Jul 29, 2022","Jun 30, 2024",2,"€ 2,640,000",,M,DM,31,Reserve,Argentina,,,Mallorca,La Liga,2022-2023
2,Manu Morlanes,"€ 25,192","€ 1,310,000",,"Jan 31, 2023","Jun 23, 2023",1,"€ 1,310,000",,M,CM,24,Reserve,Spain,,,Mallorca,La Liga,2022-2023
3,Tino Kadewere,"€ 20,769","€ 1,080,000",,"Aug 29, 2022","Jun 30, 2023",1,"€ 1,080,000",,F,CF,27,Reserve,Zimbabwe,,,Mallorca,La Liga,2022-2023
4,Ludwig Augustinsson,"€ 20,577","€ 1,070,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 1,070,000",,D,LB,28,Starter,Sweden,,,Mallorca,La Liga,2022-2023
5,Pablo Maffeo,"€ 18,846","€ 980,000",,"Jun 10, 2022","Jun 30, 2026",4,"€ 3,920,000",,D,RB,25,Starter,Spain,,,Mallorca,La Liga,2022-2023
6,Predrag Rajković,"€ 16,154","€ 840,000",,"Jul 22, 2022","Jun 30, 2026",4,"€ 3,360,000",,K,GK,27,Starter,Serbia,,,Mallorca,La Liga,2022-2023
7,Iddrisu Baba,"€ 15,769","€ 820,000",,"Jul 22, 2019","Jun 30, 2024",2,"€ 1,640,000",,M,CM,27,Starter,Ghana,,,Mallorca,La Liga,2022-2023
8,Giovanni González,"€ 15,385","€ 800,000",,"Jan 29, 2022","Jun 30, 2024",2,"€ 1,600,000",,D,RB,28,Reserve,Uruguay,,,Mallorca,La Liga,2022-2023
9,Antonio Raíllo,"€ 15,000","€ 780,000",,"Jun 29, 2020","Jun 30, 2024",2,"€ 1,560,000",,D,CB,31,Starter,Spain,,,Mallorca,La Liga,2022-2023
10,Martin Valjent,"€ 13,462","€ 700,000",,"Feb 23, 2021","Jun 30, 2025",3,"€ 2,100,000",,D,CB,27,Starter,Slovakia,,,Mallorca,La Liga,2022-2023
11,Iñigo Ruiz de Galarreta,"€ 12,692","€ 660,000",,"Sep 1, 2019","Jun 30, 2023",1,"€ 660,000",,M,CM,29,Starter,Spain,,,Mallorca,La Liga,2022-2023
12,Clément Grenier,"€ 10,385","€ 540,000",,"Jun 15, 2022","Jun 30, 2024",2,"€ 1,080,000",,M,CM,32,Reserve,France,,,Mallorca,La Liga,2022-2023
13,Dani Rodríguez,"€ 8,462","€ 440,000",,"Jun 1, 2022","Jun 30, 2024",2,"€ 880,000",,F,AM,34,Starter,Spain,,,Mallorca,La Liga,2022-2023
14,Amath Ndiaye,"€ 8,077","€ 420,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 1,260,000",,F,LW,26,Reserve,Senegal,,,Mallorca,La Liga,2022-2023
15,Antonio Sánchez,"€ 7,500","€ 390,000",,"Jun 9, 2021","Jun 30, 2024",2,"€ 780,000",,M,CM,25,Reserve,Spain,,,Mallorca,La Liga,2022-2023
16,Matija Nastasić,"€ 6,923","€ 360,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 360,000",,D,CB,29,Starter,Serbia,,,Mallorca,La Liga,2022-2023
17,Ángel Rodríguez,"€ 6,538","€ 340,000",,"Jul 2, 2021","Jun 30, 2023",1,"€ 340,000",,F,CF,35,Reserve,Spain,,,Mallorca,La Liga,2022-2023
18,Jaume Costa,"€ 6,346","€ 330,000",,"Jul 7, 2021","Jun 30, 2023",1,"€ 330,000",,D,LB,34,Reserve,Spain,,,Mallorca,La Liga,2022-2023
19,Dominik Greif,"€ 5,769","€ 300,000",,"Jul 6, 2021","Jun 30, 2026",4,"€ 1,200,000",,K,GK,25,Reserve,Slovakia,,,Mallorca,La Liga,2022-2023
20,Leo Román,"€ 5,192","€ 270,000",,"Jul 12, 2022","Jun 30, 2026",4,"€ 1,080,000",,K,GK,22,Reserve,Spain,,,Mallorca,La Liga,2022-2023
21,Kang-in Lee,"€ 4,808","€ 250,000",,"Aug 30, 2021","Jun 30, 2025",3,"€ 750,000","€ 30,000,000",F,AM,21,Starter,South Korea,,,Mallorca,La Liga,2022-2023
22,Abdón Prats,"€ 4,423","€ 230,000",,"May 11, 2021","Jun 30, 2024",2,"€ 460,000",,F,CF,30,Reserve,Spain,,,Mallorca,La Liga,2022-2023
23,José Copete,"€ 4,038","€ 210,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 840,000",,D,CB,23,Reserve,Spain,,,Mallorca,La Liga,2022-2023
24,Dennis Hadzikadunic,€ 0,€ 0,,"Jan 18, 2023","Jun 30, 2023",1,€ 0,,D,CB,24,Reserve,Bosnia-Herzegovina,,,Mallorca,La Liga,2022-2023
25,Braian Cufré,€ 0,€ 0,,"Sep 28, 2020","Jun 30, 2024",2,€ 0,,D,LB,26,Reserve,Argentina,,,Mallorca,La Liga,2022-2023
26,Total,"€ 365,769","€ 19,020,000",€ 0,,,,"€ 53,200,000","€ 30,000,000",,,,,,,,Mallorca,La Liga,2022-2023
