,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Raúl de Tomás,"€ 72,115","€ 3,750,000",,"Sep 13, 2022","Jun 30, 2027",5,"€ 18,750,000",,F,CF,28,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
1,Florian Lejeune,"€ 27,500","€ 1,430,000",,"Jul 29, 2022","Jun 30, 2023",1,"€ 1,430,000",,D,CB,31,Starter,France,,,Rayo Vallecano,La Liga,2022-2023
2,Falcao,"€ 23,077","€ 1,200,000",,"Sep 4, 2021","Jun 30, 2023",1,"€ 1,200,000",,F,CF,36,Reserve,Colombia,,,Rayo Vallecano,La Liga,2022-2023
3,Diego López,"€ 17,308","€ 900,000",,"Jul 2, 2022","Jun 30, 2023",1,"€ 900,000",,K,GK,41,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
4,Álvaro García,"€ 15,385","€ 800,000",,"Oct 21, 2021","Jun 30, 2026",4,"€ 3,200,000",,F,LW,30,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
5,Abdul Mumin,"€ 14,038","€ 730,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 2,920,000",,D,CB,24,Reserve,Ghana,,,Rayo Vallecano,La Liga,2022-2023
6,Stole Dimitrievski,"€ 13,462","€ 700,000",,"Jan 27, 2020","Jun 30, 2024",2,"€ 1,400,000",,K,GK,29,Starter,North Macedonia,,,Rayo Vallecano,La Liga,2022-2023
7,Óscar Trejo,"€ 11,923","€ 620,000",,"Oct 6, 2022","Jun 30, 2024",2,"€ 1,240,000",,F,AM,34,Starter,Argentina,,,Rayo Vallecano,La Liga,2022-2023
8,Esteban Saveljich,"€ 11,923","€ 620,000",,"Jul 26, 2019","Jun 30, 2023",1,"€ 620,000",,D,CB,31,Reserve,Montenegro,,,Rayo Vallecano,La Liga,2022-2023
9,José Pozo,"€ 11,538","€ 600,000",,"Jan 5, 2022","Jun 30, 2024",2,"€ 1,200,000",,F,AM,26,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
10,Unai López,"€ 11,346","€ 590,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,180,000",,M,CM,27,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
11,Mario Suárez,"€ 10,962","€ 570,000",,"Jan 31, 2019","Jun 30, 2023",1,"€ 570,000",,D,CB,35,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
12,Sergio Camello,"€ 10,385","€ 540,000",,"Aug 3, 2022","Jun 30, 2023",1,"€ 540,000",,F,CF,21,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
13,Santi Comesaña,"€ 10,000","€ 520,000",,"Jul 16, 2016","Jun 30, 2023",1,"€ 520,000",,M,CM,26,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
14,Alejandro Catena,"€ 8,462","€ 440,000",,"Jan 16, 2020","Jun 30, 2023",1,"€ 440,000",,D,CB,28,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
15,Pep Chavarría,"€ 6,923","€ 360,000",,"Aug 31, 2022","Jun 30, 2027",5,"€ 1,800,000",,D,LB,24,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
16,Salvi Sánchez,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 720,000",,F,RW,31,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
17,Pathé Ciss,"€ 6,538","€ 340,000",,"Jul 28, 2021","Jun 30, 2025",3,"€ 1,020,000",,M,CM,28,Reserve,Senegal,,,Rayo Vallecano,La Liga,2022-2023
18,Iván Balliu,"€ 6,346","€ 330,000",,"Jul 7, 2022","Jun 30, 2025",3,"€ 990,000",,D,RB,31,Starter,Albania,,,Rayo Vallecano,La Liga,2022-2023
19,Óscar Valentín,"€ 4,423","€ 230,000",,"Oct 4, 2021","Jun 30, 2025",3,"€ 690,000",,M,CM,28,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
20,Isi Palazón,"€ 3,269","€ 170,000",,"Dec 10, 2021","Jun 30, 2025",3,"€ 510,000",,F,RW,28,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
21,Fran García,"€ 3,269","€ 170,000",,"Jul 13, 2021","Jun 30, 2025",3,"€ 510,000",,D,LB,23,Starter,Spain,,,Rayo Vallecano,La Liga,2022-2023
22,Mario Hernández,"€ 3,077","€ 160,000",,"Dec 18, 2020","Jun 30, 2023",1,"€ 160,000",,D,RB,24,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
23,Andrés Martín,"€ 3,077","€ 160,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 320,000",,F,CF,23,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
24,Miguel Ángel Morro,"€ 2,981","€ 155,000",,"Aug 1, 2020","Jun 30, 2023",1,"€ 155,000",,K,GK,22,Reserve,Spain,,,Rayo Vallecano,La Liga,2022-2023
25,Total,"€ 316,250","€ 16,445,000",€ 0,,,,"€ 42,985,000",€ 0,,,,,,,,Rayo Vallecano,La Liga,2022-2023
