,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Eden Hazard,"€ 600,962","€ 31,250,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 62,500,000","€ 250,000,000",F,LW,32,Reserve,Belgium,,,Real Madrid,La Liga,2022-2023
1,Toni Kroos,"€ 468,846","€ 24,380,000",,"May 20, 2019","Jun 30, 2023",1,"€ 24,380,000","€ 500,000,000",M,CM,33,Starter,Germany,,,Real Madrid,La Liga,2022-2023
2,Karim Benzema,"€ 461,538","€ 24,000,000",,"Aug 20, 2021","Jun 30, 2023",1,"€ 24,000,000","€ 1,000,000,000",F,CF,35,Starter,France,,,Real Madrid,La Liga,2022-2023
3,David Alaba,"€ 432,692","€ 22,500,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 90,000,000","€ 850,000,000",D,CB,30,Reserve,Austria,,,Real Madrid,La Liga,2022-2023
4,Luka Modric,"€ 420,769","€ 21,880,000",,"Jun 8, 2022","Jun 30, 2023",1,"€ 21,880,000","€ 750,000,000",M,CM,37,Starter,Croatia,,,Real Madrid,La Liga,2022-2023
5,Vinicius Junior,"€ 400,577","€ 20,830,000",,"Jul 12, 2018","Jun 30, 2024",2,"€ 41,660,000","€ 1,000,000,000",F,LW,22,Starter,Brazil,,,Real Madrid,La Liga,2022-2023
6,Thibaut Courtois,"€ 288,462","€ 15,000,000",,"Aug 16, 2021","Jun 30, 2026",4,"€ 60,000,000","€ 700,000,000",K,GK,30,Starter,Belgium,,,Real Madrid,La Liga,2022-2023
7,Antonio Rüdiger,"€ 280,385","€ 14,580,000","€ 4,170,000","Jul 1, 2022","Jun 30, 2026",4,"€ 58,320,000","€ 400,000,000",D,CB,29,Starter,Germany,,,Real Madrid,La Liga,2022-2023
8,Aurélien Tchouameni,"€ 240,385","€ 12,500,000",,"Jul 1, 2022","Jun 30, 2028",6,"€ 75,000,000",,M,DM,23,Reserve,France,,,Real Madrid,La Liga,2022-2023
9,Ferland Mendy,"€ 200,385","€ 10,420,000",,"Jul 1, 2019","Jun 30, 2025",3,"€ 31,260,000",,D,LB,27,Reserve,France,,,Real Madrid,La Liga,2022-2023
10,Daniel Carvajal,"€ 200,385","€ 10,420,000",,"Jul 29, 2021","Jun 30, 2025",3,"€ 31,260,000","€ 350,000,000",D,RB,31,Reserve,Spain,,,Real Madrid,La Liga,2022-2023
11,Marco Asensio,"€ 189,038","€ 9,830,000",,"Sep 28, 2017","Jun 30, 2023",1,"€ 9,830,000","€ 700,000,000",F,RW,27,Reserve,Spain,,,Real Madrid,La Liga,2022-2023
12,Lucas Vázquez,"€ 180,385","€ 9,380,000",,"Jun 3, 2021","Jun 30, 2024",2,"€ 18,760,000","€ 150,000,000",D,RB,31,Reserve,Spain,,,Real Madrid,La Liga,2022-2023
13,Nacho Fernández,"€ 164,231","€ 8,540,000",,"Jul 8, 2021","Jun 30, 2023",1,"€ 8,540,000","€ 200,000,000",D,CB,33,Starter,Spain,,,Real Madrid,La Liga,2022-2023
14,Eduardo Camavinga,"€ 160,192","€ 8,330,000",,"Aug 31, 2021","Jun 30, 2027",5,"€ 41,650,000","€ 700,000,000",M,CM,20,Starter,France,,,Real Madrid,La Liga,2022-2023
15,Rodrygo,"€ 160,192","€ 8,330,000",,"Jul 1, 2019","Jun 30, 2025",3,"€ 24,990,000","€ 1,000,000,000",F,RW,22,Starter,Brazil,,,Real Madrid,La Liga,2022-2023
16,Mariano Díaz,"€ 160,192","€ 8,330,000",,"Aug 29, 2018","Jun 30, 2023",1,"€ 8,330,000",,F,CF,29,Reserve,Dominican Republic,,,Real Madrid,La Liga,2022-2023
17,Federico Valverde,"€ 156,346","€ 8,130,000",,"Aug 24, 2021","Jun 30, 2027",5,"€ 40,650,000","€ 1,000,000,000",M,CM,24,Starter,Uruguay,,,Real Madrid,La Liga,2022-2023
18,Álvaro Odriozola,"€ 140,192","€ 7,290,000",,"Jul 5, 2018","Jun 30, 2024",2,"€ 14,580,000",,D,RB,27,Reserve,Spain,,,Real Madrid,La Liga,2022-2023
19,Éder Militão,"€ 140,192","€ 7,290,000","€ 1,040,000","Jul 1, 2019","Jun 30, 2025",3,"€ 21,870,000","€ 500,000,000",D,CB,25,Starter,Brazil,,,Real Madrid,La Liga,2022-2023
20,Dani Ceballos,"€ 60,192","€ 3,130,000",,"Jul 14, 2017","Jun 30, 2023",1,"€ 3,130,000",,M,CM,26,Reserve,Spain,,,Real Madrid,La Liga,2022-2023
21,Andriy Lunin,"€ 54,038","€ 2,810,000",,"Jul 1, 2018","Jun 30, 2024",2,"€ 5,620,000",,K,GK,23,Reserve,Ukraine,,,Real Madrid,La Liga,2022-2023
22,Jesús Vallejo,"€ 34,615","€ 1,800,000",,"Jul 31, 2015","Jun 30, 2025",3,"€ 5,400,000",,D,CB,26,Reserve,Spain,,,Real Madrid,La Liga,2022-2023
23,Total,"€ 5,595,191","€ 290,950,000","€ 5,210,000",,,,"€ 723,610,000","€ 10,050,000,000",,,,,,,,Real Madrid,La Liga,2022-2023
