,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Asier Illarramendi,"€ 83,846","€ 4,360,000",,"Jun 28, 2018","Jun 30, 2023",1,"€ 4,360,000",,M,DM,32,Starter,Spain,,,Real Sociedad,La Liga,2022-2023
1,Mikel Merino,"€ 75,192","€ 3,910,000",,"Jul 22, 2020","Jun 30, 2025",3,"€ 11,730,000",,M,CM,26,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023
2,Mikel Oyarzabal,"€ 67,885","€ 3,530,000",,"Feb 10, 2023","Jun 30, 2024",2,"€ 7,060,000",,F,LW,25,Starter,Spain,,,Real Sociedad,La Liga,2022-2023
3,Igor Zubeldia,"€ 65,769","€ 3,420,000",,"Jun 29, 2018","Jun 30, 2024",2,"€ 6,840,000",,D,CB,25,Starter,Spain,,,Real Sociedad,La Liga,2022-2023
4,Alexander Sörloth,"€ 61,154","€ 3,180,000",,"Aug 29, 2022","Jun 30, 2023",1,"€ 3,180,000",,F,CF,27,Starter,Norway,,,Real Sociedad,La Liga,2022-2023
5,Martín Zubimendi,"€ 57,692","€ 3,000,000",,"Oct 14, 2022","Jun 30, 2027",5,"€ 15,000,000","€ 60,000,000",M,DM,23,Starter,Spain,,,Real Sociedad,La Liga,2022-2023
6,David Silva,"€ 55,769","€ 2,900,000",,"Apr 29, 2022","Jun 30, 2023",1,"€ 2,900,000",,F,AM,37,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023
7,Álex Remiro,"€ 42,885","€ 2,230,000",,"Jun 29, 2022","Jun 30, 2027",5,"€ 11,150,000",,K,GK,27,Starter,Spain,,,Real Sociedad,La Liga,2022-2023
8,Aritz Elustondo,"€ 40,577","€ 2,110,000",,"Aug 26, 2020","Jun 30, 2024",2,"€ 4,220,000",,D,CB,28,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023
9,Brais Méndez,"€ 40,000","€ 2,080,000",,"Jul 6, 2022","Jun 30, 2028",6,"€ 12,480,000",,F,AM,26,Starter,Spain,,,Real Sociedad,La Liga,2022-2023
10,Takefusa Kubo,"€ 39,231","€ 2,040,000",,"Jul 19, 2022","Jun 30, 2027",5,"€ 10,200,000","€ 60,000,000",F,RW,21,Starter,Japan,,,Real Sociedad,La Liga,2022-2023
11,Robin Le Normand,"€ 38,462","€ 2,000,000",,"Jul 20, 2022","Jun 30, 2026",4,"€ 8,000,000",,D,CB,26,Starter,France,,,Real Sociedad,La Liga,2022-2023
12,Umar Sadiq,"€ 28,846","€ 1,500,000",,"Sep 1, 2022","Jun 30, 2028",6,"€ 9,000,000",,F,CF,25,Reserve,Nigeria,,,Real Sociedad,La Liga,2022-2023
13,Carlos Fernández,"€ 20,000","€ 1,040,000",,"Jan 24, 2021","Jun 30, 2026",4,"€ 4,160,000",,F,CF,26,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023
14,Aihen Muñoz,"€ 19,038","€ 990,000",,"Dec 13, 2021","Jun 30, 2024",2,"€ 1,980,000",,D,LB,25,Reserve,Spain,,,Real Sociedad,La Liga,2022-2023
