,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Ivan Rakitic,"€ 253,846","€ 13,200,000",,"Sep 1, 2020","Jun 30, 2024",2,"€ 26,400,000",,M,CM,34,Reserve,Croatia,,,Sevilla,La Liga,2022-2023
1,Óliver Torres,"€ 143,269","€ 7,450,000",,"Jul 15, 2019","Jun 30, 2024",2,"€ 14,900,000",,M,CM,28,Starter,Spain,,,Sevilla,La Liga,2022-2023
2,Youssef En-Nesyri,"€ 123,462","€ 6,420,000",,"Jan 16, 2020","Jun 30, 2025",3,"€ 19,260,000",,F,CF,25,Starter,Morocco,,,Sevilla,La Liga,2022-2023
3,Suso,"€ 121,154","€ 6,300,000",,"Jul 21, 2020","Jun 30, 2025",3,"€ 18,900,000",,F,RW,29,Starter,Spain,,,Sevilla,La Liga,2022-2023
4,Papu Gómez,"€ 120,192","€ 6,250,000",,"Jan 26, 2021","Jun 30, 2024",2,"€ 12,500,000",,F,LW,34,Reserve,Argentina,,,Sevilla,La Liga,2022-2023
5,Fernando,"€ 93,654","€ 4,870,000",,"Jan 4, 2022","Jun 30, 2024",2,"€ 9,740,000",,M,DM,35,Starter,Brazil,,,Sevilla,La Liga,2022-2023
6,Joan Jordán,"€ 90,769","€ 4,720,000",,"Jan 27, 2022","Jun 30, 2027",5,"€ 23,600,000",,M,CM,28,Reserve,Spain,,,Sevilla,La Liga,2022-2023
7,Marcão,"€ 80,192","€ 4,170,000",,"Jul 8, 2022","Jun 30, 2027",5,"€ 20,850,000",,D,CB,26,Reserve,Brazil,,,Sevilla,La Liga,2022-2023
8,Tanguy Nianzou,"€ 80,192","€ 4,170,000",,"Aug 17, 2022","Jun 30, 2027",5,"€ 20,850,000","€ 90,000,000",D,CB,20,Starter,France,,,Sevilla,La Liga,2022-2023
9,Alex Telles,"€ 80,192","€ 4,170,000",,"Aug 4, 2022","Jun 30, 2023",1,"€ 4,170,000",,D,LB,30,Reserve,Brazil,,,Sevilla,La Liga,2022-2023
10,Jesús Navas,"€ 76,923","€ 4,000,000",,"Jun 23, 2021","Jun 30, 2024",2,"€ 8,000,000",,D,RB,37,Starter,Spain,,,Sevilla,La Liga,2022-2023
11,Jesús Corona,"€ 67,308","€ 3,500,000",,"Jan 14, 2022","Jun 30, 2025",3,"€ 10,500,000",,F,RW,30,Reserve,Mexico,,,Sevilla,La Liga,2022-2023
12,Marcos Acuña,"€ 54,615","€ 2,840,000",,"Feb 13, 2022","Jun 30, 2025",3,"€ 8,520,000",,D,LB,31,Reserve,Argentina,,,Sevilla,La Liga,2022-2023
13,Bono,"€ 52,885","€ 2,750,000",,"Apr 19, 2022","Jun 30, 2025",3,"€ 8,250,000","€ 30,000,000",K,GK,31,Starter,Morocco,,,Sevilla,La Liga,2022-2023
14,Nemanja Gudelj,"€ 50,769","€ 2,640,000",,"Jul 23, 2019","Jun 30, 2023",1,"€ 2,640,000",,M,DM,31,Starter,Serbia,,,Sevilla,La Liga,2022-2023
15,Erik Lamela,"€ 50,577","€ 2,630,000",,"Jul 26, 2021","Jun 30, 2024",2,"€ 5,260,000",,F,RW,30,Reserve,Argentina,,,Sevilla,La Liga,2022-2023
16,Bryan Gil,"€ 44,423","€ 2,310,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 2,310,000",,F,LW,21,Starter,Spain,,,Sevilla,La Liga,2022-2023
17,Lucas Ocampos,"€ 30,769","€ 1,600,000",,"Jul 3, 2019","Jun 30, 2024",2,"€ 3,200,000",,F,LW,28,Reserve,Argentina,,,Sevilla,La Liga,2022-2023
18,Loïc Badé,"€ 30,192","€ 1,570,000",,"Jan 1, 2023","Jun 30, 2023",1,"€ 1,570,000",,D,CB,22,Starter,France,,,Sevilla,La Liga,2022-2023
19,Gonzalo Montiel,"€ 27,115","€ 1,410,000",,"Aug 13, 2021","Jun 30, 2026",4,"€ 5,640,000",,D,RB,26,Reserve,Argentina,,,Sevilla,La Liga,2022-2023
20,Karim Rekik,"€ 25,192","€ 1,310,000",,"Oct 5, 2020","Jun 30, 2025",3,"€ 3,930,000",,D,CB,28,Reserve,Netherlands,,,Sevilla,La Liga,2022-2023
21,Rafa Mir,"€ 24,231","€ 1,260,000",,"Aug 20, 2021","Jun 30, 2027",5,"€ 6,300,000",,F,CF,25,Reserve,Spain,,,Sevilla,La Liga,2022-2023
22,Marko Dmitrović,"€ 18,269","€ 950,000",,"Jul 4, 2021","Jun 30, 2025",3,"€ 2,850,000",,K,GK,31,Reserve,Serbia,,,Sevilla,La Liga,2022-2023
23,Pape Gueye,"€ 2,692","€ 140,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 140,000",,M,DM,24,Starter,Senegal,,,Sevilla,La Liga,2022-2023
24,Adnan Januzaj,€ 0,€ 0,,"Aug 31, 2022","Jun 30, 2026",4,€ 0,,F,RW,27,Reserve,Belgium,,,Sevilla,La Liga,2022-2023
25,Total,"€ 1,742,882","€ 90,630,000",€ 0,,,,"€ 240,280,000","€ 120,000,000",,,,,,,,Sevilla,La Liga,2022-2023
