,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,José Gayà,"€ 112,115","€ 5,830,000",,"Oct 19, 2022","Jun 30, 2027",5,"€ 29,150,000","€ 100,000,000",D,LB,27,Starter,Spain,,,Valencia,La Liga,2022-2023
1,Gabriel Paulista,"€ 102,500","€ 5,330,000",,"Jan 22, 2021","Jun 30, 2024",2,"€ 10,660,000",,D,CB,32,Reserve,Brazil,,,Valencia,La Liga,2022-2023
2,Edinson Cavani,"€ 80,192","€ 4,170,000",,"Aug 29, 2022","Jun 30, 2024",2,"€ 8,340,000",,F,CF,35,Starter,Uruguay,,,Valencia,La Liga,2022-2023
3,Justin Kluivert,"€ 72,115","€ 3,750,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,750,000",,F,LW,23,Reserve,Netherlands,,,Valencia,La Liga,2022-2023
4,Hugo Duro,"€ 55,577","€ 2,890,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 11,560,000",,F,CF,23,Reserve,Spain,,,Valencia,La Liga,2022-2023
5,Samu Castillejo,"€ 48,077","€ 2,500,000",,"Jul 12, 2022","Jun 30, 2025",3,"€ 7,500,000",,F,RW,28,Starter,Spain,,,Valencia,La Liga,2022-2023
6,Jaume Doménech,"€ 40,577","€ 2,110,000",,"Nov 14, 2019","Jun 30, 2025",3,"€ 6,330,000",,K,GK,32,Reserve,Spain,,,Valencia,La Liga,2022-2023
7,Marcos André,"€ 38,462","€ 2,000,000",,"Aug 25, 2021","Jun 30, 2026",4,"€ 8,000,000",,F,CF,26,Reserve,Brazil,,,Valencia,La Liga,2022-2023
8,Hugo Guillamón,"€ 36,923","€ 1,920,000",,"Oct 3, 2022","Jun 30, 2026",4,"€ 7,680,000","€ 50,000,000",M,DM,23,Reserve,Spain,,,Valencia,La Liga,2022-2023
9,Dimitri Foulquier,"€ 35,962","€ 1,870,000",,"Aug 30, 2021","Jun 30, 2025",3,"€ 5,610,000",,D,RB,29,Starter,Guadeloupe,,,Valencia,La Liga,2022-2023
10,Thierry Correia,"€ 35,385","€ 1,840,000",,"Oct 4, 2021","Jun 30, 2026",4,"€ 7,360,000",,D,RB,23,Reserve,Portugal,,,Valencia,La Liga,2022-2023
11,Toni Lato,"€ 33,846","€ 1,760,000",,"Jul 5, 2019","Jun 30, 2023",1,"€ 1,760,000",,D,LB,25,Reserve,Spain,,,Valencia,La Liga,2022-2023
12,Ilaix Moriba,"€ 31,154","€ 1,620,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 1,620,000",,M,CM,20,Starter,Guinea,,,Valencia,La Liga,2022-2023
13,Yunus Musah,"€ 28,846","€ 1,500,000",,"Dec 4, 2020","Jun 30, 2026",4,"€ 6,000,000",,M,CM,20,Starter,United States,,,Valencia,La Liga,2022-2023
14,Giorgi Mamardashvili,"€ 28,846","€ 1,500,000",,"Sep 19, 2022","Jun 30, 2027",5,"€ 7,500,000","€ 100,000,000",K,GK,22,Starter,Georgia,,,Valencia,La Liga,2022-2023
15,Cristian Rivero,"€ 27,885","€ 1,450,000",,"Jun 2, 2021","Jun 30, 2024",2,"€ 2,900,000",,K,GK,24,Reserve,Spain,,,Valencia,La Liga,2022-2023
16,Samuel Lino,"€ 24,038","€ 1,250,000",,"Jul 28, 2022","Jun 30, 2023",1,"€ 1,250,000",,F,LW,23,Starter,Brazil,,,Valencia,La Liga,2022-2023
17,Eray Cömert,"€ 21,154","€ 1,100,000",,"Jan 25, 2022","Jun 30, 2026",4,"€ 4,400,000",,D,CB,24,Starter,Switzerland,,,Valencia,La Liga,2022-2023
18,Mouctar Diakhaby,"€ 15,385","€ 800,000",,"Jan 16, 2023","Jun 30, 2027",5,"€ 4,000,000",,D,CB,26,Starter,Guinea,,,Valencia,La Liga,2022-2023
19,André Almeida,"€ 11,538","€ 600,000",,"Aug 25, 2022","Jun 30, 2028",6,"€ 3,600,000",,M,CM,22,Starter,Portugal,,,Valencia,La Liga,2022-2023
20,Nico González,"€ 11,538","€ 600,000",,"Aug 13, 2022","Jun 30, 2023",1,"€ 600,000",,M,CM,21,Reserve,Spain,,,Valencia,La Liga,2022-2023
21,Cenk Özkacar,"€ 11,346","€ 590,000",,"Aug 23, 2022","Jun 30, 2023",1,"€ 590,000",,D,CB,22,Reserve,Turkey,,,Valencia,La Liga,2022-2023
22,Jesús Vázquez,"€ 9,231","€ 480,000",,"Apr 6, 2021","Jun 30, 2025",3,"€ 1,440,000",,D,LB,20,Reserve,Spain,,,Valencia,La Liga,2022-2023
23,Cristhian Mosquera,"€ 3,077","€ 160,000",,"Jan 23, 2022","Jun 30, 2025",3,"€ 480,000",,D,CB,18,Reserve,Spain,,,Valencia,La Liga,2022-2023
24,Iago Herrerín,€ 0,€ 0,,"Sep 28, 2022","Jun 30, 2023",1,€ 0,,K,GK,35,Reserve,Spain,,,Valencia,La Liga,2022-2023
25,Total,"€ 915,769","€ 47,620,000",€ 0,,,,"€ 142,080,000","€ 250,000,000",,,,,,,,Valencia,La Liga,2022-2023
