,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Roque Mesa,"€ 80,000","€ 4,160,000",,"Oct 5, 2020","Jun 30, 2023",1,"€ 4,160,000",,M,CM,33,Reserve,Spain,,,Valladolid,La Liga,2022-2023
1,Kenedy,"€ 31,154","€ 1,620,000",,"Sep 1, 2022","Jun 30, 2027",5,"€ 8,100,000",,F,LW,26,Reserve,Brazil,,,Valladolid,La Liga,2022-2023
2,Anuar,"€ 28,846","€ 1,500,000",,"Nov 25, 2019","Jun 30, 2023",1,"€ 1,500,000",,M,CM,28,Reserve,Morocco,,,Valladolid,La Liga,2022-2023
3,Iván Sánchez,"€ 20,769","€ 1,080,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 2,160,000",,F,RW,30,Reserve,Spain,,,Valladolid,La Liga,2022-2023
4,Sergio Asenjo,"€ 20,000","€ 1,040,000",,"Jul 7, 2022","Jun 30, 2024",2,"€ 2,080,000",,K,GK,33,Reserve,Spain,,,Valladolid,La Liga,2022-2023
5,Sergio León,"€ 19,231","€ 1,000,000",,"Jun 7, 2022","Jun 30, 2024",2,"€ 2,000,000",,F,CF,34,Starter,Spain,,,Valladolid,La Liga,2022-2023
6,Lucas Olaza,"€ 19,231","€ 1,000,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 3,000,000",,D,LB,28,Starter,Uruguay,,,Valladolid,La Liga,2022-2023
7,Martin Hongla,"€ 18,077","€ 940,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 940,000",,M,DM,24,Starter,Cameroon,,,Valladolid,La Liga,2022-2023
8,Sergio Escudero,"€ 15,000","€ 780,000",,"Jul 13, 2022","Jun 30, 2024",2,"€ 1,560,000",,D,LB,33,Reserve,Spain,,,Valladolid,La Liga,2022-2023
9,Jawad El Yamiq,"€ 12,885","€ 670,000",,"Sep 24, 2020","Jun 30, 2024",2,"€ 1,340,000",,D,CB,30,Reserve,Morocco,,,Valladolid,La Liga,2022-2023
10,Javi Sánchez,"€ 12,692","€ 660,000",,"Sep 26, 2022","Jun 30, 2026",4,"€ 2,640,000",,D,CB,25,Starter,Spain,,,Valladolid,La Liga,2022-2023
11,Luis Pérez,"€ 10,000","€ 520,000",,"Sep 25, 2022","Jun 30, 2025",3,"€ 1,560,000",,D,RB,27,Starter,Spain,,,Valladolid,La Liga,2022-2023
12,Óscar Plano,"€ 9,423","€ 490,000",,"May 27, 2020","Jun 30, 2023",1,"€ 490,000",,F,RW,31,Starter,Spain,,,Valladolid,La Liga,2022-2023
13,Jordi Masip,"€ 9,231","€ 480,000",,"Jun 29, 2022","Jun 30, 2024",2,"€ 960,000",,K,GK,34,Starter,Spain,,,Valladolid,La Liga,2022-2023
14,Gonzalo Plata,"€ 9,231","€ 480,000",,"Jul 11, 2022","Jun 30, 2027",5,"€ 2,400,000",,F,RW,22,Starter,Ecuador,,,Valladolid,La Liga,2022-2023
15,Kike Pérez,"€ 8,077","€ 420,000",,"Aug 12, 2020","Jun 30, 2025",3,"€ 1,260,000",,M,CM,25,Starter,Spain,,,Valladolid,La Liga,2022-2023
16,Cyle Larin,"€ 8,077","€ 420,000",,"Jan 24, 2023","Jun 30, 2023",1,"€ 420,000",,F,CF,27,Reserve,Canada,,,Valladolid,La Liga,2022-2023
17,Joaquín Fernández,"€ 5,962","€ 310,000",,"Aug 31, 2018","Jun 30, 2023",1,"€ 310,000",,D,CB,26,Reserve,Spain,,,Valladolid,La Liga,2022-2023
18,Monchu,"€ 5,769","€ 300,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,200,000",,M,CM,23,Starter,Spain,,,Valladolid,La Liga,2022-2023
19,Iván Fresneda,"€ 3,077","€ 160,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 480,000",,D,RB,18,Reserve,Spain,,,Valladolid,La Liga,2022-2023
20,Álvaro Aguado,"€ 2,981","€ 155,000",,"Jan 25, 2019","Jun 30, 2023",1,"€ 155,000",,M,CM,26,Reserve,Spain,,,Valladolid,La Liga,2022-2023
21,Darwin Machís,€ 0,€ 0,,"Jan 19, 2023","Jun 30, 2026",4,€ 0,,F,LW,29,Starter,Venezuela,,,Valladolid,La Liga,2022-2023
22,Lucas Rosa,€ 0,€ 0,,"Oct 1, 2022","Jun 30, 2025",3,€ 0,,D,RB,22,Reserve,Brazil,,,Valladolid,La Liga,2022-2023
23,Selim Amallah,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2027",5,€ 0,,F,AM,26,Reserve,Morocco,,,Valladolid,La Liga,2022-2023
24,Mickaël Malsa,€ 0,€ 0,,"Aug 12, 2022","Jun 30, 2026",4,€ 0,,M,DM,27,Reserve,Martinique,,,Valladolid,La Liga,2022-2023
25,Total,"€ 349,713","€ 18,185,000",€ 0,,,,"€ 38,715,000",€ 0,,,,,,,,Valladolid,La Liga,2022-2023
