,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Dani Parejo,"€ 208,269","€ 10,830,000",,"Aug 12, 2020","Jun 30, 2024",2,"€ 21,660,000",,M,CM,33,Starter,Spain,,,Villarreal,La Liga,2022-2023
1,Francis Coquelin,"€ 148,269","€ 7,710,000",,"Aug 12, 2020","Jun 30, 2024",2,"€ 15,420,000",,M,DM,31,Starter,France,,,Villarreal,La Liga,2022-2023
2,Gerard Moreno,"€ 144,231","€ 7,500,000",,"Aug 9, 2021","Jun 30, 2027",5,"€ 37,500,000","€ 100,000,000",F,CF,30,Reserve,Spain,,,Villarreal,La Liga,2022-2023
3,Pau Torres,"€ 144,231","€ 7,500,000",,"Oct 2, 2019","Jun 30, 2024",2,"€ 15,000,000","€ 60,000,000",D,CB,26,Starter,Spain,,,Villarreal,La Liga,2022-2023
4,Raúl Albiol,"€ 92,115","€ 4,790,000",,"Nov 12, 2021","Jun 30, 2023",1,"€ 4,790,000",,D,CB,37,Starter,Spain,,,Villarreal,La Liga,2022-2023
5,Aïssa Mandi,"€ 92,115","€ 4,790,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 14,370,000",,D,CB,31,Reserve,Algeria,,,Villarreal,La Liga,2022-2023
6,Juan Foyth,"€ 88,077","€ 4,580,000",,"Jul 1, 2021","Jun 30, 2026",4,"€ 18,320,000","€ 42,000,000",D,RB,25,Starter,Argentina,,,Villarreal,La Liga,2022-2023
7,Giovani Lo Celso,"€ 80,962","€ 4,210,000",,"Aug 14, 2022","Jun 30, 2023",1,"€ 4,210,000",,M,CM,26,Reserve,Argentina,,,Villarreal,La Liga,2022-2023
8,Alfonso Pedraza,"€ 76,154","€ 3,960,000",,"May 26, 2022","Jun 30, 2026",4,"€ 15,840,000",,D,LB,26,Reserve,Spain,,,Villarreal,La Liga,2022-2023
9,Alberto Moreno,"€ 64,038","€ 3,330,000",,"Jul 9, 2019","Jun 30, 2024",2,"€ 6,660,000",,D,LB,30,Starter,Spain,,,Villarreal,La Liga,2022-2023
10,Yeremi Pino,"€ 57,692","€ 3,000,000",,"Nov 15, 2021","Jun 30, 2027",5,"€ 15,000,000","€ 80,000,000",F,RW,20,Starter,Spain,,,Villarreal,La Liga,2022-2023
11,Étienne Capoue,"€ 56,154","€ 2,920,000",,"Jul 20, 2022","Jun 30, 2024",2,"€ 5,840,000",,M,DM,34,Starter,France,,,Villarreal,La Liga,2022-2023
12,Manu Trigueros,"€ 48,077","€ 2,500,000",,"Nov 11, 2021","Jun 30, 2025",3,"€ 7,500,000",,M,CM,31,Reserve,Spain,,,Villarreal,La Liga,2022-2023
13,José Luis Morales,"€ 36,923","€ 1,920,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 3,840,000",,F,CF,35,Starter,Spain,,,Villarreal,La Liga,2022-2023
14,Samuel Chukwueze,"€ 36,154","€ 1,880,000",,"Nov 1, 2018","Jun 30, 2024",2,"€ 3,760,000",,F,RW,23,Reserve,Nigeria,,,Villarreal,La Liga,2022-2023
15,Jorge Cuenca,"€ 29,423","€ 1,530,000",,"Sep 21, 2020","Jun 30, 2025",3,"€ 4,590,000",,D,CB,23,Reserve,Spain,,,Villarreal,La Liga,2022-2023
16,Kiko Femenía,"€ 22,115","€ 1,150,000",,"Jul 28, 2022","Jun 30, 2025",3,"€ 3,450,000",,D,RB,31,Reserve,Spain,,,Villarreal,La Liga,2022-2023
17,Johan Mojica,"€ 22,115","€ 1,150,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 4,600,000",,D,LB,30,Reserve,Colombia,,,Villarreal,La Liga,2022-2023
18,Nicolas Jackson,"€ 15,000","€ 780,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 3,120,000",,F,CF,21,Reserve,Senegal,,,Villarreal,La Liga,2022-2023
19,Pepe Reina,"€ 11,538","€ 600,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 600,000",,K,GK,40,Starter,Spain,,,Villarreal,La Liga,2022-2023
20,Filip Jörgensen,"€ 11,538","€ 600,000",,"Nov 12, 2020","Jun 30, 2025",3,"€ 1,800,000",,K,GK,20,Reserve,Denmark,,,Villarreal,La Liga,2022-2023
21,Álex Baena,"€ 9,615","€ 500,000",,"Jan 20, 2023","Jun 30, 2028",6,"€ 3,000,000",,F,LW,21,Starter,Spain,,,Villarreal,La Liga,2022-2023
22,Arnaut Danjuma,€ 0,€ 0,,"Aug 19, 2021","Jun 30, 2026",4,€ 0,,F,CF,26,Reserve,Netherlands,,,Villarreal,La Liga,2022-2023
23,Total,"€ 1,494,805","€ 77,730,000",€ 0,,,,"€ 210,870,000","€ 282,000,000",,,,,,,,Villarreal,La Liga,2022-2023
