,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025",Years Remaining 123,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Youssouf Koné,"€ 26,154","€ 1,360,000",,"Aug 30, 2022","Jun 30, 2023",1,"€ 1,360,000",,D,LB,27,Reserve,Mali,,,Ajaccio,Ligue 1,2022-2023
1,Romain Hamouma,"€ 16,154","€ 840,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 840,000",,F,CF,35,Reserve,France,,,Ajaccio,Ligue 1,2022-2023
2,Moussa Djitté,"€ 11,731","€ 610,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 610,000",,F,CF,23,Reserve,Senegal,,,Ajaccio,Ligue 1,2022-2023
3,Thomas Mangani,"€ 11,538","€ 600,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,200,000",,M,CM,35,Reserve,France,,,Ajaccio,Ligue 1,2022-2023
4,Vincent Marchetti,"€ 6,923","€ 360,000",,"Aug 11, 2022","Jun 30, 2024",2,"€ 720,000",,M,DM,25,Reserve,France,,,Ajaccio,Ligue 1,2022-2023
5,Cédric Avinel,"€ 6,731","€ 350,000",,"Jun 21, 2022","Jun 30, 2023",1,"€ 350,000",,D,CB,36,Starter,Guadeloupe,,,Ajaccio,Ligue 1,2022-2023
6,Fernand Mayembo,"€ 5,769","€ 300,000",,"Jul 26, 2022","Jun 30, 2024",2,"€ 600,000",,D,CB,27,Reserve,Congo,,,Ajaccio,Ligue 1,2022-2023
7,Benjamin Leroy,"€ 5,577","€ 290,000",,"Nov 28, 2019","Jun 30, 2023",1,"€ 290,000",,K,GK,33,Starter,France,,,Ajaccio,Ligue 1,2022-2023
8,Mickaël Alphonse,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 480,000",,D,RB,33,Starter,Guadeloupe,,,Ajaccio,Ligue 1,2022-2023
9,Mathieu Coutadeur,"€ 4,423","€ 230,000",,"Jun 7, 2020","Jun 30, 2023",1,"€ 230,000",,M,CM,36,Reserve,France,,,Ajaccio,Ligue 1,2022-2023
10,Kevin Spadanuda,"€ 4,038","€ 210,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 630,000",,F,LW,26,Reserve,Switzerland,,,Ajaccio,Ligue 1,2022-2023
11,Alassane N'Diaye,"€ 2,885","€ 150,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 150,000",,M,RM,31,Reserve,France,,,Ajaccio,Ligue 1,2022-2023
12,Yoann Touzghar,"€ 2,885","€ 150,000",,"Aug 24, 2022","Jun 30, 2024",2,"€ 300,000",,F,CF,36,Reserve,Tunisia,,,Ajaccio,Ligue 1,2022-2023
13,Riad Nouri,"€ 2,885","€ 150,000",,"Jun 21, 2022","Jun 30, 2024",2,"€ 300,000",,F,RW,37,Starter,France,,,Ajaccio,Ligue 1,2022-2023
14,Oumar Gonzalez,"€ 2,692","€ 140,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 140,000",,D,CB,24,Starter,Cameroon,,,Ajaccio,Ligue 1,2022-2023
15,Mickaël Barreto,"€ 1,923","€ 100,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 100,000",,F,AM,32,Starter,France,,,Ajaccio,Ligue 1,2022-2023
16,Mohamed Youssouf,"€ 1,923","€ 100,000",,"Jun 21, 2022","Jun 30, 2023",1,"€ 100,000",,D,RB,34,Starter,Comoros,,,Ajaccio,Ligue 1,2022-2023
17,Jean Botué,"€ 1,923","€ 100,000",,"Feb 16, 2021","Jun 30, 2023",1,"€ 100,000",,F,LW,20,Reserve,Burkina Faso,,,Ajaccio,Ligue 1,2022-2023
18,François-Joseph Sollacaro,"€ 1,923","€ 100,000",,"Jul 6, 2021","Jun 30, 2024",2,"€ 200,000",,K,GK,28,Reserve,France,,,Ajaccio,Ligue 1,2022-2023
