,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025",Years Remaining 123,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLBLWRBRMRW,Pos. CBCFCMGKLBRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Pos. AMCBCFCMDMGKLBLWRB,Pos. AMCBCFCMDMGKLBRBRM,Pos. AMCBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRW,Pos. CBCFCMDMGKLBLWRBRMRW,Pos. AMCBCFDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBLMRB
0,Youssouf Koné,"€ 26,154","€ 1,360,000",,"Aug 30, 2022","Jun 30, 2023",1.0,"€ 1,360,000",,D,LB,27.0,Reserve,Mali,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
1,Romain Hamouma,"€ 16,154","€ 840,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 840,000",,F,CF,35.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
2,Moussa Djitté,"€ 11,731","€ 610,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 610,000",,F,CF,23.0,Reserve,Senegal,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
3,Thomas Mangani,"€ 11,538","€ 600,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 1,200,000",,M,CM,35.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
4,Vincent Marchetti,"€ 6,923","€ 360,000",,"Aug 11, 2022","Jun 30, 2024",2.0,"€ 720,000",,M,DM,25.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
5,Cédric Avinel,"€ 6,731","€ 350,000",,"Jun 21, 2022","Jun 30, 2023",1.0,"€ 350,000",,D,CB,36.0,Starter,Guadeloupe,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
6,Fernand Mayembo,"€ 5,769","€ 300,000",,"Jul 26, 2022","Jun 30, 2024",2.0,"€ 600,000",,D,CB,27.0,Reserve,Congo,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
7,Benjamin Leroy,"€ 5,577","€ 290,000",,"Nov 28, 2019","Jun 30, 2023",1.0,"€ 290,000",,K,GK,33.0,Starter,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
8,Mickaël Alphonse,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 480,000",,D,RB,33.0,Starter,Guadeloupe,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
9,Mathieu Coutadeur,"€ 4,423","€ 230,000",,"Jun 7, 2020","Jun 30, 2023",1.0,"€ 230,000",,M,CM,36.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
10,Kevin Spadanuda,"€ 4,038","€ 210,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 630,000",,F,LW,26.0,Reserve,Switzerland,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
11,Alassane N'Diaye,"€ 2,885","€ 150,000",,"Jul 1, 2020","Jun 30, 2023",1.0,"€ 150,000",,M,RM,31.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
12,Yoann Touzghar,"€ 2,885","€ 150,000",,"Aug 24, 2022","Jun 30, 2024",2.0,"€ 300,000",,F,CF,36.0,Reserve,Tunisia,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
13,Riad Nouri,"€ 2,885","€ 150,000",,"Jun 21, 2022","Jun 30, 2024",2.0,"€ 300,000",,F,RW,37.0,Starter,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
14,Oumar Gonzalez,"€ 2,692","€ 140,000",,"Jul 1, 2021","Jun 30, 2023",1.0,"€ 140,000",,D,CB,24.0,Starter,Cameroon,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
15,Mickaël Barreto,"€ 1,923","€ 100,000",,"Jul 1, 2020","Jun 30, 2023",1.0,"€ 100,000",,F,AM,32.0,Starter,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
16,Mohamed Youssouf,"€ 1,923","€ 100,000",,"Jun 21, 2022","Jun 30, 2023",1.0,"€ 100,000",,D,RB,34.0,Starter,Comoros,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
17,Jean Botué,"€ 1,923","€ 100,000",,"Feb 16, 2021","Jun 30, 2023",1.0,"€ 100,000",,F,LW,20.0,Reserve,Burkina Faso,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
18,François-Joseph Sollacaro,"€ 1,923","€ 100,000",,"Jul 6, 2021","Jun 30, 2024",2.0,"€ 200,000",,K,GK,28.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
19,Chaker Alhadhur,"€ 1,731","€ 90,000",,"Oct 12, 2021","Jun 30, 2023",1.0,"€ 90,000",,D,LB,31.0,Reserve,Comoros,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
20,Ghjuvanni Quilichini,"€ 1,731","€ 90,000",,"Jul 8, 2022","Jun 30, 2023",1.0,"€ 90,000",,K,GK,20.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
21,Ismaël Diallo,"€ 1,346","€ 70,000",,"Jul 1, 2020","Jun 30, 2023",1.0,"€ 70,000",,D,LB,26.0,Reserve,Cote d'Ivoire,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
22,Cyrille Bayala,"€ 1,346","€ 70,000",,"Jun 21, 2022","Jun 30, 2024",2.0,"€ 140,000",,F,RW,26.0,Starter,Burkina Faso,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
23,Yanis Cimignani,€ 385,"€ 20,000",,"Jan 31, 2020","Jun 30, 2023",1.0,"€ 20,000",,M,LM,21.0,Reserve,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
24,Mounaïm El Idrissy,€ 385,"€ 20,000",,"Jan 28, 2020","Jun 30, 2023",1.0,"€ 20,000",,F,CF,23.0,Starter,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
25,Clément Vidal,€ 385,"€ 20,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 60,000",,D,CB,22.0,Starter,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
26,Florian Chabrolle,€ 385,"€ 20,000",,"Jan 5, 2021","Jun 30, 2023",1.0,"€ 20,000",,F,AM,24.0,Starter,France,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
27,Youcef Belaïli,€ 0,€ 0,,"Oct 12, 2022","Jun 30, 2023",1.0,€ 0,,F,LW,30.0,Reserve,Algeria,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
28,Ruan Levine,€ 0,€ 0,,"Sep 20, 2022","Jun 30, 2023",1.0,€ 0,,F,RW,24.0,Reserve,Brazil,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
29,Total,"€ 130,386","€ 6,780,000",€ 0,,,,"€ 9,210,000",€ 0,,,,,,,,Ajaccio,Ligue 1,2022-2023,,,,,,,,,,,,,,
