,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Abdallah Sima,"€ 23,846","€ 1,240,000",,"Jul 13, 2022","Jun 30, 2023",1,"€ 1,240,000",,F,RW,21,Starter,Senegal,,,Angers,Ligue 1,2022-2023
1,Paul Bernardoni,"€ 23,077","€ 1,200,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 2,400,000",,K,GK,25,Starter,France,,,Angers,Ligue 1,2022-2023
2,Loïs Diony,"€ 21,923","€ 1,140,000",,"Sep 10, 2020","Jun 30, 2023",1,"€ 1,140,000",,F,CF,30,Reserve,France,,,Angers,Ligue 1,2022-2023
3,Yan Valery,"€ 20,769","€ 1,080,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 4,320,000",,D,RB,23,Starter,Tunisia,,,Angers,Ligue 1,2022-2023
4,Adrien Hunou,"€ 18,462","€ 960,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,880,000",,F,CF,29,Starter,France,,,Angers,Ligue 1,2022-2023
5,Miha Blazic,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,160,000",,D,CB,29,Starter,Slovenia,,,Angers,Ligue 1,2022-2023
6,Souleyman Doumbia,"€ 13,077","€ 680,000",,"Jul 8, 2020","Jun 30, 2023",1,"€ 680,000",,D,LB,26,Reserve,Cote d'Ivoire,,,Angers,Ligue 1,2022-2023
7,Cédric Hountondji,"€ 12,115","€ 630,000",,"Jul 18, 2022","Jun 30, 2026",4,"€ 2,520,000",,D,CB,29,Starter,Benin,,,Angers,Ligue 1,2022-2023
8,Nabil Bentaleb,"€ 11,538","€ 600,000",,"Jan 6, 2022","Jun 30, 2025",3,"€ 1,800,000",,M,CM,28,Starter,Algeria,,,Angers,Ligue 1,2022-2023
9,Ibrahima Niane,"€ 11,538","€ 600,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 600,000",,F,CF,23,Starter,Senegal,,,Angers,Ligue 1,2022-2023
10,Ibrahim Amadou,"€ 10,962","€ 570,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 570,000",,M,DM,29,Reserve,France,,,Angers,Ligue 1,2022-2023
11,Batista Mendy,"€ 10,577","€ 550,000",,"Jul 19, 2021","Jun 30, 2024",2,"€ 1,100,000",,M,DM,23,Starter,France,,,Angers,Ligue 1,2022-2023
12,Pierrick Capelle,"€ 10,385","€ 540,000",,"Jul 4, 2022","Jun 30, 2023",1,"€ 540,000",,M,LM,35,Reserve,France,,,Angers,Ligue 1,2022-2023
13,Sada Thioub,"€ 6,538","€ 340,000",,"Jul 23, 2019","Jun 30, 2023",1,"€ 340,000",,F,RW,27,Reserve,Senegal,,,Angers,Ligue 1,2022-2023
14,Abdoulaye Bamba,"€ 6,346","€ 330,000",,"May 29, 2020","Jun 30, 2023",1,"€ 330,000",,D,RB,32,Reserve,Cote d'Ivoire,,,Angers,Ligue 1,2022-2023
15,Farid El Melali,"€ 5,577","€ 290,000",,"Aug 9, 2018","Jun 30, 2023",1,"€ 290,000",,F,LW,25,Reserve,Algeria,,,Angers,Ligue 1,2022-2023
16,Ilyes Chetti,"€ 4,615","€ 240,000",,"Jul 19, 2022","Jun 30, 2026",4,"€ 960,000",,D,LB,28,Reserve,Algeria,,,Angers,Ligue 1,2022-2023
17,Amine Salama,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 960,000",,F,CF,22,Reserve,France,,,Angers,Ligue 1,2022-2023
18,Yahia Fofana,"€ 4,615","€ 240,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 960,000",,K,GK,22,Reserve,France,,,Angers,Ligue 1,2022-2023
19,Ousmane Camara,"€ 3,462","€ 180,000",,"Dec 27, 2022","Jun 30, 2026",4,"€ 720,000",,D,CB,19,Reserve,France,,,Angers,Ligue 1,2022-2023
20,Waniss Taïbi,"€ 2,885","€ 150,000",,"Aug 24, 2022","Jun 30, 2025",3,"€ 450,000",,F,AM,20,Reserve,France,,,Angers,Ligue 1,2022-2023
21,Himad Abdelli,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 480,000",,F,AM,23,Starter,France,,,Angers,Ligue 1,2022-2023
22,Ulrick Eneme-Ella,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 270,000",,F,CF,21,Reserve,Gabon,,,Angers,Ligue 1,2022-2023
23,Halid Sabanovic,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 270,000",,D,RB,23,Reserve,Bosnia-Herzegovina,,,Angers,Ligue 1,2022-2023
24,Zinédine Ould Khaled,"€ 1,154","€ 60,000",,"Jul 29, 2019","Jun 30, 2025",3,"€ 180,000",,M,DM,23,Reserve,France,,,Angers,Ligue 1,2022-2023
25,Ali Kalla,"€ 1,154","€ 60,000",,"Jun 29, 2022","Jun 30, 2023",1,"€ 60,000",,D,RB,24,Reserve,France,,,Angers,Ligue 1,2022-2023
26,Melvin Zinga,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 50,000",,K,GK,20,Reserve,France,,,Angers,Ligue 1,2022-2023
