,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025",Years Remaining 123,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Ionut Radu,"€ 35,000","€ 1,820,000",,"Jan 25, 2023","Jun 30, 2023",1,"€ 1,820,000",,K,GK,25,Starter,Romania,,,Auxerre,Ligue 1,2022-2023
1,M'Baye Niang,"€ 16,154","€ 840,000",,"Aug 16, 2022","Jun 30, 2024",2,"€ 1,680,000",,F,CF,28,Reserve,Senegal,,,Auxerre,Ligue 1,2022-2023
2,Akim Zedadka,"€ 15,000","€ 780,000",,"Dec 9, 2022","Jun 30, 2023",1,"€ 780,000",,D,RB,27,Reserve,Algeria,,,Auxerre,Ligue 1,2022-2023
3,Rayan Raveloson,"€ 13,846","€ 720,000",,"Aug 4, 2022","Jun 30, 2025",3,"€ 2,160,000",,M,DM,26,Starter,Madagascar,,,Auxerre,Ligue 1,2022-2023
4,Jubal,"€ 13,462","€ 700,000",,"Jul 22, 2022","Jun 30, 2025",3,"€ 2,100,000",,D,CB,29,Starter,Brazil,,,Auxerre,Ligue 1,2022-2023
5,Donovan Léon,"€ 10,000","€ 520,000",,"Sep 7, 2022","Jun 30, 2025",3,"€ 1,560,000",,K,GK,30,Reserve,French Guiana,,,Auxerre,Ligue 1,2022-2023
6,Youssouf M'Changama,"€ 9,231","€ 480,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 960,000",,F,AM,32,Reserve,Comoros,,,Auxerre,Ligue 1,2022-2023
7,Birama Touré,"€ 8,846","€ 460,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 460,000",,M,DM,30,Starter,Mali,,,Auxerre,Ligue 1,2022-2023
8,Siriki Dembélé,"€ 8,846","€ 460,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 460,000",,F,LW,26,Reserve,Scotland,,,Auxerre,Ligue 1,2022-2023
9,Théo Pellenard,"€ 8,462","€ 440,000",,"Nov 26, 2021","Jun 30, 2024",2,"€ 880,000",,D,CB,28,Reserve,France,,,Auxerre,Ligue 1,2022-2023
10,Gideon Mensah,"€ 8,077","€ 420,000",,"Aug 13, 2022","Jun 30, 2025",3,"€ 1,260,000",,D,LB,24,Starter,Ghana,,,Auxerre,Ligue 1,2022-2023
11,Denys Bain,"€ 6,923","€ 360,000",,"Jul 5, 2022","Jun 30, 2023",1,"€ 360,000",,D,CB,29,Reserve,France,,,Auxerre,Ligue 1,2022-2023
