,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBRM,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Angelo Fulgini,"€ 35,000","€ 1,820,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,820,000",,F,AM,26,Reserve,France,,,Lens,Ligue 1,2022-2023
1,Seko Fofana,"€ 34,615","€ 1,800,000",,"Aug 31, 2022","Jun 30, 2025",3,"€ 5,400,000",,M,CM,27,Starter,Cote d'Ivoire,,,Lens,Ligue 1,2022-2023
2,Alexis Claude-Maurice,"€ 23,077","€ 1,200,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 1,200,000",,F,AM,24,Reserve,France,,,Lens,Ligue 1,2022-2023
3,Brice Samba,"€ 23,077","€ 1,200,000",,"Jul 5, 2022","Jun 30, 2027",5,"€ 6,000,000",,K,GK,28,Starter,France,,,Lens,Ligue 1,2022-2023
4,Adam Buksa,"€ 19,615","€ 1,020,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 5,100,000",,F,CF,26,Reserve,Poland,,,Lens,Ligue 1,2022-2023
5,Loïs Openda,"€ 16,154","€ 840,000",,"Jul 6, 2022","Jun 30, 2027",5,"€ 4,200,000",,F,CF,22,Starter,Belgium,,,Lens,Ligue 1,2022-2023
6,Jimmy Cabot,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 2,880,000",,M,RM,28,Reserve,France,,,Lens,Ligue 1,2022-2023
7,Kevin Danso,"€ 9,615","€ 500,000",,"Aug 6, 2021","Jun 30, 2026",4,"€ 2,000,000",,D,CB,24,Starter,Austria,,,Lens,Ligue 1,2022-2023
8,Wuilker Fariñez,"€ 9,038","€ 470,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 940,000",,K,GK,24,Reserve,Venezuela,,,Lens,Ligue 1,2022-2023
9,Wesley Saïd,"€ 8,269","€ 430,000",,"Jan 17, 2023","Jun 30, 2026",4,"€ 1,720,000",,F,CF,27,Reserve,France,,,Lens,Ligue 1,2022-2023
10,Jean Onana,"€ 8,077","€ 420,000",,"Sep 1, 2022","Jun 30, 2027",5,"€ 2,100,000",,M,DM,23,Reserve,Cameroon,,,Lens,Ligue 1,2022-2023
11,Deiver Machado,"€ 6,538","€ 340,000",,"Jan 31, 2023","Jun 30, 2026",4,"€ 1,360,000",,D,LB,29,Starter,Colombia,,,Lens,Ligue 1,2022-2023
12,Jean-Louis Leca,"€ 6,538","€ 340,000",,"Dec 16, 2022","Jun 30, 2024",2,"€ 680,000",,K,GK,37,Reserve,France,,,Lens,Ligue 1,2022-2023
13,Steven Fortes,"€ 5,962","€ 310,000",,"Jul 1, 2019","Jun 30, 2023",1,"€ 310,000",,D,CB,30,Reserve,Cape Verde,,,Lens,Ligue 1,2022-2023
14,Przemyslaw Frankowski,"€ 5,577","€ 290,000",,"Aug 5, 2021","Jun 30, 2026",4,"€ 1,160,000",,M,RM,27,Reserve,Poland,,,Lens,Ligue 1,2022-2023
15,Salis Abdul Samed,"€ 5,192","€ 270,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 1,350,000",,M,DM,22,Starter,Ghana,,,Lens,Ligue 1,2022-2023
16,Florian Sotoca,"€ 4,615","€ 240,000",,"Jan 24, 2023","Jun 30, 2026",4,"€ 960,000",,F,CF,32,Starter,France,,,Lens,Ligue 1,2022-2023
17,Massadio Haidara,"€ 4,615","€ 240,000",,"Dec 28, 2022","Jun 30, 2025",3,"€ 720,000",,D,LB,30,Reserve,Mali,,,Lens,Ligue 1,2022-2023
18,Jonathan Gradit,"€ 3,269","€ 170,000",,"Feb 2, 2023","Jun 30, 2024",2,"€ 340,000",,D,CB,30,Starter,France,,,Lens,Ligue 1,2022-2023
19,Facundo Medina,"€ 2,308","€ 120,000",,"Jan 18, 2023","Jun 30, 2026",4,"€ 480,000",,D,CB,23,Starter,Argentina,,,Lens,Ligue 1,2022-2023
20,Lukasz Poreba,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 450,000",,M,DM,22,Reserve,Poland,,,Lens,Ligue 1,2022-2023
21,Yannick Pandor,"€ 1,154","€ 60,000",,"Jan 17, 2023","Jun 30, 2026",4,"€ 240,000",,K,GK,21,Reserve,Comoros,,,Lens,Ligue 1,2022-2023
22,David Costa,€ 577,"€ 30,000",,"May 11, 2021","Jun 30, 2024",2,"€ 60,000",,F,AM,22,Reserve,Portugal,,,Lens,Ligue 1,2022-2023
23,Adrien Louveau,€ 577,"€ 30,000",,"Jun 27, 2022","Jun 30, 2023",1,"€ 30,000",,D,CB,23,Reserve,France,,,Lens,Ligue 1,2022-2023
24,Mamadou Camara,€ 385,"€ 20,000",,"Jul 2, 2021","Jun 30, 2024",2,"€ 40,000",,M,CM,20,Reserve,Senegal,,,Lens,Ligue 1,2022-2023
25,Ismaël Boura,€ 385,"€ 20,000",,"Apr 19, 2020","Jun 30, 2023",1,"€ 20,000",,D,LB,22,Reserve,France,,,Lens,Ligue 1,2022-2023
26,Adrien Thomasson,€ 0,€ 0,,"Jan 12, 2023","Jun 30, 2026",4,€ 0,,F,AM,29,Starter,France,,,Lens,Ligue 1,2022-2023
27,Julien Le Cardinal,€ 0,€ 0,,"Nov 15, 2022","Jun 30, 2025",3,€ 0,,D,RB,25,Starter,France,,,Lens,Ligue 1,2022-2023
28,Yaya Fofana,€ 0,€ 0,,"Aug 12, 2022","Jun 30, 2027",5,€ 0,,M,CM,18,Reserve,Mali,,,Lens,Ligue 1,2022-2023
29,Total,"€ 249,806","€ 12,990,000",€ 0,,,,"€ 41,560,000",€ 0,,,,,,,,Lens,Ligue 1,2022-2023
