,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,André Gomes,"€ 130,000","€ 6,760,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 6,760,000",,M,CM,29,Reserve,Portugal,,,Lille,Ligue 1,2022-2023
1,Adam Ounas,"€ 52,500","€ 2,730,000",,"Sep 1, 2022","Jun 30, 2024",2,"€ 5,460,000",,F,RW,26,Reserve,Algeria,,,Lille,Ligue 1,2022-2023
2,Ismaily,"€ 34,615","€ 1,800,000",,"Aug 4, 2022","Jun 30, 2023",1,"€ 1,800,000",,D,LB,33,Reserve,Brazil,,,Lille,Ligue 1,2022-2023
3,José Fonte,"€ 32,308","€ 1,680,000",,"May 20, 2022","Jun 30, 2023",1,"€ 1,680,000",,D,CB,39,Starter,Portugal,,,Lille,Ligue 1,2022-2023
4,Jonathan David,"€ 32,308","€ 1,680,000",,"Aug 11, 2020","Jun 30, 2025",3,"€ 5,040,000",,F,CF,23,Starter,Canada,,,Lille,Ligue 1,2022-2023
5,Benjamin André,"€ 30,000","€ 1,560,000",,"Jan 12, 2023","Jun 30, 2026",4,"€ 6,240,000",,M,DM,32,Starter,France,,,Lille,Ligue 1,2022-2023
6,Jonathan Bamba,"€ 27,692","€ 1,440,000",,"Jul 2, 2018","Jun 30, 2023",1,"€ 1,440,000",,F,LW,26,Starter,France,,,Lille,Ligue 1,2022-2023
7,Rémy Cabella,"€ 26,538","€ 1,380,000",,"Jul 10, 2022","Jun 30, 2023",1,"€ 1,380,000",,F,AM,32,Starter,France,,,Lille,Ligue 1,2022-2023
8,Edon Zhegrova,"€ 23,077","€ 1,200,000",,"Jan 14, 2022","Jun 30, 2026",4,"€ 4,800,000",,F,RW,23,Starter,Kosovo,,,Lille,Ligue 1,2022-2023
9,Jonas Martin,"€ 17,308","€ 900,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,800,000",,M,DM,32,Reserve,France,,,Lille,Ligue 1,2022-2023
10,Alexsandro,"€ 15,000","€ 780,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 3,120,000",,D,CB,23,Reserve,Brazil,,,Lille,Ligue 1,2022-2023
11,Mohamed Bayo,"€ 13,846","€ 720,000",,"Jul 13, 2022","Jun 30, 2027",5,"€ 3,600,000",,F,CF,24,Reserve,Guinea,,,Lille,Ligue 1,2022-2023
12,Angel Gomes,"€ 13,654","€ 710,000",,"Aug 9, 2020","Jun 30, 2025",3,"€ 2,130,000",,F,AM,22,Starter,England,,,Lille,Ligue 1,2022-2023
13,Timothy Weah,"€ 13,462","€ 700,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 1,400,000",,F,RW,22,Starter,United States,,,Lille,Ligue 1,2022-2023
14,Gabriel Gudmundsson,"€ 7,692","€ 400,000",,"Aug 31, 2021","Jun 30, 2026",4,"€ 1,600,000",,D,LB,23,Reserve,Sweden,,,Lille,Ligue 1,2022-2023
15,Bafodé Diakité,"€ 6,923","€ 360,000",,"Aug 5, 2022","Jun 30, 2026",4,"€ 1,440,000",,D,CB,22,Starter,France,,,Lille,Ligue 1,2022-2023
16,Tiago Djaló,"€ 6,346","€ 330,000",,"Aug 1, 2019","Jun 30, 2024",2,"€ 660,000",,D,CB,22,Starter,Portugal,,,Lille,Ligue 1,2022-2023
17,Alan Virginius,"€ 5,192","€ 270,000",,"Aug 17, 2022","Jun 30, 2027",5,"€ 1,350,000",,F,LW,20,Reserve,France,,,Lille,Ligue 1,2022-2023
18,Adam Jakubech,"€ 4,808","€ 250,000",,"Jul 26, 2017","Jun 30, 2025",3,"€ 750,000",,K,GK,26,Reserve,Slovakia,,,Lille,Ligue 1,2022-2023
19,Lucas Chevalier,"€ 3,269","€ 170,000",,"Jan 30, 2023","Jun 30, 2027",5,"€ 850,000",,K,GK,21,Starter,France,,,Lille,Ligue 1,2022-2023
20,Carlos Baleba,"€ 1,731","€ 90,000",,"Jan 14, 2022","Jun 30, 2026",4,"€ 360,000",,M,CM,19,Reserve,Cameroon,,,Lille,Ligue 1,2022-2023
21,Leny Yoro,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 180,000",,D,CB,17,Reserve,France,,,Lille,Ligue 1,2022-2023
22,Benoît Costil,€ 0,€ 0,,"Jan 26, 2023","Jun 30, 2023",1,€ 0,,K,GK,35,Reserve,France,,,Lille,Ligue 1,2022-2023
23,Akim Zedadka,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2025",3,€ 0,,D,RB,27,Reserve,Algeria,,,Lille,Ligue 1,2022-2023
24,Total,"€ 499,423","€ 25,970,000",€ 0,,,,"€ 53,840,000",€ 0,,,,,,,,Lille,Ligue 1,2022-2023
