,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Romain Faivre,"€ 23,077","€ 1,200,000",,"Jan 28, 2023","Jun 30, 2023",1,"€ 1,200,000",,M,RM,24,Reserve,France,,,Lorient,Ligue 1,2022-2023
1,Julian Pollersbeck,"€ 19,423","€ 1,010,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,010,000",,K,GK,28,Reserve,Germany,,,Lorient,Ligue 1,2022-2023
2,Igor Silva,"€ 18,269","€ 950,000",,"Jul 23, 2021","Jun 30, 2026",4,"€ 3,800,000",,D,RB,26,Reserve,Brazil,,,Lorient,Ligue 1,2022-2023
3,Yvon Mvogo,"€ 13,846","€ 720,000",,"Jul 13, 2022","Jun 30, 2024",2,"€ 1,440,000",,K,GK,28,Reserve,Switzerland,,,Lorient,Ligue 1,2022-2023
4,Montassar Talbi,"€ 10,962","€ 570,000",,"Jul 18, 2022","Jun 30, 2025",3,"€ 1,710,000",,D,CB,24,Starter,Tunisia,,,Lorient,Ligue 1,2022-2023
5,Gédéon Kalulu,"€ 10,385","€ 540,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 2,160,000",,D,RB,25,Starter,Democratic Republic of the Congo,,,Lorient,Ligue 1,2022-2023
6,Julien Laporte,"€ 8,462","€ 440,000",,"Dec 1, 2022","Jun 30, 2025",3,"€ 1,320,000",,D,CB,29,Reserve,France,,,Lorient,Ligue 1,2022-2023
7,Julien Ponceau,"€ 7,500","€ 390,000",,"Jul 29, 2022","Jun 30, 2025",3,"€ 1,170,000",,F,AM,22,Starter,France,,,Lorient,Ligue 1,2022-2023
8,Adil Aouchiche,"€ 6,923","€ 360,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 1,440,000",,F,AM,20,Reserve,France,,,Lorient,Ligue 1,2022-2023
9,Ayman Kari,"€ 5,769","€ 300,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 300,000",,M,CM,18,Reserve,France,,,Lorient,Ligue 1,2022-2023
10,Bonke Innocent,"€ 5,192","€ 270,000",,"Jan 18, 2022","Jun 30, 2025",3,"€ 810,000",,M,DM,27,Reserve,Nigeria,,,Lorient,Ligue 1,2022-2023
11,Ibrahima Koné,"€ 4,808","€ 250,000",,"Jan 31, 2022","Jun 30, 2026",4,"€ 1,000,000",,F,CF,23,Starter,Mali,,,Lorient,Ligue 1,2022-2023
12,Vincent Le Goff,"€ 4,808","€ 250,000",,"Dec 16, 2022","Jun 30, 2024",2,"€ 500,000",,D,LB,33,Reserve,France,,,Lorient,Ligue 1,2022-2023
13,Laurent Abergel,"€ 4,615","€ 240,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 720,000",,M,DM,30,Reserve,France,,,Lorient,Ligue 1,2022-2023
14,Vito Mannone,"€ 4,615","€ 240,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 240,000",,K,GK,34,Starter,Italy,,,Lorient,Ligue 1,2022-2023
15,Stéphane Diarra,"€ 4,231","€ 220,000",,"Jul 1, 2020","Jun 30, 2025",3,"€ 660,000",,F,RW,24,Starter,Cote d'Ivoire,,,Lorient,Ligue 1,2022-2023
16,Darline Yongwa,"€ 4,038","€ 210,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 840,000",,D,LB,22,Starter,Cameroon,,,Lorient,Ligue 1,2022-2023
17,Théo Le Bris,"€ 3,462","€ 180,000",,"Aug 5, 2022","Jun 30, 2026",4,"€ 720,000",,D,RB,20,Reserve,France,,,Lorient,Ligue 1,2022-2023
18,Enzo Le Fée,"€ 1,923","€ 100,000",,"Jun 27, 2020","Jun 30, 2024",2,"€ 200,000",,F,AM,22,Starter,France,,,Lorient,Ligue 1,2022-2023
19,Siriné Doucouré,"€ 1,731","€ 90,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 360,000",,F,CF,20,Reserve,France,,,Lorient,Ligue 1,2022-2023
20,Bamo Meïté,€ 962,"€ 50,000",,"Jun 1, 2022","Jun 30, 2025",3,"€ 150,000",,M,DM,21,Starter,Cote d'Ivoire,,,Lorient,Ligue 1,2022-2023
21,Teddy Bartouche,€ 577,"€ 30,000",,"Oct 26, 2021","Jun 30, 2023",1,"€ 30,000",,K,GK,25,Reserve,France,,,Lorient,Ligue 1,2022-2023
22,Jean-Victor Makengo,€ 0,€ 0,,"Jan 30, 2023","Jun 30, 2027",5,€ 0,,M,CM,24,Starter,France,,,Lorient,Ligue 1,2022-2023
23,Maxime Wackers,€ 0,€ 0,,"Aug 3, 2022","Jun 30, 2023",1,€ 0,,D,CB,25,Reserve,France,,,Lorient,Ligue 1,2022-2023
24,Yoann Cathline,€ 0,€ 0,,"Sep 5, 2022","Jun 30, 2027",5,€ 0,,F,LW,20,Starter,France,,,Lorient,Ligue 1,2022-2023
25,Bamba Dieng,€ 0,€ 0,,"Jan 27, 2023","Jun 30, 2025",3,€ 0,,F,CF,22,Reserve,Senegal,,,Lorient,Ligue 1,2022-2023
26,Total,"€ 165,578","€ 8,610,000",€ 0,,,,"€ 21,780,000",€ 0,,,,,,,,Lorient,Ligue 1,2022-2023
