,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRB,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Alexandre Lacazette,"€ 96,154","€ 5,000,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 15,000,000",,F,CF,31,Starter,France,,,Lyon,Ligue 1,2022-2023
1,Anthony Lopes,"€ 92,308","€ 4,800,000",,"Jun 7, 2022","Jun 30, 2025",3,"€ 14,400,000",,K,GK,32,Starter,Portugal,,,Lyon,Ligue 1,2022-2023
2,Corentin Tolisso,"€ 92,308","€ 4,800,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 24,000,000",,M,CM,28,Starter,France,,,Lyon,Ligue 1,2022-2023
3,Nicolás Tagliafico,"€ 87,500","€ 4,550,000","€ 910,000","Jul 23, 2022","Jun 30, 2025",3,"€ 13,650,000",,D,LB,30,Starter,Argentina,,,Lyon,Ligue 1,2022-2023
4,Jérôme Boateng,"€ 80,769","€ 4,200,000",,"Sep 1, 2021","Jun 30, 2023",1,"€ 4,200,000",,D,CB,34,Reserve,Germany,,,Lyon,Ligue 1,2022-2023
5,Moussa Dembélé,"€ 78,846","€ 4,100,000",,"Aug 31, 2018","Jun 30, 2023",1,"€ 4,100,000",,F,CF,26,Starter,France,,,Lyon,Ligue 1,2022-2023
6,Houssem Aouar,"€ 71,538","€ 3,720,000",,"Jul 2, 2018","Jun 30, 2023",1,"€ 3,720,000",,M,CM,24,Reserve,France,,,Lyon,Ligue 1,2022-2023
7,Dejan Lovren,"€ 70,000","€ 3,640,000",,"Jan 2, 2023","Jun 30, 2025",3,"€ 10,920,000",,D,CB,33,Starter,Croatia,,,Lyon,Ligue 1,2022-2023
8,Thiago Mendes,"€ 69,231","€ 3,600,000",,"Jun 17, 2022","Jun 30, 2025",3,"€ 10,800,000",,M,DM,30,Reserve,Brazil,,,Lyon,Ligue 1,2022-2023
9,Maxence Caqueret,"€ 64,615","€ 3,360,000",,"Jul 11, 2022","Jun 30, 2027",5,"€ 16,800,000",,M,CM,22,Starter,France,,,Lyon,Ligue 1,2022-2023
10,Rayan Cherki,"€ 43,846","€ 2,280,000",,"Aug 19, 2022","Jun 30, 2024",2,"€ 4,560,000",,F,AM,19,Starter,France,,,Lyon,Ligue 1,2022-2023
11,Damien Da Silva,"€ 20,577","€ 1,070,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 1,070,000",,D,CB,34,Reserve,France,,,Lyon,Ligue 1,2022-2023
12,Henrique,"€ 16,346","€ 850,000",,"Jul 3, 2019","Jun 30, 2024",2,"€ 1,700,000",,D,LB,28,Reserve,Brazil,,,Lyon,Ligue 1,2022-2023
13,Johann Lepenant,"€ 13,846","€ 720,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 3,600,000",,M,DM,20,Reserve,France,,,Lyon,Ligue 1,2022-2023
14,Sinaly Diomandé,"€ 11,731","€ 610,000",,"Jan 28, 2021","Jun 30, 2025",3,"€ 1,830,000",,D,CB,21,Starter,Cote d'Ivoire,,,Lyon,Ligue 1,2022-2023
15,Rémy Riou,"€ 8,077","€ 420,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 840,000",,K,GK,35,Reserve,France,,,Lyon,Ligue 1,2022-2023
16,Malo Gusto,"€ 7,692","€ 400,000",,"Jun 4, 2021","Jun 30, 2023",1,"€ 400,000",,D,RB,19,Reserve,France,,,Lyon,Ligue 1,2022-2023
17,Bradley Barcola,"€ 7,500","€ 390,000",,"Jan 7, 2022","Jun 30, 2026",4,"€ 1,560,000",,F,LW,20,Reserve,France,,,Lyon,Ligue 1,2022-2023
18,Mohamed El Arouch,"€ 2,885","€ 150,000",,"May 10, 2022","Jun 30, 2025",3,"€ 450,000",,M,CM,18,Reserve,France,,,Lyon,Ligue 1,2022-2023
19,Castello Lukeba,"€ 1,923","€ 100,000",,"Jan 3, 2022","Jun 30, 2025",3,"€ 300,000",,D,CB,20,Starter,France,,,Lyon,Ligue 1,2022-2023
20,Kayne Bonnevie,"€ 1,731","€ 90,000",,"May 11, 2022","Jun 30, 2024",2,"€ 180,000",,K,GK,21,Reserve,France,,,Lyon,Ligue 1,2022-2023
21,Saël Kumbedi,"€ 1,154","€ 60,000",,"Aug 31, 2022","Jun 30, 2025",3,"€ 180,000",,D,RB,17,Starter,France,,,Lyon,Ligue 1,2022-2023
22,Jeffinho,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2027",5,€ 0,,F,LW,23,Reserve,Brazil,,,Lyon,Ligue 1,2022-2023
23,Amin Sarr,€ 0,€ 0,,"Jan 30, 2023","Jun 30, 2027",5,€ 0,,F,CF,21,Reserve,Sweden,,,Lyon,Ligue 1,2022-2023
24,Total,"€ 940,577","€ 48,910,000","€ 910,000",,,,"€ 134,260,000",€ 0,,,,,,,,Lyon,Ligue 1,2022-2023
