,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Dimitri Payet,"€ 115,385","€ 6,000,000",,"Jun 27, 2020","Jun 30, 2024",2,"€ 12,000,000",,F,AM,35,Reserve,France,,,Marseille,Ligue 1,2022-2023
1,Alexis Sánchez,"€ 104,808","€ 5,450,000",,"Aug 10, 2022","Jun 30, 2023",1,"€ 5,450,000",,F,CF,34,Starter,Chile,,,Marseille,Ligue 1,2022-2023
2,Cengiz Ünder,"€ 104,808","€ 5,450,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 16,350,000",,F,RW,25,Starter,Turkey,,,Marseille,Ligue 1,2022-2023
3,Jordan Veretout,"€ 104,808","€ 5,450,000",,"Aug 5, 2022","Jun 30, 2025",3,"€ 16,350,000",,M,DM,29,Starter,France,,,Marseille,Ligue 1,2022-2023
4,Chancel Mbemba,"€ 98,077","€ 5,100,000",,"Jul 15, 2022","Jun 30, 2025",3,"€ 15,300,000",,D,CB,28,Reserve,Democratic Republic of the Congo,,,Marseille,Ligue 1,2022-2023
5,Eric Bailly,"€ 92,500","€ 4,810,000",,"Aug 24, 2022","Jun 30, 2023",1,"€ 4,810,000",,D,CB,28,Reserve,Cote d'Ivoire,,,Marseille,Ligue 1,2022-2023
6,Azzedine Ounahi,"€ 79,808","€ 4,150,000",,"Jan 29, 2023","Jun 30, 2027",5,"€ 20,750,000",,M,CM,22,Reserve,Morocco,,,Marseille,Ligue 1,2022-2023
7,Pau López,"€ 74,038","€ 3,850,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 15,400,000",,K,GK,28,Starter,Spain,,,Marseille,Ligue 1,2022-2023
8,Jonathan Clauss,"€ 63,462","€ 3,300,000",,"Jul 20, 2022","Jun 30, 2025",3,"€ 9,900,000",,D,RB,30,Starter,France,,,Marseille,Ligue 1,2022-2023
9,Amine Harit,"€ 59,615","€ 3,100,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 3,100,000",,F,AM,25,Reserve,Morocco,,,Marseille,Ligue 1,2022-2023
10,Valentin Rongier,"€ 52,500","€ 2,730,000",,"Sep 20, 2022","Jun 30, 2026",4,"€ 10,920,000",,M,CM,28,Starter,France,,,Marseille,Ligue 1,2022-2023
11,Sead Kolasinac,"€ 49,615","€ 2,580,000",,"Jan 18, 2022","Jun 30, 2023",1,"€ 2,580,000",,D,LB,29,Starter,Bosnia-Herzegovina,,,Marseille,Ligue 1,2022-2023
12,Mattéo Guendouzi,"€ 46,538","€ 2,420,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 7,260,000",,M,CM,23,Starter,France,,,Marseille,Ligue 1,2022-2023
13,Rubén Blanco,"€ 45,000","€ 2,340,000",,"Jul 20, 2022","Jun 30, 2023",1,"€ 2,340,000",,K,GK,27,Reserve,Spain,,,Marseille,Ligue 1,2022-2023
14,Samuel Gigot,"€ 43,654","€ 2,270,000",,"Jan 29, 2022","Jun 30, 2025",3,"€ 6,810,000",,D,CB,29,Starter,France,,,Marseille,Ligue 1,2022-2023
15,Ruslan Malinovskyi,"€ 35,000","€ 1,820,000",,"Jan 9, 2023","Jun 30, 2023",1,"€ 1,820,000",,F,AM,29,Starter,Ukraine,,,Marseille,Ligue 1,2022-2023
16,Nuno Tavares,"€ 32,115","€ 1,670,000",,"Jul 30, 2022","Jun 30, 2023",1,"€ 1,670,000",,D,LB,23,Reserve,Portugal,,,Marseille,Ligue 1,2022-2023
17,Leonardo Balerdi,"€ 19,038","€ 990,000",,"Jul 3, 2021","Jun 30, 2026",4,"€ 3,960,000",,D,CB,24,Starter,Argentina,,,Marseille,Ligue 1,2022-2023
18,Issa Kabore,"€ 12,692","€ 660,000",,"Aug 17, 2022","Jun 30, 2023",1,"€ 660,000",,D,RB,21,Reserve,Burkina Faso,,,Marseille,Ligue 1,2022-2023
19,Bartug Elmaz,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 360,000",,M,DM,19,Reserve,Turkey,,,Marseille,Ligue 1,2022-2023
20,Simon Ngapandouetnbu,"€ 1,538","€ 80,000",,"Mar 8, 2022","Jun 30, 2024",2,"€ 160,000",,K,GK,19,Reserve,Cameroon,,,Marseille,Ligue 1,2022-2023
21,Vitinha,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2027",5,€ 0,,F,CF,22,Reserve,Portugal,,,Marseille,Ligue 1,2022-2023
22,Arkadiusz Milik,€ 0,€ 0,,"Jan 21, 2021","Jun 30, 2025",3,€ 0,,F,CF,28,Reserve,Poland,,,Marseille,Ligue 1,2022-2023
23,Total,"€ 1,236,730","€ 64,310,000",€ 0,,,,"€ 157,950,000",€ 0,,,,,,,,Marseille,Ligue 1,2022-2023
