,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Wissam Ben Yedder,"€ 150,000","€ 7,800,000",,"Aug 14, 2019","Jun 30, 2024",2,"€ 15,600,000",,F,CF,32,Starter,France,,,Monaco,Ligue 1,2022-2023
1,Malang Sarr,"€ 138,846","€ 7,220,000",,"Aug 10, 2022","Jun 30, 2023",1,"€ 7,220,000",,D,CB,24,Reserve,France,,,Monaco,Ligue 1,2022-2023
2,Alexander Nübel,"€ 96,154","€ 5,000,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 5,000,000",,K,GK,26,Starter,Germany,,,Monaco,Ligue 1,2022-2023
3,Takumi Minamino,"€ 88,462","€ 4,600,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 18,400,000",,F,LW,28,Reserve,Japan,,,Monaco,Ligue 1,2022-2023
4,Breel Embolo,"€ 77,308","€ 4,020,000",,"Jul 15, 2022","Jun 30, 2026",4,"€ 16,080,000",,F,CF,25,Reserve,Switzerland,,,Monaco,Ligue 1,2022-2023
5,Kevin Volland,"€ 69,231","€ 3,600,000",,"Sep 2, 2020","Jun 30, 2024",2,"€ 7,200,000",,F,CF,30,Reserve,Germany,,,Monaco,Ligue 1,2022-2023
6,Gelson Martins,"€ 69,231","€ 3,600,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 7,200,000",,F,RW,27,Reserve,Portugal,,,Monaco,Ligue 1,2022-2023
7,Krépin Diatta,"€ 57,692","€ 3,000,000",,"Jan 21, 2021","Jun 30, 2025",3,"€ 9,000,000",,F,RW,23,Starter,Senegal,,,Monaco,Ligue 1,2022-2023
8,Vanderson,"€ 57,692","€ 3,000,000",,"Aug 17, 2022","Jun 30, 2027",5,"€ 15,000,000",,D,RB,21,Reserve,Brazil,,,Monaco,Ligue 1,2022-2023
9,Caio Henrique,"€ 51,923","€ 2,700,000",,"Aug 12, 2022","Jun 30, 2027",5,"€ 13,500,000",,D,LB,25,Starter,Brazil,,,Monaco,Ligue 1,2022-2023
