,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Wahbi Khazri,"€ 57,692","€ 3,000,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 3,000,000",,F,CF,31,Reserve,Tunisia,,,Montpellier,Ligue 1,2022-2023
1,Valère Germain,"€ 35,192","€ 1,830,000",,"Aug 31, 2021","Jun 30, 2024",2,"€ 3,660,000",,F,CF,32,Reserve,France,,,Montpellier,Ligue 1,2022-2023
2,Jordan Ferri,"€ 27,692","€ 1,440,000",,"Jan 25, 2022","Jun 30, 2026",4,"€ 5,760,000",,M,CM,30,Starter,France,,,Montpellier,Ligue 1,2022-2023
3,Téji Savanier,"€ 25,385","€ 1,320,000",,"Jun 2, 2022","Jun 30, 2026",4,"€ 5,280,000",,F,AM,31,Starter,France,,,Montpellier,Ligue 1,2022-2023
4,Christopher Jullien,"€ 17,308","€ 900,000",,"Aug 23, 2022","Jun 30, 2025",3,"€ 2,700,000",,D,CB,29,Starter,France,,,Montpellier,Ligue 1,2022-2023
5,Arnaud Nordin,"€ 14,423","€ 750,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 2,250,000",,F,RW,24,Starter,France,,,Montpellier,Ligue 1,2022-2023
6,Pedro Mendes,"€ 10,577","€ 550,000",,"Jul 18, 2017","Jun 30, 2023",1,"€ 550,000",,D,CB,32,Reserve,Portugal,,,Montpellier,Ligue 1,2022-2023
7,Stephy Mavididi,"€ 9,615","€ 500,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 1,000,000",,F,LW,24,Reserve,England,,,Montpellier,Ligue 1,2022-2023
8,Mamadou Sakho,"€ 8,654","€ 450,000",,"Jul 27, 2021","Jun 30, 2024",2,"€ 900,000",,D,CB,32,Reserve,France,,,Montpellier,Ligue 1,2022-2023
9,Mathías Suárez,"€ 8,077","€ 420,000",,"Jan 2, 2019","Jun 30, 2023",1,"€ 420,000",,D,RB,26,Reserve,Uruguay,,,Montpellier,Ligue 1,2022-2023
10,Théo Sainte-Luce,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,080,000",,D,LB,24,Reserve,France,,,Montpellier,Ligue 1,2022-2023
11,Bingourou Kamara,"€ 6,923","€ 360,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 360,000",,K,GK,26,Reserve,Senegal,,,Montpellier,Ligue 1,2022-2023
12,Yanis Guermouche,"€ 5,192","€ 270,000",,"May 23, 2022","Jun 30, 2024",2,"€ 540,000",,F,CF,21,Reserve,Algeria,,,Montpellier,Ligue 1,2022-2023
13,Faitout Maouassa,"€ 5,192","€ 270,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 270,000",,D,LB,24,Starter,France,,,Montpellier,Ligue 1,2022-2023
14,Léo Leroy,"€ 5,000","€ 260,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 780,000",,M,CM,22,Starter,France,,,Montpellier,Ligue 1,2022-2023
15,Thibault Tamas,"€ 4,808","€ 250,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 250,000",,D,LB,21,Reserve,France,,,Montpellier,Ligue 1,2022-2023
16,Maxime Estève,"€ 2,885","€ 150,000",,"Mar 31, 2022","Jun 30, 2025",3,"€ 450,000",,D,CB,20,Reserve,France,,,Montpellier,Ligue 1,2022-2023
17,Falaye Sacko,"€ 2,692","€ 140,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 140,000",,D,RB,27,Starter,Mali,,,Montpellier,Ligue 1,2022-2023
18,Khalil Fayad,"€ 2,308","€ 120,000",,"Feb 3, 2023","Jun 30, 2025",3,"€ 360,000",,M,CM,18,Reserve,France,,,Montpellier,Ligue 1,2022-2023
19,Elye Wahi,"€ 1,923","€ 100,000",,"Feb 4, 2021","Jun 30, 2025",3,"€ 300,000",,F,CF,20,Starter,France,,,Montpellier,Ligue 1,2022-2023
20,Dimitry Bertaud,"€ 1,923","€ 100,000",,"Sep 24, 2021","Jun 30, 2025",3,"€ 300,000",,K,GK,24,Reserve,France,,,Montpellier,Ligue 1,2022-2023
21,Enzo Tchato,"€ 1,731","€ 90,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 270,000",,D,CB,20,Reserve,Cameroon,,,Montpellier,Ligue 1,2022-2023
22,Joris Chotard,"€ 1,154","€ 60,000",,"Jun 29, 2022","Jun 30, 2025",3,"€ 180,000",,M,DM,21,Reserve,France,,,Montpellier,Ligue 1,2022-2023
23,Béni Makouana,€ 577,"€ 30,000",,"Oct 19, 2020","Jun 30, 2025",3,"€ 90,000",,F,LW,20,Reserve,Congo,,,Montpellier,Ligue 1,2022-2023
24,Matis Carvalho,€ 385,"€ 20,000",,"Jun 22, 2021","Jun 30, 2023",1,"€ 20,000",,K,GK,23,Reserve,Portugal,,,Montpellier,Ligue 1,2022-2023
25,Issiaga Sylla,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2025",3,€ 0,,D,LB,29,Starter,Guinea,,,Montpellier,Ligue 1,2022-2023
26,Benjamin Lecomte,€ 0,€ 0,,"Jan 26, 2023","Jun 30, 2027",5,€ 0,,K,GK,31,Starter,France,,,Montpellier,Ligue 1,2022-2023
27,Kiki Kouyaté,€ 0,€ 0,,"Jan 20, 2023","Jun 30, 2026",4,€ 0,,D,CB,25,Starter,Mali,,,Montpellier,Ligue 1,2022-2023
28,Total,"€ 264,231","€ 13,740,000",€ 0,,,,"€ 30,910,000",€ 0,,,,,,,,Montpellier,Ligue 1,2022-2023
