,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Andy Delort,"€ 48,462","€ 2,520,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 2,520,000",,F,CF,31,Starter,Algeria,,,Nantes,Ligue 1,2022-2023
1,Moses Simon,"€ 34,615","€ 1,800,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 3,600,000",,F,LW,27,Reserve,Nigeria,,,Nantes,Ligue 1,2022-2023
2,Mostafa Mohamed,"€ 34,038","€ 1,770,000",,"Jul 21, 2022","Jun 30, 2023",1,"€ 1,770,000",,F,CF,25,Reserve,Egypt,,,Nantes,Ligue 1,2022-2023
3,João Victor,"€ 31,346","€ 1,630,000",,"Jan 25, 2023","Jun 30, 2023",1,"€ 1,630,000",,D,CB,24,Reserve,Brazil,,,Nantes,Ligue 1,2022-2023
4,Moussa Sissoko,"€ 30,000","€ 1,560,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 3,120,000",,M,CM,33,Reserve,France,,,Nantes,Ligue 1,2022-2023
5,Nicolas Pallois,"€ 25,385","€ 1,320,000",,"Jan 18, 2022","Jun 30, 2024",2,"€ 2,640,000",,D,CB,35,Reserve,France,,,Nantes,Ligue 1,2022-2023
6,Andrei Girotto,"€ 20,769","€ 1,080,000",,"Jan 1, 2020","Jun 30, 2024",2,"€ 2,160,000",,D,CB,30,Starter,Brazil,,,Nantes,Ligue 1,2022-2023
7,Alban Lafont,"€ 19,615","€ 1,020,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 2,040,000",,K,GK,24,Starter,France,,,Nantes,Ligue 1,2022-2023
8,Ludovic Blas,"€ 18,462","€ 960,000",,"Sep 2, 2019","Jun 30, 2024",2,"€ 1,920,000",,F,AM,25,Starter,France,,,Nantes,Ligue 1,2022-2023
9,Sébastien Corchia,"€ 17,308","€ 900,000",,"Oct 7, 2020","Jun 30, 2023",1,"€ 900,000",,D,RB,32,Reserve,France,,,Nantes,Ligue 1,2022-2023
10,Ignatius Ganago,"€ 15,000","€ 780,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 3,120,000",,F,CF,23,Starter,Cameroon,,,Nantes,Ligue 1,2022-2023
11,Pedro Chirivella,"€ 13,846","€ 720,000",,"Apr 28, 2022","Jun 30, 2026",4,"€ 2,880,000",,M,CM,25,Starter,Spain,,,Nantes,Ligue 1,2022-2023
12,Jean-Charles Castelletto,"€ 10,385","€ 540,000",,"Mar 10, 2022","Jun 30, 2026",4,"€ 2,160,000",,D,CB,28,Starter,Cameroon,,,Nantes,Ligue 1,2022-2023
13,Charles Traoré,"€ 10,385","€ 540,000",,"Feb 11, 2020","Jun 30, 2023",1,"€ 540,000",,D,LB,31,Reserve,Mali,,,Nantes,Ligue 1,2022-2023
14,Marcus Coco,"€ 9,231","€ 480,000",,"Jul 16, 2019","Jun 30, 2023",1,"€ 480,000",,F,RW,26,Reserve,France,,,Nantes,Ligue 1,2022-2023
15,Evann Guessand,"€ 5,769","€ 300,000",,"Jul 12, 2022","Jun 30, 2023",1,"€ 300,000",,F,CF,21,Reserve,France,,,Nantes,Ligue 1,2022-2023
16,Denis Petric,"€ 4,231","€ 220,000",,"Feb 24, 2022","Jun 30, 2023",1,"€ 220,000",,K,GK,34,Reserve,Slovenia,,,Nantes,Ligue 1,2022-2023
17,Samuel Moutoussamy,"€ 4,038","€ 210,000",,"Jul 16, 2019","Jun 30, 2024",2,"€ 420,000",,M,CM,26,Starter,Democratic Republic of the Congo,,,Nantes,Ligue 1,2022-2023
18,Rémy Descamps,"€ 2,308","€ 120,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 240,000",,K,GK,26,Reserve,France,,,Nantes,Ligue 1,2022-2023
19,Quentin Merlin,"€ 1,346","€ 70,000",,"Apr 1, 2022","Jun 30, 2026",4,"€ 280,000",,D,LB,20,Reserve,France,,,Nantes,Ligue 1,2022-2023
20,Lohann Doucet,€ 962,"€ 50,000",,"Dec 8, 2021","Jun 30, 2025",3,"€ 150,000",,M,DM,20,Reserve,France,,,Nantes,Ligue 1,2022-2023
21,Robin Voisine,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 150,000",,D,CB,20,Reserve,France,,,Nantes,Ligue 1,2022-2023
22,Samuel Yépié Yépié,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 50,000",,F,AM,20,Reserve,France,,,Nantes,Ligue 1,2022-2023
23,Gor Manvelyan,€ 385,"€ 20,000",,"Apr 22, 2021","Jun 30, 2024",2,"€ 40,000",,F,AM,20,Reserve,France,,,Nantes,Ligue 1,2022-2023
24,Florent Mollet,€ 0,€ 0,,"Jan 17, 2023","Jun 30, 2025",3,€ 0,,F,AM,31,Starter,France,,,Nantes,Ligue 1,2022-2023
25,Fabien Centonze,€ 0,€ 0,,"Sep 22, 2022","Jun 30, 2027",5,€ 0,,D,RB,27,Starter,France,,,Nantes,Ligue 1,2022-2023
26,Jaouen Hadjam,€ 0,€ 0,,"Jan 17, 2023","Jun 30, 2027",5,€ 0,,D,LB,19,Starter,France,,,Nantes,Ligue 1,2022-2023
27,Total,"€ 359,810","€ 18,710,000",€ 0,,,,"€ 33,330,000",€ 0,,,,,,,,Nantes,Ligue 1,2022-2023
