,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Nicolas Pépé,"€ 113,846","€ 5,920,000",,"Aug 25, 2022","Jun 30, 2023",1,"€ 5,920,000",,F,RW,27,Reserve,Cote d'Ivoire,,,Nice,Ligue 1,2022-2023
1,Aaron Ramsey,"€ 104,808","€ 5,450,000",,"Aug 1, 2022","Jun 30, 2023",1,"€ 5,450,000",,M,CM,32,Starter,Wales,,,Nice,Ligue 1,2022-2023
2,Kasper Schmeichel,"€ 76,154","€ 3,960,000",,"Aug 3, 2022","Jun 30, 2025",3,"€ 11,880,000",,K,GK,36,Starter,Denmark,,,Nice,Ligue 1,2022-2023
3,Gaëtan Laborde,"€ 41,538","€ 2,160,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 8,640,000",,F,CF,28,Starter,France,,,Nice,Ligue 1,2022-2023
4,Joe Bryan,"€ 34,615","€ 1,800,000",,"Aug 31, 2022","Jun 30, 2023",1,"€ 1,800,000",,D,LB,29,Reserve,England,,,Nice,Ligue 1,2022-2023
5,Youcef Atal,"€ 34,615","€ 1,800,000",,"Jul 1, 2019","Jun 30, 2024",2,"€ 3,600,000",,D,RB,26,Reserve,Algeria,,,Nice,Ligue 1,2022-2023
6,Ross Barkley,"€ 30,000","€ 1,560,000",,"Sep 4, 2022","Jun 30, 2023",1,"€ 1,560,000",,M,CM,29,Reserve,England,,,Nice,Ligue 1,2022-2023
7,Dante,"€ 28,846","€ 1,500,000",,"Mar 3, 2022","Jun 30, 2023",1,"€ 1,500,000",,D,CB,39,Starter,Brazil,,,Nice,Ligue 1,2022-2023
8,Jean-Clair Todibo,"€ 22,692","€ 1,180,000",,"Nov 13, 2022","Jun 30, 2027",5,"€ 5,900,000",,D,CB,23,Starter,France,,,Nice,Ligue 1,2022-2023
9,Sofiane Diop,"€ 19,615","€ 1,020,000",,"Aug 29, 2022","Jun 30, 2027",5,"€ 5,100,000",,F,LW,22,Reserve,France,,,Nice,Ligue 1,2022-2023
10,Terem Moffi,"€ 17,308","€ 900,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 900,000",,F,CF,23,Starter,Nigeria,,,Nice,Ligue 1,2022-2023
11,Khéphren Thuram,"€ 16,731","€ 870,000",,"Sep 30, 2021","Jun 30, 2025",3,"€ 2,610,000",,M,DM,21,Starter,France,,,Nice,Ligue 1,2022-2023
12,Jordan Lotomba,"€ 14,615","€ 760,000",,"Aug 3, 2020","Jun 30, 2025",3,"€ 2,280,000",,D,RB,24,Starter,Switzerland,,,Nice,Ligue 1,2022-2023
13,Mattia Viti,"€ 11,538","€ 600,000",,"Aug 3, 2022","Jun 30, 2027",5,"€ 3,000,000",,D,CB,21,Reserve,Italy,,,Nice,Ligue 1,2022-2023
14,Pablo Rosario,"€ 7,500","€ 390,000",,"Jul 27, 2021","Jun 30, 2026",4,"€ 1,560,000",,M,DM,26,Reserve,Netherlands,,,Nice,Ligue 1,2022-2023
15,Marcin Bulka,"€ 6,923","€ 360,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,440,000",,K,GK,23,Reserve,Poland,,,Nice,Ligue 1,2022-2023
16,Alexis Beka Beka,"€ 6,923","€ 360,000",,"Aug 1, 2022","Jun 30, 2027",5,"€ 1,800,000",,M,DM,21,Reserve,France,,,Nice,Ligue 1,2022-2023
17,Hicham Boudaoui,"€ 5,577","€ 290,000",,"Jan 25, 2023","Jun 30, 2027",5,"€ 1,450,000",,M,CM,23,Starter,Algeria,,,Nice,Ligue 1,2022-2023
18,Melvin Bard,"€ 3,846","€ 200,000",,"Jul 16, 2021","Jun 30, 2025",3,"€ 600,000",,D,LB,22,Reserve,France,,,Nice,Ligue 1,2022-2023
19,Rares Ilie,"€ 3,462","€ 180,000",,"Jul 16, 2022","Jun 30, 2027",5,"€ 900,000",,F,LW,19,Reserve,Romania,,,Nice,Ligue 1,2022-2023
20,Billal Brahimi,"€ 2,692","€ 140,000",,"Jan 28, 2022","Jun 30, 2026",4,"€ 560,000",,F,LW,22,Reserve,Algeria,,,Nice,Ligue 1,2022-2023
21,Badredine Bouanani,€ 962,"€ 50,000",,"Jul 7, 2022","Jun 30, 2024",2,"€ 100,000",,F,RW,18,Starter,France,,,Nice,Ligue 1,2022-2023
22,Teddy Boulhendi,€ 385,"€ 20,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 40,000",,K,GK,21,Reserve,Algeria,,,Nice,Ligue 1,2022-2023
23,Reda Belahyane,€ 0,€ 0,,"Jul 1, 2021","Jun 30, 2024",2,€ 0,,M,DM,18,Reserve,France,,,Nice,Ligue 1,2022-2023
24,Antoine Mendy,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2025",3,€ 0,,D,RB,18,Starter,France,,,Nice,Ligue 1,2022-2023
25,Daouda Traoré,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2023",1,€ 0,,M,RM,16,Reserve,France,,,Nice,Ligue 1,2022-2023
26,Youssouf Ndayishimiye,€ 0,€ 0,,"Jan 25, 2023","Jun 30, 2027",5,€ 0,,D,CB,24,Reserve,Burundi,,,Nice,Ligue 1,2022-2023
27,Total,"€ 605,191","€ 31,470,000",€ 0,,,,"€ 68,590,000",€ 0,,,,,,,,Nice,Ligue 1,2022-2023
