,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Kylian Mbappé,"€ 1,384,615","€ 72,000,000","€ 60,000,000","May 21, 2022","Jun 30, 2025",3,"€ 216,000,000",,F,CF,24,Starter,France,,,Psg,Ligue 1,2022-2023
1,Lionel Messi,"€ 1,223,846","€ 63,640,000",,"Aug 10, 2021","Jun 30, 2023",1,"€ 63,640,000",,F,RW,35,Starter,Argentina,,,Psg,Ligue 1,2022-2023
2,Neymar,"€ 1,083,846","€ 56,360,000",,"May 8, 2021","Jun 30, 2025",3,"€ 169,080,000",,F,LW,30,Starter,Brazil,,,Psg,Ligue 1,2022-2023
3,Sergio Ramos,"€ 524,423","€ 27,270,000",,"Jul 8, 2021","Jun 30, 2023",1,"€ 27,270,000",,D,CB,36,Starter,Spain,,,Psg,Ligue 1,2022-2023
4,Marco Verratti,"€ 384,615","€ 20,000,000",,"Dec 28, 2022","Jun 30, 2026",4,"€ 80,000,000",,M,CM,30,Starter,Italy,,,Psg,Ligue 1,2022-2023
5,Gianluigi Donnarumma,"€ 349,615","€ 18,180,000",,"Jul 14, 2021","Jun 30, 2026",4,"€ 72,720,000",,K,GK,23,Starter,Italy,,,Psg,Ligue 1,2022-2023
6,Presnel Kimpembe,"€ 349,615","€ 18,180,000",,"Jul 11, 2020","Jun 30, 2024",2,"€ 36,360,000",,D,CB,27,Reserve,France,,,Psg,Ligue 1,2022-2023
7,Achraf Hakimi,"€ 279,808","€ 14,550,000",,"Jul 6, 2021","Jun 30, 2026",4,"€ 58,200,000",,D,RB,24,Starter,Morocco,,,Psg,Ligue 1,2022-2023
8,Marquinhos,"€ 276,923","€ 14,400,000",,"Jan 13, 2020","Jun 30, 2024",2,"€ 28,800,000",,D,CB,28,Starter,Brazil,,,Psg,Ligue 1,2022-2023
9,Keylor Navas,"€ 209,808","€ 10,910,000",,"Apr 26, 2021","Jun 30, 2024",2,"€ 8,640,000",,K,GK,35,Reserve,Costa Rica,,,Psg,Ligue 1,2022-2023
10,Mauro Icardi,"€ 209,808","€ 10,910,000",,"Sep 2, 2019","Jun 30, 2024",2,"€ 21,820,000",,F,CF,29,Reserve,Argentina,,,Psg,Ligue 1,2022-2023
11,Fabián Ruiz,"€ 174,808","€ 9,090,000",,"Aug 30, 2022","Jun 30, 2027",5,"€ 45,450,000",,M,CM,26,Starter,Spain,,,Psg,Ligue 1,2022-2023
12,Renato Sanches,"€ 174,808","€ 9,090,000",,"Aug 4, 2022","Jun 30, 2027",5,"€ 45,450,000",,M,CM,25,Reserve,Portugal,,,Psg,Ligue 1,2022-2023
13,Juan Bernat,"€ 161,538","€ 8,400,000",,"Mar 16, 2021","Jun 30, 2025",3,"€ 25,200,000",,D,LB,29,Starter,Spain,,,Psg,Ligue 1,2022-2023
14,Carlos Soler,"€ 122,308","€ 6,360,000",,"Sep 1, 2022","Jun 30, 2027",5,"€ 31,800,000",,M,CM,26,Reserve,Spain,,,Psg,Ligue 1,2022-2023
15,Vitinha,"€ 104,808","€ 5,450,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 27,250,000",,M,CM,22,Reserve,Portugal,,,Psg,Ligue 1,2022-2023
16,Julian Draxler,"€ 83,077","€ 4,320,000",,"Jan 3, 2017","Jun 30, 2024",2,"€ 8,640,000",,F,LW,28,Reserve,Germany,,,Psg,Ligue 1,2022-2023
17,Nordi Mukiele,"€ 57,692","€ 3,000,000",,"Jul 26, 2022","Jun 30, 2027",5,"€ 15,000,000",,D,RB,25,Reserve,France,,,Psg,Ligue 1,2022-2023
18,Sergio Rico,"€ 39,423","€ 2,050,000",,"Sep 5, 2020","Jun 30, 2024",2,"€ 4,100,000",,K,GK,29,Reserve,Spain,,,Psg,Ligue 1,2022-2023
19,Danilo Pereira,"€ 30,192","€ 1,570,000",,"Jul 1, 2021","Jun 30, 2025",3,"€ 4,710,000",,M,DM,31,Starter,Portugal,,,Psg,Ligue 1,2022-2023
20,Alexandre Letellier,"€ 11,538","€ 600,000",,"Jul 6, 2022","Jun 30, 2024",2,"€ 1,200,000",,K,GK,32,Reserve,France,,,Psg,Ligue 1,2022-2023
21,Hugo Ekitiké,"€ 10,385","€ 540,000",,"Jul 16, 2022","Jun 30, 2023",1,"€ 540,000",,F,CF,20,Reserve,France,,,Psg,Ligue 1,2022-2023
22,El Chadaille Bitshiabu,"€ 10,192","€ 530,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,060,000",,D,CB,17,Reserve,France,,,Psg,Ligue 1,2022-2023
23,Nuno Mendes,"€ 7,692","€ 400,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,600,000",,D,LB,20,Reserve,Portugal,,,Psg,Ligue 1,2022-2023
24,Timothée Pembélé,"€ 6,154","€ 320,000",,"Dec 4, 2020","Jun 30, 2024",2,"€ 640,000",,D,RB,20,Reserve,France,,,Psg,Ligue 1,2022-2023
25,Warren Zaïre-Emery,"€ 4,808","€ 250,000",,"Jul 15, 2022","Jun 30, 2025",3,"€ 750,000",,M,DM,16,Reserve,France,,,Psg,Ligue 1,2022-2023
26,Ismaël Gharbi,"€ 2,885","€ 150,000",,"Jun 17, 2022","Jun 30, 2025",3,"€ 450,000",,F,AM,18,Reserve,Spain,,,Psg,Ligue 1,2022-2023
27,Lucas Lavallée,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 360,000",,K,GK,19,Reserve,France,,,Psg,Ligue 1,2022-2023
28,Leandro Paredes,€ 0,€ 0,,"Jan 29, 2019","Jun 30, 2024",2,€ 0,,M,DM,28,Reserve,Argentina,,,Psg,Ligue 1,2022-2023
29,Layvin Kurzawa,€ 0,€ 0,,"Aug 27, 2015","Jun 30, 2024",2,€ 0,,D,LB,29,Reserve,France,,,Psg,Ligue 1,2022-2023
30,Ilyes Housni,€ 0,€ 0,,"Dec 30, 2022","Jun 30, 2026",4,€ 0,,F,CF,17,Reserve,France,,,Psg,Ligue 1,2022-2023
31,Total,"€ 7,281,538","€ 378,640,000","€ 60,000,000",,,,"€ 996,730,000",€ 0,,,,,,,,Psg,Ligue 1,2022-2023
