,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Folarin Balogun,"€ 34,615","€ 1,800,000",,"Aug 3, 2022","Jun 30, 2023",1,"€ 1,800,000",,F,CF,21,Starter,England,,,Reims,Ligue 1,2022-2023
1,Jens Cajuste,"€ 28,846","€ 1,500,000",,"Jan 10, 2022","Jun 30, 2026",4,"€ 6,000,000",,M,DM,23,Reserve,Sweden,,,Reims,Ligue 1,2022-2023
2,Maxime Busi,"€ 20,962","€ 1,090,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 4,360,000",,D,RB,23,Reserve,Belgium,,,Reims,Ligue 1,2022-2023
3,Yunis Abdelhamid,"€ 18,462","€ 960,000",,"Apr 28, 2022","Jun 30, 2024",2,"€ 1,920,000",,D,CB,35,Starter,Morocco,,,Reims,Ligue 1,2022-2023
4,Junya Ito,"€ 17,308","€ 900,000",,"Jul 29, 2022","Jun 30, 2026",4,"€ 3,600,000",,F,RW,29,Starter,Japan,,,Reims,Ligue 1,2022-2023
5,Thomas Foket,"€ 13,846","€ 720,000",,"Feb 13, 2023","Jun 30, 2023",1,"€ 720,000",,D,RB,28,Starter,Belgium,,,Reims,Ligue 1,2022-2023
6,Arbër Zeneli,"€ 13,462","€ 700,000",,"May 17, 2022","Jun 30, 2025",3,"€ 2,100,000",,F,LW,27,Reserve,Kosovo,,,Reims,Ligue 1,2022-2023
7,Yehvann Diouf,"€ 9,231","€ 480,000",,"Jul 7, 2021","Jun 30, 2024",2,"€ 960,000",,K,GK,23,Starter,France,,,Reims,Ligue 1,2022-2023
8,Azor Matusiwa,"€ 7,692","€ 400,000",,"Aug 31, 2021","Jun 30, 2026",4,"€ 1,600,000",,M,DM,24,Starter,Netherlands,,,Reims,Ligue 1,2022-2023
9,Kaj Sierhuis,"€ 7,308","€ 380,000",,"Jan 31, 2020","Jun 30, 2024",2,"€ 760,000",,F,CF,24,Reserve,Netherlands,,,Reims,Ligue 1,2022-2023
10,Mitchell van Bergen,"€ 6,731","€ 350,000",,"Aug 27, 2021","Jun 30, 2025",3,"€ 1,050,000",,F,LW,23,Reserve,Netherlands,,,Reims,Ligue 1,2022-2023
11,Emmanuel Agbadou,"€ 4,038","€ 210,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 1,050,000",,D,CB,25,Starter,Cote d'Ivoire,,,Reims,Ligue 1,2022-2023
12,Alexis Flips,"€ 3,846","€ 200,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 400,000",,F,RW,23,Starter,France,,,Reims,Ligue 1,2022-2023
13,Nicolas Penneteau,"€ 3,846","€ 200,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 200,000",,K,GK,41,Reserve,France,,,Reims,Ligue 1,2022-2023
14,Marshall Munetsi,"€ 3,462","€ 180,000",,"May 20, 2022","Jun 30, 2026",4,"€ 720,000",,M,DM,26,Starter,Zimbabwe,,,Reims,Ligue 1,2022-2023
15,Noah Jean Holm,"€ 2,885","€ 150,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 150,000",,F,CF,21,Reserve,Norway,,,Reims,Ligue 1,2022-2023
16,Myziane Maolida,"€ 2,885","€ 150,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 150,000",,F,LW,23,Starter,France,,,Reims,Ligue 1,2022-2023
17,Thibault De Smet,"€ 2,885","€ 150,000",,"Jul 1, 2020","Jun 30, 2024",2,"€ 300,000",,D,LB,24,Starter,Belgium,,,Reims,Ligue 1,2022-2023
18,Dion Lopy,"€ 1,923","€ 100,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 200,000",,M,DM,20,Reserve,Senegal,,,Reims,Ligue 1,2022-2023
19,Kamory Doumbia,€ 769,"€ 40,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 120,000",,F,AM,19,Reserve,Mali,,,Reims,Ligue 1,2022-2023
20,Florent Duparchy,€ 769,"€ 40,000",,"Dec 17, 2021","Jun 30, 2024",2,"€ 80,000",,K,GK,22,Reserve,France,,,Reims,Ligue 1,2022-2023
21,Total,"€ 205,771","€ 10,700,000",€ 0,,,,"€ 28,240,000",€ 0,,,,,,,,Reims,Ligue 1,2022-2023
