,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Steve Mandanda,"€ 125,962","€ 6,550,000",,"Jul 6, 2022","Jun 30, 2024",2,"€ 13,100,000",,K,GK,37,Starter,France,,,Rennes,Ligue 1,2022-2023
1,Martin Terrier,"€ 57,692","€ 3,000,000",,"Aug 24, 2022","Jun 30, 2026",4,"€ 12,000,000",,F,LW,25,Reserve,France,,,Rennes,Ligue 1,2022-2023
2,Arthur Theate,"€ 55,962","€ 2,910,000",,"Jul 29, 2022","Jun 30, 2026",4,"€ 11,640,000",,D,CB,22,Starter,Belgium,,,Rennes,Ligue 1,2022-2023
3,Benjamin Bourigeaud,"€ 43,846","€ 2,280,000",,"Sep 2, 2022","Jun 30, 2026",4,"€ 9,120,000",,M,RM,29,Starter,France,,,Rennes,Ligue 1,2022-2023
4,Hamari Traoré,"€ 41,538","€ 2,160,000",,"Sep 7, 2020","Jun 30, 2023",1,"€ 2,160,000",,D,RB,31,Reserve,Mali,,,Rennes,Ligue 1,2022-2023
5,Baptiste Santamaria,"€ 30,192","€ 1,570,000",,"Aug 17, 2021","Jun 30, 2025",3,"€ 4,710,000",,M,CM,27,Starter,France,,,Rennes,Ligue 1,2022-2023
6,Jérémy Doku,"€ 30,000","€ 1,560,000",,"Oct 5, 2020","Jun 30, 2025",3,"€ 4,680,000",,F,RW,20,Starter,Belgium,,,Rennes,Ligue 1,2022-2023
7,Birger Meling,"€ 30,000","€ 1,560,000",,"Sep 30, 2022","Jun 30, 2026",4,"€ 6,240,000",,D,LB,28,Reserve,Norway,,,Rennes,Ligue 1,2022-2023
8,Lovro Majer,"€ 30,000","€ 1,560,000",,"Oct 22, 2022","Jun 30, 2027",5,"€ 7,800,000",,F,AM,25,Reserve,Croatia,,,Rennes,Ligue 1,2022-2023
9,Karl Toko Ekambi,"€ 29,423","€ 1,530,000",,"Jan 26, 2023","Jun 30, 2023",1,"€ 1,530,000",,F,LW,30,Reserve,Cameroon,,,Rennes,Ligue 1,2022-2023
10,Arnaud Kalimuendo,"€ 28,846","€ 1,500,000",,"Aug 11, 2022","Jun 30, 2027",5,"€ 7,500,000",,F,CF,21,Starter,France,,,Rennes,Ligue 1,2022-2023
11,Djed Spence,"€ 27,885","€ 1,450,000",,"Jan 31, 2023","Jun 30, 2023",1,"€ 1,450,000",,D,RB,22,Starter,England,,,Rennes,Ligue 1,2022-2023
12,Flavien Tait,"€ 27,692","€ 1,440,000",,"May 23, 2022","Jun 30, 2024",2,"€ 2,880,000",,M,CM,29,Reserve,France,,,Rennes,Ligue 1,2022-2023
13,Amine Gouiri,"€ 23,077","€ 1,200,000",,"Sep 1, 2022","Jun 30, 2027",5,"€ 6,000,000",,F,CF,22,Starter,France,,,Rennes,Ligue 1,2022-2023
14,Romain Salin,"€ 13,269","€ 690,000",,"Dec 17, 2021","Jun 30, 2024",2,"€ 1,380,000",,K,GK,38,Reserve,France,,,Rennes,Ligue 1,2022-2023
15,Joe Rodon,"€ 11,154","€ 580,000",,"Aug 1, 2022","Jun 30, 2023",1,"€ 580,000",,D,CB,25,Starter,Wales,,,Rennes,Ligue 1,2022-2023
16,Désiré Doué,"€ 6,923","€ 360,000",,"Nov 2, 2022","Jun 30, 2025",3,"€ 1,080,000",,F,AM,17,Starter,France,,,Rennes,Ligue 1,2022-2023
17,Lorenz Assignon,"€ 4,808","€ 250,000",,"Jul 12, 2021","Jun 30, 2025",3,"€ 750,000",,D,RB,22,Reserve,France,,,Rennes,Ligue 1,2022-2023
18,Christopher Wooh,"€ 4,615","€ 240,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 960,000",,D,CB,21,Reserve,Cameroon,,,Rennes,Ligue 1,2022-2023
19,Adrien Truffert,"€ 2,885","€ 150,000",,"Feb 25, 2021","Jun 30, 2025",3,"€ 450,000",,D,LB,21,Starter,France,,,Rennes,Ligue 1,2022-2023
20,Dogan Alemdar,"€ 2,500","€ 130,000",,"Aug 27, 2021","Jun 30, 2026",4,"€ 520,000",,K,GK,20,Reserve,Turkey,,,Rennes,Ligue 1,2022-2023
21,Elias Damergy,€ 962,"€ 50,000",,"Jul 1, 2022","Jun 30, 2023",1,"€ 50,000",,K,GK,20,Reserve,Tunisia,,,Rennes,Ligue 1,2022-2023
22,Lesley Ugochukwu,€ 769,"€ 40,000",,"Jun 23, 2022","Jun 30, 2025",3,"€ 120,000",,M,DM,18,Reserve,France,,,Rennes,Ligue 1,2022-2023
23,Guéla Doué,€ 577,"€ 30,000",,"Jan 17, 2023","Jun 30, 2025",3,"€ 90,000",,D,RB,20,Reserve,France,,,Rennes,Ligue 1,2022-2023
24,Jeanuël Belocian,€ 577,"€ 30,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 60,000",,D,CB,17,Reserve,France,,,Rennes,Ligue 1,2022-2023
25,Warmed Omari,€ 577,"€ 30,000",,"Dec 30, 2021","Jun 30, 2026",4,"€ 120,000",,D,CB,22,Reserve,France,,,Rennes,Ligue 1,2022-2023
26,Ibrahim Salah,€ 0,€ 0,,"Jan 31, 2023","Jun 30, 2027",5,€ 0,,F,LW,21,Reserve,Morocco,,,Rennes,Ligue 1,2022-2023
27,Xeka,€ 0,€ 0,,"Sep 21, 2022","Jun 30, 2024",2,€ 0,,M,CM,28,Reserve,Portugal,,,Rennes,Ligue 1,2022-2023
28,Total,"€ 631,731","€ 32,850,000",€ 0,,,,"€ 96,970,000",€ 0,,,,,,,,Rennes,Ligue 1,2022-2023
