,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMRB,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Morgan Sanson,"€ 50,000","€ 2,600,000",,"Jan 23, 2023","Jun 30, 2023",1,"€ 2,600,000",,M,CM,28,Starter,France,,,Strasbourg,Ligue 1,2022-2023
1,Kévin Gameiro,"€ 27,692","€ 1,440,000",,"Jul 18, 2021","Jun 30, 2023",1,"€ 1,440,000",,F,CF,35,Starter,France,,,Strasbourg,Ligue 1,2022-2023
2,Habib Diarra,"€ 21,923","€ 1,140,000",,"Jul 21, 2022","Jun 30, 2027",5,"€ 5,700,000",,M,DM,19,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
3,Matz Sels,"€ 20,769","€ 1,080,000",,"Jun 23, 2022","Jun 30, 2026",4,"€ 4,320,000",,K,GK,30,Starter,Belgium,,,Strasbourg,Ligue 1,2022-2023
4,Jean-Eudes Aholou,"€ 17,885","€ 930,000",,"Jul 1, 2022","Jun 30, 2024",2,"€ 1,860,000",,M,DM,28,Reserve,Cote d'Ivoire,,,Strasbourg,Ligue 1,2022-2023
5,Alexander Djiku,"€ 16,154","€ 840,000",,"Jul 5, 2019","Jun 30, 2023",1,"€ 840,000",,D,CB,28,Reserve,Ghana,,,Strasbourg,Ligue 1,2022-2023
6,Lebo Mothiba,"€ 16,154","€ 840,000",,"Aug 30, 2018","Jun 30, 2024",2,"€ 1,680,000",,F,CF,27,Reserve,South Africa,,,Strasbourg,Ligue 1,2022-2023
7,Sanjin Prcic,"€ 16,154","€ 840,000",,"May 24, 2022","Jun 30, 2025",3,"€ 2,520,000",,M,CM,29,Starter,Bosnia-Herzegovina,,,Strasbourg,Ligue 1,2022-2023
8,Colin Dagba,"€ 12,692","€ 660,000",,"Jul 6, 2022","Jun 30, 2023",1,"€ 660,000",,D,RB,24,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
9,Dimitri Liénard,"€ 11,731","€ 610,000",,"Jun 28, 2021","Jun 30, 2023",1,"€ 610,000",,M,LM,34,Starter,France,,,Strasbourg,Ligue 1,2022-2023
10,Habib Diallo,"€ 11,731","€ 610,000",,"Oct 5, 2020","Jun 30, 2025",3,"€ 1,830,000",,F,CF,27,Starter,Senegal,,,Strasbourg,Ligue 1,2022-2023
11,Thomas Delaine,"€ 10,000","€ 520,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 1,560,000",,D,LB,30,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
12,Gerzino Nyamsi,"€ 8,654","€ 450,000",,"Aug 30, 2021","Jun 30, 2025",3,"€ 1,350,000",,D,CB,26,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
13,Maxime Le Marchand,"€ 7,692","€ 400,000",,"Aug 26, 2021","Jun 30, 2023",1,"€ 400,000",,D,CB,33,Starter,France,,,Strasbourg,Ligue 1,2022-2023
14,Ismaël Doukouré,"€ 7,692","€ 400,000",,"Jan 29, 2022","Jun 30, 2026",4,"€ 1,600,000",,D,CB,19,Starter,France,,,Strasbourg,Ligue 1,2022-2023
15,Eiji Kawashima,"€ 7,115","€ 370,000",,"Jun 12, 2021","Jun 30, 2023",1,"€ 370,000",,K,GK,39,Reserve,Japan,,,Strasbourg,Ligue 1,2022-2023
16,Jean-Ricner Bellegarde,"€ 6,538","€ 340,000",,"Nov 8, 2021","Jun 30, 2024",2,"€ 680,000",,M,CM,24,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
17,Ibrahima Sissoko,"€ 6,346","€ 330,000",,"May 22, 2020","Jun 30, 2024",2,"€ 660,000",,M,DM,25,Starter,France,,,Strasbourg,Ligue 1,2022-2023
18,Lucas Perrin,"€ 1,923","€ 100,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 300,000",,D,CB,24,Starter,France,,,Strasbourg,Ligue 1,2022-2023
19,Nordine Kandil,€ 769,"€ 40,000",,"Jun 23, 2022","Jun 30, 2025",3,"€ 120,000",,F,AM,21,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
20,Alexandre Pierre,€ 577,"€ 30,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 60,000",,K,GK,21,Reserve,Haiti,,,Strasbourg,Ligue 1,2022-2023
21,Eduard Sobol,€ 0,€ 0,,"Jan 23, 2023","Jun 30, 2026",4,€ 0,,D,LB,27,Reserve,Ukraine,,,Strasbourg,Ligue 1,2022-2023
22,Robin Risser,€ 0,€ 0,,"Jul 1, 2021","Jun 30, 2023",1,€ 0,,K,GK,18,Reserve,France,,,Strasbourg,Ligue 1,2022-2023
23,Yuito Suzuki,€ 0,€ 0,,"Jan 27, 2023","Jun 30, 2023",1,€ 0,,F,AM,21,Reserve,Japan,,,Strasbourg,Ligue 1,2022-2023
24,Frédéric Guilbert,€ 0,€ 0,,"Jan 17, 2023","Jun 30, 2026",4,€ 0,,D,RB,28,Starter,France,,,Strasbourg,Ligue 1,2022-2023
25,Total,"€ 280,191","€ 14,570,000",€ 0,,,,"€ 31,160,000",€ 0,,,,,,,,Strasbourg,Ligue 1,2022-2023
