,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Brecht Dejaegere,"€ 17,308","€ 900,000",,"Jul 1, 2021","Jun 30, 2023",1,"€ 900,000",,M,CM,31,Starter,Belgium,,,Toulouse,Ligue 1,2022-2023
1,Branco van den Boomen,"€ 15,000","€ 780,000",,"Aug 7, 2020","Jun 30, 2023",1,"€ 780,000",,M,CM,27,Reserve,Netherlands,,,Toulouse,Ligue 1,2022-2023
2,Ado Onaiwu,"€ 11,538","€ 600,000",,"Jul 20, 2021","Jun 30, 2024",2,"€ 1,200,000",,F,CF,27,Reserve,Japan,,,Toulouse,Ligue 1,2022-2023
3,Mikkel Desler,"€ 11,538","€ 600,000",,"Jul 20, 2021","Jun 30, 2023",1,"€ 600,000",,D,RB,27,Starter,Denmark,,,Toulouse,Ligue 1,2022-2023
4,Veljko Birmancevic,"€ 11,538","€ 600,000",,"Sep 1, 2022","Jun 30, 2026",4,"€ 2,400,000",,F,LW,24,Reserve,Serbia,,,Toulouse,Ligue 1,2022-2023
5,Rasmus Nicolaisen,"€ 10,577","€ 550,000",,"Aug 17, 2021","Jun 30, 2025",3,"€ 1,650,000",,D,CB,25,Starter,Denmark,,,Toulouse,Ligue 1,2022-2023
6,Rafael Ratão,"€ 9,615","€ 500,000",,"Aug 31, 2021","Jun 30, 2024",2,"€ 1,000,000",,F,LW,27,Starter,Brazil,,,Toulouse,Ligue 1,2022-2023
7,Zakaria Aboukhlal,"€ 5,769","€ 300,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,200,000",,F,RW,22,Starter,Morocco,,,Toulouse,Ligue 1,2022-2023
8,Kjetil Haug,"€ 5,769","€ 300,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 1,200,000",,K,GK,24,Reserve,Norway,,,Toulouse,Ligue 1,2022-2023
9,Logan Costa,"€ 5,577","€ 290,000",,"Aug 20, 2021","Jun 30, 2025",3,"€ 870,000",,D,CB,21,Reserve,Cape Verde,,,Toulouse,Ligue 1,2022-2023
10,Maxime Dupé,"€ 5,000","€ 260,000",,"Jul 1, 2020","Jun 30, 2023",1,"€ 260,000",,K,GK,29,Starter,France,,,Toulouse,Ligue 1,2022-2023
11,Theocharis Tsingaras,"€ 4,615","€ 240,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 240,000",,M,CM,22,Reserve,Greece,,,Toulouse,Ligue 1,2022-2023
12,Oliver Zandén,"€ 4,615","€ 240,000",,"Jul 19, 2022","Jun 30, 2026",4,"€ 960,000",,D,LB,21,Reserve,Sweden,,,Toulouse,Ligue 1,2022-2023
13,Denis Genreau,"€ 3,462","€ 180,000",,"Aug 2, 2021","Jun 30, 2025",3,"€ 540,000",,F,AM,23,Reserve,Australia,,,Toulouse,Ligue 1,2022-2023
14,Stijn Spierings,"€ 3,077","€ 160,000",,"Oct 5, 2020","Jun 30, 2023",1,"€ 160,000",,M,DM,26,Starter,Netherlands,,,Toulouse,Ligue 1,2022-2023
15,Rhys Healey,"€ 2,500","€ 130,000",,"Aug 27, 2020","Jun 30, 2023",1,"€ 130,000",,F,CF,28,Reserve,England,,,Toulouse,Ligue 1,2022-2023
16,Thijs Dallinga,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2026",4,"€ 480,000",,F,CF,22,Starter,Netherlands,,,Toulouse,Ligue 1,2022-2023
17,Farès Chaïbi,"€ 2,308","€ 120,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 360,000",,F,AM,20,Starter,France,,,Toulouse,Ligue 1,2022-2023
18,Anthony Rouault,"€ 1,731","€ 90,000",,"Aug 13, 2021","Jun 30, 2024",2,"€ 180,000",,D,CB,21,Starter,France,,,Toulouse,Ligue 1,2022-2023
19,Moussa Diarra,"€ 1,346","€ 70,000",,"Sep 29, 2021","Jun 30, 2024",2,"€ 140,000",,D,LB,22,Reserve,Mali,,,Toulouse,Ligue 1,2022-2023
20,Kévin Keben,"€ 1,154","€ 60,000",,"Jul 1, 2022","Jun 30, 2025",3,"€ 180,000",,D,CB,19,Reserve,Cameroon,,,Toulouse,Ligue 1,2022-2023
21,Thomas Himeur,€ 385,"€ 20,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 40,000",,K,GK,22,Reserve,France,,,Toulouse,Ligue 1,2022-2023
22,Gabriel Suazo,€ 0,€ 0,,"Jan 16, 2023","Jun 30, 2026",4,€ 0,,D,LB,25,Starter,Chile,,,Toulouse,Ligue 1,2022-2023
23,Saïd Hamulic,€ 0,€ 0,,"Jan 24, 2023","Jun 30, 2027",5,€ 0,,F,CF,22,Reserve,Bosnia-Herzegovina,,,Toulouse,Ligue 1,2022-2023
24,Vincent Sierro,€ 0,€ 0,,"Jan 23, 2023","Jun 30, 2026",4,€ 0,,M,CM,27,Reserve,Switzerland,,,Toulouse,Ligue 1,2022-2023
25,Warren Kamanzi,€ 0,€ 0,,"Jan 2, 2023","Jun 30, 2026",4,€ 0,,D,RB,22,Reserve,Norway,,,Toulouse,Ligue 1,2022-2023
26,Total,"€ 136,730","€ 7,110,000",€ 0,,,,"€ 15,470,000",€ 0,,,,,,,,Toulouse,Ligue 1,2022-2023
