,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Rony Lopes,"€ 42,308","€ 2,200,000",,"Aug 24, 2022","Jun 30, 2023",1,"€ 2,200,000",,F,RW,27,Starter,Portugal,,,Troyes,Ligue 1,2022-2023
1,Jeff Reine-Adélaïde,"€ 21,731","€ 1,130,000",,"Jan 30, 2023","Jun 30, 2023",1,"€ 1,130,000",,F,AM,25,Starter,France,,,Troyes,Ligue 1,2022-2023
2,Renaud Ripart,"€ 16,154","€ 840,000",,"Jul 15, 2021","Jun 30, 2025",3,"€ 2,520,000",,F,RW,29,Reserve,France,,,Troyes,Ligue 1,2022-2023
3,Iké Ugbo,"€ 15,000","€ 780,000",,"Aug 4, 2022","Jun 30, 2026",4,"€ 3,120,000",,F,CF,24,Reserve,Canada,,,Troyes,Ligue 1,2022-2023
4,Ante Palaversa,"€ 15,000","€ 780,000",,"Aug 31, 2022","Jun 30, 2025",3,"€ 2,340,000",,M,CM,22,Reserve,Croatia,,,Troyes,Ligue 1,2022-2023
5,Adil Rami,"€ 15,000","€ 780,000",,"Jul 8, 2022","Jun 30, 2023",1,"€ 780,000",,D,CB,37,Reserve,France,,,Troyes,Ligue 1,2022-2023
6,Xavier Chavalerin,"€ 15,000","€ 780,000",,"Aug 29, 2021","Jun 30, 2024",2,"€ 1,560,000",,M,CM,31,Starter,France,,,Troyes,Ligue 1,2022-2023
7,Mama Baldé,"€ 14,615","€ 760,000",,"Jul 31, 2021","Jun 30, 2025",3,"€ 2,280,000",,F,CF,27,Starter,Guinea-Bissau,,,Troyes,Ligue 1,2022-2023
8,Abdu Conté,"€ 13,462","€ 700,000",,"Jan 12, 2022","Jun 30, 2026",4,"€ 2,800,000",,D,LB,24,Reserve,Portugal,,,Troyes,Ligue 1,2022-2023
9,Rominigue Kouamé,"€ 12,692","€ 660,000",,"Jul 1, 2021","Jun 30, 2024",2,"€ 1,320,000",,M,CM,26,Reserve,Mali,,,Troyes,Ligue 1,2022-2023
10,Jackson Porozo,"€ 12,692","€ 660,000",,"Jul 1, 2022","Jun 30, 2027",5,"€ 3,300,000",,D,CB,22,Starter,Ecuador,,,Troyes,Ligue 1,2022-2023
11,Tristan Dingomé,"€ 12,692","€ 660,000",,"Oct 5, 2020","Jun 30, 2023",1,"€ 660,000",,M,CM,31,Reserve,Cameroon,,,Troyes,Ligue 1,2022-2023
12,Lucien Agoume,"€ 12,308","€ 640,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 640,000",,M,DM,20,Starter,France,,,Troyes,Ligue 1,2022-2023
13,Erik Palmer-Brown,"€ 11,538","€ 600,000",,"Feb 2, 2022","Jun 30, 2024",2,"€ 1,200,000",,D,CB,25,Starter,United States,,,Troyes,Ligue 1,2022-2023
14,Gauthier Gallon,"€ 6,923","€ 360,000",,"Jun 26, 2021","Jun 30, 2024",2,"€ 720,000",,K,GK,29,Starter,France,,,Troyes,Ligue 1,2022-2023
15,Mateusz Lis,"€ 5,769","€ 300,000",,"Sep 1, 2022","Jun 30, 2023",1,"€ 300,000",,K,GK,25,Reserve,Poland,,,Troyes,Ligue 1,2022-2023
16,Yoann Salmier,"€ 5,769","€ 300,000",,"Jun 30, 2021","Jun 30, 2024",2,"€ 600,000",,D,CB,30,Starter,French Guiana,,,Troyes,Ligue 1,2022-2023
17,Andreas Bruus,"€ 5,192","€ 270,000",,"Jul 18, 2022","Jun 30, 2027",5,"€ 1,350,000",,D,RB,24,Reserve,Denmark,,,Troyes,Ligue 1,2022-2023
18,Papa Ndiaga Yade,"€ 5,192","€ 270,000",,"Aug 25, 2022","Jun 30, 2023",1,"€ 270,000",,F,LW,23,Reserve,Senegal,,,Troyes,Ligue 1,2022-2023
19,Jessy Moulin,"€ 3,846","€ 200,000",,"Jul 19, 2021","Jun 30, 2023",1,"€ 200,000",,K,GK,37,Reserve,France,,,Troyes,Ligue 1,2022-2023
20,Florian Tardieu,"€ 3,269","€ 170,000",,"Jun 25, 2021","Jun 30, 2024",2,"€ 340,000",,M,CM,30,Reserve,France,,,Troyes,Ligue 1,2022-2023
21,Thierno Baldé,"€ 2,885","€ 150,000",,"Aug 9, 2022","Jun 30, 2027",5,"€ 750,000",,D,RB,20,Starter,France,,,Troyes,Ligue 1,2022-2023
22,Eric N'Jo,"€ 1,154","€ 60,000",,"Jun 8, 2022","Jun 30, 2025",3,"€ 180,000",,D,CB,18,Reserve,France,,,Troyes,Ligue 1,2022-2023
23,Levi Lumeka,"€ 1,154","€ 60,000",,"Jul 28, 2020","Jun 30, 2024",2,"€ 120,000",,F,LW,24,Reserve,England,,,Troyes,Ligue 1,2022-2023
24,Wilson Odobert,€ 769,"€ 40,000",,"Jan 24, 2023","Jun 30, 2027",5,"€ 200,000",,F,RW,18,Reserve,France,,,Troyes,Ligue 1,2022-2023
25,Yasser Larouci,€ 385,"€ 20,000",,"Jul 28, 2021","Jun 30, 2026",4,"€ 80,000",,D,LB,22,Starter,France,,,Troyes,Ligue 1,2022-2023
26,Tanguy Zoukrou,€ 0,€ 0,,"Jul 1, 2022","Jun 30, 2024",2,€ 0,,D,CB,19,Reserve,France,,,Troyes,Ligue 1,2022-2023
27,Alexis Tibidi,€ 0,€ 0,,"Jan 28, 2023","Jun 30, 2027",5,€ 0,,F,LW,19,Reserve,France,,,Troyes,Ligue 1,2022-2023
28,Marlos Moreno,€ 0,€ 0,,"Sep 1, 2022","Jun 30, 2024",2,€ 0,,F,RW,26,Reserve,Colombia,,,Troyes,Ligue 1,2022-2023
29,Total,"€ 272,499","€ 14,170,000",€ 0,,,,"€ 30,960,000",€ 0,,,,,,,,Troyes,Ligue 1,2022-2023
