,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. CBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Lucas Digne,"£ 160,000","£ 8,320,000",,"Jan 13, 2022","Jun 30, 2026",4,"£ 33,280,000",,D,LB,29,Starter,France,,,Aston Villa,Premier League,2022-2023
1,Boubacar Kamara,"£ 150,000","£ 7,800,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 39,000,000",,M,DM,23,Starter,France,,,Aston Villa,Premier League,2022-2023
2,Philippe Coutinho,"£ 125,000","£ 6,500,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 26,000,000",,F,LW,30,Reserve,Brazil,,,Aston Villa,Premier League,2022-2023
3,Emiliano Martínez,"£ 120,000","£ 6,240,000",,"Jan 21, 2022","Jun 30, 2027",5,"£ 31,200,000",,K,GK,30,Starter,Argentina,,,Aston Villa,Premier League,2022-2023
4,Tyrone Mings,"£ 100,000","£ 5,200,000",,"Feb 17, 2023","Jun 30, 2026",4,"£ 20,800,000",,D,CB,29,Starter,England,,,Aston Villa,Premier League,2022-2023
5,Leon Bailey,"£ 100,000","£ 5,200,000",,"Aug 4, 2021","Jun 30, 2025",3,"£ 15,600,000",,F,LW,25,Starter,Jamaica,,,Aston Villa,Premier League,2022-2023
6,Diego Carlos,"£ 100,000","£ 5,200,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 20,800,000",,D,CB,29,Reserve,Brazil,,,Aston Villa,Premier League,2022-2023
7,Leander Dendoncker,"£ 90,000","£ 4,680,000",,"Sep 1, 2022","Jun 30, 2023",1,"£ 4,680,000",,M,DM,27,Reserve,Belgium,,,Aston Villa,Premier League,2022-2023
8,Matty Cash,"£ 80,000","£ 4,160,000",,"Apr 4, 2022","Jun 30, 2027",5,"£ 20,800,000",,D,RB,25,Reserve,Poland,,,Aston Villa,Premier League,2022-2023
9,Bertrand Traoré,"£ 77,885","£ 4,050,000",,"Sep 19, 2020","Jun 30, 2024",2,"£ 8,100,000",,F,RW,27,Reserve,Burkina Faso,,,Aston Villa,Premier League,2022-2023
10,Emiliano Buendía,"£ 75,000","£ 3,900,000",,"Jul 1, 2021","Jun 30, 2026",4,"£ 15,600,000",,F,RW,26,Starter,Argentina,,,Aston Villa,Premier League,2022-2023
11,Douglas Luiz,"£ 75,000","£ 3,900,000",,"Oct 14, 2022","Jun 30, 2026",4,"£ 15,600,000",,M,CM,24,Starter,Brazil,,,Aston Villa,Premier League,2022-2023
12,Ollie Watkins,"£ 75,000","£ 3,900,000",,"Sep 9, 2020","Jun 30, 2025",3,"£ 11,700,000",,F,CF,27,Starter,England,,,Aston Villa,Premier League,2022-2023
13,Jacob Ramsey,"£ 70,000","£ 3,640,000",,"Apr 26, 2022","Jun 30, 2027",5,"£ 18,200,000",,M,CM,21,Starter,England,,,Aston Villa,Premier League,2022-2023
14,John McGinn,"£ 55,000","£ 2,860,000",,"Dec 11, 2020","Jun 30, 2025",3,"£ 8,580,000",,M,CM,28,Reserve,Scotland,,,Aston Villa,Premier League,2022-2023
15,Calum Chambers,"£ 50,000","£ 2,600,000",,"Jan 27, 2022","Jun 30, 2025",3,"£ 7,800,000",,D,CB,28,Reserve,England,,,Aston Villa,Premier League,2022-2023
16,Robin Olsen,"£ 50,000","£ 2,600,000","£ 1,560,000","Jul 1, 2022","Jun 30, 2023",1,"£ 2,600,000",,K,GK,33,Reserve,Sweden,,,Aston Villa,Premier League,2022-2023
17,Ashley Young,"£ 50,000","£ 2,600,000",,"Jul 4, 2022","Jun 30, 2023",1,"£ 2,600,000",,D,RB,37,Starter,England,,,Aston Villa,Premier League,2022-2023
18,Keinan Davis,"£ 45,000","£ 2,340,000",,"Aug 13, 2022","Jun 30, 2024",2,"£ 4,680,000",,F,CF,24,Reserve,England,,,Aston Villa,Premier League,2022-2023
19,Álex Moreno,"£ 35,000","£ 1,820,000",,"Jan 11, 2023","Jun 30, 2026",4,"£ 7,280,000",,D,LB,29,Reserve,Spain,,,Aston Villa,Premier League,2022-2023
20,Jhon Durán,"£ 30,000","£ 1,560,000",,"Jan 23, 2023","Jun 30, 2028",6,"£ 9,360,000",,F,CF,19,Reserve,Colombia,,,Aston Villa,Premier League,2022-2023
21,Ezri Konsa,"£ 30,000","£ 1,560,000",,"Apr 2, 2021","Jun 30, 2026",4,"£ 6,240,000",,D,CB,25,Starter,England,,,Aston Villa,Premier League,2022-2023
22,Jed Steer,"£ 20,000","£ 1,040,000",,"Jun 20, 2019","Jun 30, 2023",1,"£ 1,040,000",,K,GK,30,Reserve,England,,,Aston Villa,Premier League,2022-2023
23,Total,"£ 1,762,885","£ 91,670,000","£ 1,560,000",,,,"£ 331,540,000",£ 0,,,,,,,,Aston Villa,Premier League,2022-2023
