,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028May 31, 2023",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Jefferson Lerma,"£ 55,000","£ 2,860,000",,"Aug 7, 2018","Jun 30, 2023",1,"£ 2,860,000",,M,DM,28,Starter,Colombia,,,Bournemouth,Premier League,2022-2023
1,Marcos Senesi,"£ 50,000","£ 2,600,000",,"Aug 8, 2022","Jun 30, 2026",4,"£ 10,400,000",,D,CB,25,Starter,Argentina,,,Bournemouth,Premier League,2022-2023
2,Neto,"£ 50,000","£ 2,600,000",,"Aug 7, 2022","Jun 30, 2023",1,"£ 2,600,000",,K,GK,33,Starter,Brazil,,,Bournemouth,Premier League,2022-2023
3,David Brooks,"£ 50,000","£ 2,600,000",,"Aug 22, 2022","Jun 30, 2026",4,"£ 10,400,000",,F,RW,25,Reserve,Wales,,,Bournemouth,Premier League,2022-2023
4,Dominic Solanke,"£ 50,000","£ 2,600,000",,"Aug 3, 2022","Jun 30, 2026",4,"£ 10,400,000",,F,CF,25,Starter,England,,,Bournemouth,Premier League,2022-2023
5,Jack Stephens,"£ 45,000","£ 2,340,000",,"Sep 1, 2022","May 31, 2023",1,"£ 2,340,000",,D,CB,29,Starter,England,,,Bournemouth,Premier League,2022-2023
6,Hamed Junior Traorè,"£ 45,000","£ 2,340,000",,"Jan 31, 2023","Jun 30, 2023",1,"£ 2,340,000",,F,AM,22,Starter,Cote d'Ivoire,,,Bournemouth,Premier League,2022-2023
7,Lewis Cook,"£ 40,000","£ 2,080,000",,"Aug 4, 2022","Jun 30, 2025",3,"£ 6,240,000",,M,CM,25,Reserve,England,,,Bournemouth,Premier League,2022-2023
8,Philip Billing,"£ 40,000","£ 2,080,000",,"Jul 29, 2019","Jun 30, 2024",2,"£ 4,160,000",,M,CM,26,Starter,Denmark,,,Bournemouth,Premier League,2022-2023
9,Matías Viña,"£ 38,000","£ 1,976,000",,"Jan 30, 2023","Jun 30, 2023",1,"£ 1,976,000",,D,LB,25,Reserve,Uruguay,,,Bournemouth,Premier League,2022-2023
