,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Ben Mee,"£ 55,000","£ 2,860,000",,"Jul 22, 2022","Jun 30, 2024",2,"£ 5,720,000",,D,CB,33,Starter,England,,,Brentford,Premier League,2022-2023
1,Mathias Jensen,"£ 50,000","£ 2,600,000",,"Jan 18, 2023","Jun 30, 2026",4,"£ 10,400,000",,M,CM,27,Starter,Denmark,,,Brentford,Premier League,2022-2023
2,Bryan Mbeumo,"£ 45,000","£ 2,340,000",,"Jan 26, 2022","Jun 30, 2026",4,"£ 9,360,000",,F,RW,23,Starter,Cameroon,,,Brentford,Premier League,2022-2023
3,Kristoffer Ajer,"£ 35,000","£ 1,820,000",,"Jul 21, 2021","Jun 30, 2026",4,"£ 7,280,000",,D,CB,24,Starter,Norway,,,Brentford,Premier League,2022-2023
4,Christian Nörgaard,"£ 35,000","£ 1,820,000",,"Jan 1, 2022","Jun 30, 2025",3,"£ 5,460,000",,M,DM,28,Starter,Denmark,,,Brentford,Premier League,2022-2023
5,Keane Lewis-Potter,"£ 35,000","£ 1,820,000",,"Jul 12, 2022","Jun 30, 2028",6,"£ 10,920,000",,F,LW,21,Reserve,England,,,Brentford,Premier League,2022-2023
6,Rico Henry,"£ 35,000","£ 1,820,000",,"Mar 22, 2022","Jun 30, 2026",4,"£ 7,280,000",,D,LB,25,Starter,England,,,Brentford,Premier League,2022-2023
7,Aaron Hickey,"£ 30,000","£ 1,560,000",,"Jul 9, 2022","Jun 30, 2026",4,"£ 6,240,000",,D,LB,20,Reserve,Scotland,,,Brentford,Premier League,2022-2023
8,Mikkel Damsgaard,"£ 30,000","£ 1,560,000",,"Aug 10, 2022","Jun 30, 2027",5,"£ 7,800,000",,F,LW,22,Reserve,Denmark,,,Brentford,Premier League,2022-2023
9,Vitaly Janelt,"£ 30,000","£ 1,560,000",,"Apr 1, 2022","Jun 30, 2026",4,"£ 6,240,000",,M,DM,24,Starter,Germany,,,Brentford,Premier League,2022-2023
10,Frank Onyeka,"£ 25,000","£ 1,300,000",,"Jul 20, 2021","Jun 30, 2026",4,"£ 5,200,000",,M,CM,25,Reserve,Nigeria,,,Brentford,Premier League,2022-2023
11,Pontus Jansson,"£ 25,000","£ 1,300,000",,"Jan 14, 2022","Jun 30, 2023",1,"£ 1,300,000",,D,CB,31,Reserve,Sweden,,,Brentford,Premier League,2022-2023
12,David Raya,"£ 25,000","£ 1,300,000",,"Oct 2, 2020","Jun 30, 2024",2,"£ 2,600,000",,K,GK,27,Starter,Spain,,,Brentford,Premier League,2022-2023
13,Thomas Strakosha,"£ 25,000","£ 1,300,000",,"Jul 14, 2022","Jun 30, 2026",4,"£ 5,200,000",,K,GK,27,Reserve,Albania,,,Brentford,Premier League,2022-2023
14,Zanka,"£ 20,000","£ 1,040,000",,"Aug 18, 2022","Jun 30, 2023",1,"£ 1,040,000",,D,CB,32,Reserve,Denmark,,,Brentford,Premier League,2022-2023
15,Joshua Da Silva,"£ 20,000","£ 1,040,000",,"Oct 6, 2020","Jun 30, 2024",2,"£ 2,080,000",,M,CM,24,Reserve,England,,,Brentford,Premier League,2022-2023
16,Mads Roerslev Rasmussen,"£ 20,000","£ 1,040,000",,"Feb 15, 2023","Jun 30, 2026",4,"£ 4,160,000",,D,RB,23,Starter,Denmark,,,Brentford,Premier League,2022-2023
17,Ivan Toney,"£ 20,000","£ 1,040,000",,"Sep 1, 2020","Jun 30, 2025",3,"£ 3,120,000",,F,CF,26,Starter,England,,,Brentford,Premier League,2022-2023
18,Yoane Wissa,"£ 20,000","£ 1,040,000",,"Aug 10, 2021","Jun 30, 2025",3,"£ 3,120,000",,F,LW,26,Reserve,Democratic Republic of the Congo,,,Brentford,Premier League,2022-2023
19,Shandon Baptiste,"£ 15,000","£ 780,000",,"Jan 31, 2020","Jun 30, 2024",2,"£ 1,560,000",,M,CM,24,Reserve,Grenada,,,Brentford,Premier League,2022-2023
20,Saman Ghoddos,"£ 15,000","£ 780,000",,"Jan 14, 2021","Jun 30, 2023",1,"£ 780,000",,F,AM,29,Reserve,Iran,,,Brentford,Premier League,2022-2023
21,Ethan Pinnock,"£ 15,000","£ 780,000",,"Jul 2, 2019","Jun 30, 2025",3,"£ 2,340,000",,D,CB,29,Starter,Jamaica,,,Brentford,Premier League,2022-2023
22,Kevin Schade,"£ 10,000","£ 520,000",,"Jan 4, 2023","Jun 30, 2023",1,"£ 520,000",,F,RW,21,Reserve,Germany,,,Brentford,Premier League,2022-2023
23,Fin Stevens,"£ 5,000","£ 260,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 1,300,000",,D,RB,19,Reserve,Wales,,,Brentford,Premier League,2022-2023
24,Total,"£ 640,000","£ 33,280,000",£ 0,,,,"£ 111,020,000",£ 0,,,,,,,,Brentford,Premier League,2022-2023
