,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027May 31, 2023",Years Remaining 12345,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMGKLBLMLWRBSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Adam Lallana,"£ 90,000","£ 4,680,000",,"Jul 27, 2020","Jun 30, 2023",1,"£ 4,680,000",,F,AM,34,Reserve,England,,,Brighton,Premier League,2022-2023
1,Lewis Dunk,"£ 75,000","£ 3,900,000",,"Aug 21, 2020","Jun 30, 2025",3,"£ 11,700,000",,D,CB,31,Starter,England,,,Brighton,Premier League,2022-2023
2,Pascal Groß,"£ 60,000","£ 3,120,000",,"Jun 3, 2022","Jun 30, 2024",2,"£ 6,240,000",,M,CM,31,Starter,Germany,,,Brighton,Premier League,2022-2023
3,Moisés Caicedo,"£ 60,000","£ 3,120,000",,"Mar 3, 2023","Jun 30, 2027",5,"£ 15,600,000",,M,CM,21,Starter,Ecuador,,,Brighton,Premier League,2022-2023
4,Adam Webster,"£ 55,000","£ 2,860,000",,"Aug 2, 2021","Jun 30, 2026",4,"£ 11,440,000",,D,CB,28,Starter,England,,,Brighton,Premier League,2022-2023
5,Danny Welbeck,"£ 55,000","£ 2,860,000",,"Aug 19, 2022","Jun 30, 2024",2,"£ 5,720,000",,F,CF,32,Reserve,England,,,Brighton,Premier League,2022-2023
6,Pervis Estupiñán,"£ 50,000","£ 2,600,000",,"Aug 16, 2022","Jun 30, 2027",5,"£ 13,000,000",,D,LB,25,Starter,Ecuador,,,Brighton,Premier League,2022-2023
7,Solly March,"£ 50,000","£ 2,600,000",,"Mar 17, 2023","Jun 30, 2026",4,"£ 10,400,000",,M,LM,28,Starter,England,,,Brighton,Premier League,2022-2023
8,Alexis Mac Allister,"£ 50,000","£ 2,600,000",,"Oct 24, 2022","Jun 30, 2025",3,"£ 7,800,000",,M,CM,24,Starter,Argentina,,,Brighton,Premier League,2022-2023
9,Joël Veltman,"£ 40,000","£ 2,080,000",,"Jul 29, 2020","Jun 30, 2023",1,"£ 2,080,000",,D,RB,31,Starter,Netherlands,,,Brighton,Premier League,2022-2023
10,Tariq Lamptey,"£ 35,000","£ 1,820,000",,"Jan 17, 2021","Jun 30, 2025",3,"£ 5,460,000",,D,RB,22,Reserve,Ghana,,,Brighton,Premier League,2022-2023
11,Robert Sánchez,"£ 25,000","£ 1,300,000",,"Feb 23, 2021","Jun 30, 2025",3,"£ 3,900,000",,K,GK,25,Starter,Spain,,,Brighton,Premier League,2022-2023
12,Jason Steele,"£ 20,000","£ 1,040,000",,"Jan 10, 2023","Jun 30, 2025",3,"£ 3,120,000",,K,GK,32,Reserve,England,,,Brighton,Premier League,2022-2023
13,Billy Gilmour,"£ 20,000","£ 1,040,000",,"Sep 1, 2022","Jun 30, 2026",4,"£ 4,160,000",,M,CM,21,Reserve,Scotland,,,Brighton,Premier League,2022-2023
14,Deniz Undav,"£ 20,000","£ 1,040,000",,"Jan 30, 2022","Jun 30, 2026",4,"£ 4,160,000",,F,CF,26,Starter,Germany,,,Brighton,Premier League,2022-2023
15,Facundo Buonanotte,"£ 15,000","£ 780,000",,"Jan 1, 2023","Jun 30, 2026",4,"£ 3,120,000",,F,AM,18,Reserve,Argentina,,,Brighton,Premier League,2022-2023
16,Jakub Moder,"£ 10,000","£ 520,000",,"Oct 4, 2020","Jun 30, 2025",3,"£ 1,560,000",,M,CM,23,Reserve,Poland,,,Brighton,Premier League,2022-2023
17,Kaoru Mitoma,"£ 10,000","£ 520,000",,"Aug 10, 2021","Jun 30, 2025",3,"£ 1,560,000",,F,LW,25,Starter,Japan,,,Brighton,Premier League,2022-2023
18,Julio Enciso,"£ 10,000","£ 520,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 2,080,000",,F,SS,19,Reserve,Paraguay,,,Brighton,Premier League,2022-2023
19,Jeremy Sarmiento,"£ 10,000","£ 520,000",,"Jan 31, 2022","Jun 30, 2026",4,"£ 2,080,000",,F,AM,20,Reserve,Ecuador,,,Brighton,Premier League,2022-2023
20,Yasin Ayari,"£ 8,000","£ 416,000",,"Jan 30, 2023","Jun 30, 2027",5,"£ 2,080,000",,M,CM,19,Reserve,Sweden,,,Brighton,Premier League,2022-2023
21,Levi Colwill,"£ 5,000","£ 260,000",,"Aug 5, 2022","May 31, 2023",1,"£ 260,000",,D,CB,19,Reserve,England,,,Brighton,Premier League,2022-2023
22,Jan Paul van Hecke,"£ 5,000","£ 260,000",,"Sep 10, 2020","Jun 30, 2023",1,"£ 260,000",,D,CB,22,Reserve,Netherlands,,,Brighton,Premier League,2022-2023
23,Evan Ferguson,"£ 3,000","£ 156,000",,"Oct 19, 2022","Jun 30, 2026",4,"£ 624,000",,F,CF,18,Reserve,Ireland,,,Brighton,Premier League,2022-2023
24,Total,"£ 781,000","£ 40,612,000",£ 0,,,,"£ 123,084,000",£ 0,,,,,,,,Brighton,Premier League,2022-2023
