,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028Jun 30, 2029Jun 30, 2030Jun 30, 2031",Years Remaining 123456789,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Raheem Sterling,"£ 325,000","£ 16,900,000",,"Jul 13, 2022","Jun 30, 2027",5,"£ 84,500,000",,F,LW,28,Reserve,England,,,Chelsea,Premier League,2022-2023
1,Kalidou Koulibaly,"£ 295,000","£ 15,340,000",,"Jul 16, 2022","Jun 30, 2026",4,"£ 61,360,000",,D,CB,31,Reserve,Senegal,,,Chelsea,Premier League,2022-2023
2,N'Golo Kanté,"£ 290,000","£ 15,080,000",,"Nov 23, 2018","Jun 30, 2023",1,"£ 15,080,000",,M,DM,31,Reserve,France,,,Chelsea,Premier League,2022-2023
3,Reece James,"£ 250,000","£ 13,000,000",,"Sep 5, 2022","Jun 30, 2028",6,"£ 78,000,000",,D,RB,23,Starter,England,,,Chelsea,Premier League,2022-2023
4,Wesley Fofana,"£ 200,000","£ 10,400,000",,"Aug 31, 2022","Jun 30, 2029",7,"£ 72,800,000",,D,CB,22,Reserve,France,,,Chelsea,Premier League,2022-2023
5,Ben Chilwell,"£ 190,000","£ 9,880,000",,"Aug 26, 2020","Jun 30, 2025",3,"£ 29,640,000",,D,LB,26,Reserve,England,,,Chelsea,Premier League,2022-2023
6,Enzo Fernández,"£ 180,000","£ 9,360,000",,"Jan 31, 2023","Jun 30, 2031",9,"£ 84,240,000",,M,CM,22,Starter,Argentina,,,Chelsea,Premier League,2022-2023
7,César Azpilicueta,"£ 180,000","£ 9,360,000",,"Aug 4, 2022","Jun 30, 2024",2,"£ 18,720,000",,D,RB,33,Reserve,Spain,,,Chelsea,Premier League,2022-2023
8,Marc Cucurella,"£ 175,000","£ 9,100,000",,"Aug 5, 2022","Jun 30, 2028",6,"£ 54,600,000",,D,LB,24,Starter,Spain,,,Chelsea,Premier League,2022-2023
9,Pierre-Emerick Aubameyang,"£ 160,000","£ 8,320,000",,"Sep 1, 2022","Jun 30, 2024",2,"£ 16,640,000",,F,CF,33,Reserve,Gabon,,,Chelsea,Premier League,2022-2023
10,Kepa Arrizabalaga,"£ 150,000","£ 7,800,000",,"Aug 8, 2018","Jun 30, 2025",3,"£ 23,400,000",,K,GK,28,Starter,Spain,,,Chelsea,Premier League,2022-2023
11,Christian Pulisic,"£ 150,000","£ 7,800,000",,"Jan 2, 2019","Jun 30, 2024",2,"£ 15,600,000",,F,RW,24,Reserve,United States,,,Chelsea,Premier League,2022-2023
