,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027May 31, 2023",Years Remaining 12345,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLMLWRBRM,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Wilfried Zaha,"£ 130,000","£ 6,760,000",,"Aug 15, 2018","Jun 30, 2023",1,"£ 6,760,000",,F,LW,30,Reserve,Cote d'Ivoire,,,Crystal Palace,Premier League,2022-2023
1,Odsonne Edouard,"£ 90,000","£ 4,680,000",,"Aug 31, 2021","Jun 30, 2025",3,"£ 14,040,000",,F,CF,25,Reserve,France,,,Crystal Palace,Premier League,2022-2023
2,Nathaniel Clyne,"£ 80,000","£ 4,160,000",,"Jun 8, 2022","Jun 30, 2023",1,"£ 4,160,000",,D,RB,31,Starter,England,,,Crystal Palace,Premier League,2022-2023
3,Joachim Andersen,"£ 80,000","£ 4,160,000",,"Jul 28, 2021","Jun 30, 2026",4,"£ 16,640,000",,D,CB,26,Reserve,Denmark,,,Crystal Palace,Premier League,2022-2023
4,Vicente Guaita,"£ 75,000","£ 3,900,000",,"Jan 20, 2023","Jun 30, 2024",2,"£ 7,800,000",,K,GK,36,Starter,Spain,,,Crystal Palace,Premier League,2022-2023
5,Luka Milivojevic,"£ 75,000","£ 3,900,000",,"Aug 9, 2019","Jun 30, 2023",1,"£ 3,900,000",,M,DM,31,Reserve,Serbia,,,Crystal Palace,Premier League,2022-2023
6,Cheick Doucouré,"£ 60,000","£ 3,120,000",,"Jul 11, 2022","Jun 30, 2027",5,"£ 15,600,000",,M,DM,23,Starter,Mali,,,Crystal Palace,Premier League,2022-2023
7,Chris Richards,"£ 55,000","£ 2,860,000",,"Jul 27, 2022","Jun 30, 2027",5,"£ 14,300,000",,D,CB,22,Reserve,United States,,,Crystal Palace,Premier League,2022-2023
8,James McArthur,"£ 55,000","£ 2,860,000",,"Jun 8, 2022","Jun 30, 2023",1,"£ 2,860,000",,M,CM,35,Reserve,Scotland,,,Crystal Palace,Premier League,2022-2023
9,Jairo Riedewald,"£ 55,000","£ 2,860,000",,"Feb 3, 2021","Jun 30, 2024",2,"£ 5,720,000",,M,DM,26,Reserve,Netherlands,,,Crystal Palace,Premier League,2022-2023
10,Albert Sambi Lokonga,"£ 50,000","£ 2,600,000",,"Jan 31, 2023","May 31, 2023",1,"£ 2,600,000",,M,CM,23,Reserve,Belgium,,,Crystal Palace,Premier League,2022-2023
11,James Tomkins,"£ 50,000","£ 2,600,000",,"Jun 8, 2022","Jun 30, 2023",1,"£ 2,600,000",,D,CB,33,Starter,England,,,Crystal Palace,Premier League,2022-2023
12,Jean-Philippe Mateta,"£ 50,000","£ 2,600,000",,"Jan 31, 2022","Jun 30, 2026",4,"£ 10,400,000",,F,CF,25,Starter,France,,,Crystal Palace,Premier League,2022-2023
13,Jeffrey Schlupp,"£ 50,000","£ 2,600,000",,"Jan 13, 2017","Jun 30, 2023",1,"£ 2,600,000",,M,LM,30,Starter,Ghana,,,Crystal Palace,Premier League,2022-2023
14,Marc Guéhi,"£ 50,000","£ 2,600,000",,"Jul 18, 2021","Jun 30, 2026",4,"£ 10,400,000",,D,CB,22,Starter,England,,,Crystal Palace,Premier League,2022-2023
15,Michael Olise,"£ 45,000","£ 2,340,000",,"Jul 8, 2021","Jun 30, 2026",4,"£ 9,360,000",,M,RM,21,Starter,France,,,Crystal Palace,Premier League,2022-2023
16,Tyrick Mitchell,"£ 40,000","£ 2,080,000",,"Apr 13, 2021","Jun 30, 2025",3,"£ 6,240,000",,D,LB,23,Starter,England,,,Crystal Palace,Premier League,2022-2023
17,Sam Johnstone,"£ 40,000","£ 2,080,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 8,320,000",,K,GK,29,Reserve,England,,,Crystal Palace,Premier League,2022-2023
18,Will Hughes,"£ 35,000","£ 1,820,000",,"Aug 28, 2021","Jun 30, 2024",2,"£ 3,640,000",,M,CM,27,Starter,England,,,Crystal Palace,Premier League,2022-2023
19,Jordan Ayew,"£ 35,000","£ 1,820,000",,"Jun 8, 2022","Jun 30, 2023",1,"£ 1,820,000",,F,CF,31,Starter,Ghana,,,Crystal Palace,Premier League,2022-2023
20,Joel Ward,"£ 35,000","£ 1,820,000",,"Jul 15, 2021","Jun 30, 2023",1,"£ 1,820,000",,D,RB,33,Reserve,England,,,Crystal Palace,Premier League,2022-2023
21,Eberechi Eze,"£ 30,000","£ 1,560,000",,"Aug 28, 2020","Jun 30, 2025",3,"£ 4,680,000",,F,AM,24,Reserve,England,,,Crystal Palace,Premier League,2022-2023
22,Nathan Ferguson,"£ 25,000","£ 1,300,000",,"Jul 27, 2020","Jun 30, 2023",1,"£ 1,300,000",,D,CB,22,Reserve,England,,,Crystal Palace,Premier League,2022-2023
23,Naouirou Ahamada,"£ 20,000","£ 1,040,000",,"Jan 31, 2023","Jun 30, 2026",4,"£ 4,160,000",,M,CM,20,Reserve,France,,,Crystal Palace,Premier League,2022-2023
24,Total,"£ 1,310,000","£ 68,120,000",£ 0,,,,"£ 161,720,000",£ 0,,,,,,,,Crystal Palace,Premier League,2022-2023
