,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRWSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Rodrigo,"£ 100,000","£ 5,200,000",,"Aug 29, 2020","Jun 30, 2024",2,"£ 10,400,000",,F,SS,31,Reserve,Spain,,,Leeds,Premier League,2022-2023
1,Patrick Bamford,"£ 70,000","£ 3,640,000",,"Aug 19, 2021","Jun 30, 2026",4,"£ 14,560,000",,F,CF,29,Starter,England,,,Leeds,Premier League,2022-2023
2,Georginio Rutter,"£ 70,000","£ 3,640,000",,"Jan 14, 2023","Jun 30, 2028",6,"£ 21,840,000",,F,CF,20,Reserve,France,,,Leeds,Premier League,2022-2023
3,Luis Sinisterra,"£ 65,000","£ 3,380,000",,"Jul 7, 2022","Jun 30, 2027",5,"£ 16,900,000",,F,LW,23,Reserve,Colombia,,,Leeds,Premier League,2022-2023
4,Junior Firpo,"£ 60,000","£ 3,120,000",,"Jul 6, 2021","Jun 30, 2025",3,"£ 9,360,000",,D,LB,26,Starter,Dominican Republic,,,Leeds,Premier League,2022-2023
5,Tyler Adams,"£ 55,000","£ 2,860,000",,"Jul 6, 2022","Jun 30, 2027",5,"£ 14,300,000",,M,DM,23,Starter,United States,,,Leeds,Premier League,2022-2023
6,Jack Harrison,"£ 50,000","£ 2,600,000",,"Jul 2, 2021","Jun 30, 2024",2,"£ 5,200,000",,F,LW,26,Starter,England,,,Leeds,Premier League,2022-2023
7,Marc Roca,"£ 50,000","£ 2,600,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 10,400,000",,M,DM,26,Reserve,Spain,,,Leeds,Premier League,2022-2023
8,Pascal Struijk,"£ 50,000","£ 2,600,000",,"Dec 21, 2022","Jun 30, 2027",5,"£ 13,000,000",,D,CB,23,Reserve,Netherlands,,,Leeds,Premier League,2022-2023
9,Stuart Dallas,"£ 45,000","£ 2,340,000",,"Jul 2, 2021","Jun 30, 2024",2,"£ 4,680,000",,D,RB,31,Reserve,Northern Ireland,,,Leeds,Premier League,2022-2023
10,Brenden Aaronson,"£ 45,000","£ 2,340,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 11,700,000",,F,AM,22,Reserve,United States,,,Leeds,Premier League,2022-2023
11,Weston McKennie,"£ 40,000","£ 2,080,000",,"Jan 30, 2023","Jun 30, 2023",1,"£ 2,080,000",,M,CM,24,Starter,United States,,,Leeds,Premier League,2022-2023
12,Rasmus Kristensen,"£ 40,000","£ 2,080,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 10,400,000",,D,RB,25,Reserve,Denmark,,,Leeds,Premier League,2022-2023
13,Robin Koch,"£ 40,000","£ 2,080,000",,"Aug 29, 2020","Jun 30, 2024",2,"£ 4,160,000",,D,CB,26,Starter,Germany,,,Leeds,Premier League,2022-2023
14,Maximilian Wöber,"£ 35,000","£ 1,820,000",,"Jan 3, 2023","Jun 30, 2027",5,"£ 9,100,000",,D,CB,24,Starter,Austria,,,Leeds,Premier League,2022-2023
15,Sam Greenwood,"£ 30,000","£ 1,560,000",,"Aug 2, 2022","Jun 30, 2026",4,"£ 6,240,000",,F,AM,21,Reserve,England,,,Leeds,Premier League,2022-2023
16,Illan Meslier,"£ 30,000","£ 1,560,000",,"Aug 13, 2021","Jun 30, 2026",4,"£ 6,240,000",,K,GK,22,Starter,France,,,Leeds,Premier League,2022-2023
17,Luke Ayling,"£ 25,000","£ 1,300,000",,"Oct 1, 2019","Jun 30, 2024",2,"£ 2,600,000",,D,RB,31,Starter,England,,,Leeds,Premier League,2022-2023
18,Liam Cooper,"£ 25,000","£ 1,300,000",,"Sep 11, 2019","Jun 30, 2024",2,"£ 2,600,000",,D,CB,31,Reserve,Scotland,,,Leeds,Premier League,2022-2023
19,Wilfried Gnonto,"£ 20,000","£ 1,040,000",,"Sep 1, 2022","Jun 30, 2027",5,"£ 5,200,000",,F,SS,19,Starter,Italy,,,Leeds,Premier League,2022-2023
20,Joel Robles,"£ 20,000","£ 1,040,000",,"Aug 9, 2022","Jun 30, 2023",1,"£ 1,040,000",,K,GK,32,Reserve,Spain,,,Leeds,Premier League,2022-2023
21,Adam Forshaw,"£ 20,000","£ 1,040,000",,"Jan 14, 2022","Jun 30, 2023",1,"£ 1,040,000",,M,CM,31,Reserve,England,,,Leeds,Premier League,2022-2023
22,Crysencio Summerville,"£ 15,000","£ 780,000",,"Aug 2, 2022","Jun 30, 2026",4,"£ 3,120,000",,F,RW,21,Starter,Netherlands,,,Leeds,Premier League,2022-2023
23,Kristoffer Klaesson,"£ 10,000","£ 520,000",,"Jul 31, 2021","Jun 30, 2025",3,"£ 1,560,000",,K,GK,22,Reserve,Norway,,,Leeds,Premier League,2022-2023
24,Total,"£ 1,010,000","£ 52,520,000",£ 0,,,,"£ 187,720,000",£ 0,,,,,,,,Leeds,Premier League,2022-2023
