,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Mohamed Salah,"£ 350,000","£ 18,200,000",,"Jul 1, 2022","Jun 30, 2025",3,"£ 54,600,000",,F,RW,30,Starter,Egypt,,,Liverpool,Premier League,2022-2023
1,Virgil van Dijk,"£ 220,000","£ 11,440,000",,"Aug 13, 2021","Jun 30, 2025",3,"£ 34,320,000",,D,CB,31,Reserve,Netherlands,,,Liverpool,Premier League,2022-2023
2,Thiago,"£ 200,000","£ 10,400,000",,"Sep 18, 2020","Jun 30, 2024",2,"£ 20,800,000",,M,CM,31,Starter,Spain,,,Liverpool,Premier League,2022-2023
3,Roberto Firmino,"£ 180,000","£ 9,360,000",,"Apr 29, 2018","Jun 30, 2023",1,"£ 9,360,000",,F,CF,31,Reserve,Brazil,,,Liverpool,Premier League,2022-2023
4,Fabinho,"£ 180,000","£ 9,360,000",,"Aug 3, 2021","Jun 30, 2026",4,"£ 37,440,000",,M,DM,29,Reserve,Brazil,,,Liverpool,Premier League,2022-2023
5,Trent Alexander-Arnold,"£ 180,000","£ 9,360,000",,"Jul 30, 2021","Jun 30, 2025",3,"£ 28,080,000",,D,RB,24,Starter,England,,,Liverpool,Premier League,2022-2023
6,Alisson,"£ 150,000","£ 7,800,000",,"Aug 4, 2021","Jun 30, 2027",5,"£ 39,000,000",,K,GK,30,Starter,Brazil,,,Liverpool,Premier League,2022-2023
7,Jordan Henderson,"£ 140,000","£ 7,280,000",,"Aug 31, 2021","Jun 30, 2025",3,"£ 21,840,000",,M,CM,32,Starter,England,,,Liverpool,Premier League,2022-2023
8,Darwin Núñez,"£ 140,000","£ 7,280,000",,"Jul 1, 2022","Jun 30, 2028",6,"£ 43,680,000",,F,CF,23,Starter,Uruguay,,,Liverpool,Premier League,2022-2023
9,Diogo Jota,"£ 140,000","£ 7,280,000",,"Aug 2, 2022","Jun 30, 2027",5,"£ 36,400,000",,F,LW,26,Reserve,Portugal,,,Liverpool,Premier League,2022-2023
10,Cody Gakpo,"£ 120,000","£ 6,240,000",,"Jan 1, 2023","Jun 30, 2028",6,"£ 37,440,000",,F,LW,23,Starter,Netherlands,,,Liverpool,Premier League,2022-2023
11,Alex Oxlade-Chamberlain,"£ 120,000","£ 6,240,000",,"Aug 22, 2019","Jun 30, 2023",1,"£ 6,240,000",,M,CM,29,Reserve,England,,,Liverpool,Premier League,2022-2023
12,Naby Keïta,"£ 120,000","£ 6,240,000",,"Jul 1, 2018","Jun 30, 2023",1,"£ 6,240,000",,M,CM,27,Starter,Guinea,,,Liverpool,Premier League,2022-2023
13,Arthur,"£ 110,000","£ 5,720,000",,"Sep 1, 2022","Jun 30, 2023",1,"£ 5,720,000",,M,CM,26,Reserve,Brazil,,,Liverpool,Premier League,2022-2023
14,Joel Matip,"£ 100,000","£ 5,200,000",,"Oct 18, 2019","Jun 30, 2024",2,"£ 10,400,000",,D,CB,31,Starter,Cameroon,,,Liverpool,Premier League,2022-2023
15,Andrew Robertson,"£ 100,000","£ 5,200,000",,"Aug 24, 2021","Jun 30, 2026",4,"£ 20,800,000",,D,LB,28,Starter,Scotland,,,Liverpool,Premier League,2022-2023
16,Joe Gomez,"£ 85,000","£ 4,420,000",,"Jul 7, 2022","Jun 30, 2027",5,"£ 22,100,000",,D,CB,25,Starter,England,,,Liverpool,Premier League,2022-2023
17,Ibrahima Konaté,"£ 70,000","£ 3,640,000",,"Jul 1, 2021","Jun 30, 2026",4,"£ 14,560,000",,D,CB,23,Reserve,France,,,Liverpool,Premier League,2022-2023
18,Nathaniel Phillips,"£ 65,000","£ 3,380,000",,"Jul 1, 2019","Jun 30, 2025",3,"£ 10,140,000",,D,CB,25,Reserve,England,,,Liverpool,Premier League,2022-2023
19,James Milner,"£ 60,000","£ 3,120,000",,"Jun 6, 2022","Jun 30, 2023",1,"£ 3,120,000",,M,CM,37,Reserve,England,,,Liverpool,Premier League,2022-2023
20,Adrián,"£ 60,000","£ 3,120,000",,"Jun 14, 2021","Jun 30, 2023",1,"£ 3,120,000",,K,GK,36,Reserve,Spain,,,Liverpool,Premier League,2022-2023
21,Luis Díaz,"£ 55,000","£ 2,860,000",,"Jan 30, 2022","Jun 30, 2027",5,"£ 14,300,000",,F,LW,26,Reserve,Colombia,,,Liverpool,Premier League,2022-2023
22,Konstantinos Tsimikas,"£ 50,000","£ 2,600,000",,"Aug 10, 2020","Jun 30, 2025",3,"£ 7,800,000",,D,LB,26,Reserve,Greece,,,Liverpool,Premier League,2022-2023
23,Fábio Carvalho,"£ 40,000","£ 2,080,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 10,400,000",,F,AM,20,Reserve,Portugal,,,Liverpool,Premier League,2022-2023
24,Harvey Elliott,"£ 40,000","£ 2,080,000",,"Aug 11, 2022","Jun 30, 2027",5,"£ 10,400,000",,F,AM,19,Reserve,England,,,Liverpool,Premier League,2022-2023
25,Stefan Bajcetic,"£ 40,000","£ 2,080,000",,"Jan 26, 2023","Jun 30, 2027",5,"£ 10,400,000",,M,DM,18,Reserve,Spain,,,Liverpool,Premier League,2022-2023
26,Calvin Ramsay,"£ 15,000","£ 780,000","£ 500,000","Jul 1, 2022","Jun 30, 2027",5,"£ 3,900,000",,D,RB,19,Reserve,Scotland,,,Liverpool,Premier League,2022-2023
27,Curtis Jones,"£ 15,000","£ 780,000",,"Nov 17, 2022","Jun 30, 2027",5,"£ 3,900,000",,M,CM,22,Reserve,England,,,Liverpool,Premier League,2022-2023
28,Caoimhín Kelleher,"£ 10,000","£ 520,000",,"Jun 24, 2021","Jun 30, 2026",4,"£ 2,080,000",,K,GK,24,Reserve,Ireland,,,Liverpool,Premier League,2022-2023
29,Rhys Williams,"£ 10,000","£ 520,000",,"Aug 31, 2021","Jun 30, 2026",4,"£ 2,080,000",,D,CB,21,Reserve,England,,,Liverpool,Premier League,2022-2023
30,Total,"£ 3,165,000","£ 164,580,000","£ 500,000",,,,"£ 530,660,000",£ 0,,,,,,,,Liverpool,Premier League,2022-2023
