,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRMRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Kieran Trippier,"£ 120,000","£ 6,240,000",,"Jan 27, 2023","Jun 30, 2025",3,"£ 18,720,000",,D,RB,32,Starter,England,,,Newcastle,Premier League,2022-2023
1,Alexander Isak,"£ 120,000","£ 6,240,000",,"Aug 26, 2022","Jun 30, 2028",6,"£ 37,440,000",,F,CF,23,Starter,Sweden,,,Newcastle,Premier League,2022-2023
2,Bruno Guimarães,"£ 120,000","£ 6,240,000",,"Jan 30, 2022","Jun 30, 2026",4,"£ 24,960,000",,M,DM,25,Reserve,Brazil,,,Newcastle,Premier League,2022-2023
3,Matt Targett,"£ 100,000","£ 5,200,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 20,800,000",,D,LB,27,Reserve,England,,,Newcastle,Premier League,2022-2023
4,Sven Botman,"£ 90,000","£ 4,680,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 23,400,000",,D,CB,23,Starter,Netherlands,,,Newcastle,Premier League,2022-2023
5,Joelinton,"£ 85,000","£ 4,420,000",,"Jul 23, 2019","Jun 30, 2025",3,"£ 13,260,000",,F,AM,26,Starter,Brazil,,,Newcastle,Premier League,2022-2023
6,Joe Willock,"£ 80,000","£ 4,160,000",,"Aug 13, 2021","Jun 30, 2027",5,"£ 20,800,000",,M,CM,23,Starter,England,,,Newcastle,Premier League,2022-2023
7,Allan Saint-Maximin,"£ 70,000","£ 3,640,000",,"Oct 14, 2020","Jun 30, 2026",4,"£ 14,560,000",,F,LW,25,Starter,France,,,Newcastle,Premier League,2022-2023
8,Nick Pope,"£ 60,000","£ 3,120,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 12,480,000",,K,GK,30,Starter,England,,,Newcastle,Premier League,2022-2023
9,Anthony Gordon,"£ 60,000","£ 3,120,000",,"Jan 29, 2023","Jun 30, 2023",1,"£ 3,120,000",,F,LW,21,Reserve,England,,,Newcastle,Premier League,2022-2023
10,Miguel Almirón,"£ 60,000","£ 3,120,000",,"Feb 24, 2023","Jun 30, 2026",4,"£ 12,480,000","£ 60,000,000",F,RW,28,Starter,Paraguay,,,Newcastle,Premier League,2022-2023
11,Emil Krafth,"£ 55,000","£ 2,860,000",,"Jul 25, 2022","Jun 30, 2024",2,"£ 5,720,000",,D,RB,28,Reserve,Sweden,,,Newcastle,Premier League,2022-2023
12,Sean Longstaff,"£ 50,000","£ 2,600,000",,"May 25, 2022","Jun 30, 2025",3,"£ 7,800,000",,M,CM,25,Starter,England,,,Newcastle,Premier League,2022-2023
13,Callum Wilson,"£ 46,000","£ 2,392,000",,"Sep 7, 2020","Jun 30, 2024",2,"£ 4,784,000",,F,CF,30,Reserve,England,,,Newcastle,Premier League,2022-2023
14,Matt Ritchie,"£ 45,000","£ 2,340,000",,"Mar 6, 2020","Jun 30, 2023",1,"£ 2,340,000",,M,RM,33,Reserve,Scotland,,,Newcastle,Premier League,2022-2023
15,Ryan Fraser,"£ 42,000","£ 2,184,000",,"Sep 7, 2020","Jun 30, 2025",3,"£ 6,552,000",,F,LW,28,Reserve,Scotland,,,Newcastle,Premier League,2022-2023
16,Martin Dubravka,"£ 40,000","£ 2,080,000",,"Oct 24, 2019","Jun 30, 2025",3,"£ 6,240,000",,K,GK,34,Reserve,Slovakia,,,Newcastle,Premier League,2022-2023
17,Fabian Schär,"£ 40,000","£ 2,080,000",,"Apr 29, 2022","Jun 30, 2024",2,"£ 4,160,000",,D,CB,31,Starter,Switzerland,,,Newcastle,Premier League,2022-2023
18,Jamaal Lascelles,"£ 40,000","£ 2,080,000",,"Nov 1, 2018","Jun 30, 2024",2,"£ 4,160,000",,D,CB,29,Reserve,England,,,Newcastle,Premier League,2022-2023
19,Jamal Lewis,"£ 38,000","£ 1,976,000",,"Sep 8, 2020","Jun 30, 2025",3,"£ 5,928,000",,D,LB,25,Reserve,Northern Ireland,,,Newcastle,Premier League,2022-2023
20,Dan Burn,"£ 35,000","£ 1,820,000",,"Jan 31, 2022","Jun 30, 2024",2,"£ 3,640,000",,D,CB,30,Starter,England,,,Newcastle,Premier League,2022-2023
21,Jacob Murphy,"£ 35,000","£ 1,820,000",,"Jul 7, 2021","Jun 30, 2027",5,"£ 9,100,000",,F,RW,27,Reserve,England,,,Newcastle,Premier League,2022-2023
22,Javier Manquillo,"£ 35,000","£ 1,820,000",,"Jun 25, 2020","Jun 30, 2024",2,"£ 3,640,000",,D,RB,28,Reserve,Spain,,,Newcastle,Premier League,2022-2023
23,Paul Dummett,"£ 35,000","£ 1,820,000",,"May 5, 2022","Jun 30, 2023",1,"£ 1,820,000",,D,LB,31,Reserve,Wales,,,Newcastle,Premier League,2022-2023
24,Elliot Anderson,"£ 30,000","£ 1,560,000",,"Sep 21, 2022","Jun 30, 2026",4,"£ 6,240,000",,F,AM,20,Reserve,Scotland,,,Newcastle,Premier League,2022-2023
25,Mark Gillespie,"£ 10,000","£ 520,000",,"Jul 3, 2020","Jun 30, 2023",1,"£ 520,000",,K,GK,30,Reserve,England,,,Newcastle,Premier League,2022-2023
26,Loris Karius,"£ 10,000","£ 520,000",,"Jan 19, 2023","Jun 30, 2023",1,"£ 520,000",,K,GK,29,Reserve,Germany,,,Newcastle,Premier League,2022-2023
27,Harrison Ashby,"£ 10,000","£ 520,000",,"Jan 31, 2023","Jun 30, 2023",1,"£ 520,000",,D,RB,21,Reserve,Scotland,,,Newcastle,Premier League,2022-2023
28,Matthew Longstaff,"£ 7,500","£ 390,000",,"Aug 27, 2021","Jun 30, 2023",1,"£ 390,000",,M,CM,22,Reserve,England,,,Newcastle,Premier League,2022-2023
29,Total,"£ 1,568,500","£ 81,562,000",£ 0,,,,"£ 276,094,000","£ 60,000,000",,,,,,,,Newcastle,Premier League,2022-2023
