,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2029May 31, 2023",Years Remaining 123457,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBSS,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Dean Henderson,"£ 100,000","£ 5,200,000",,"Jul 2, 2022","May 31, 2023",1,"£ 5,200,000",,K,GK,25,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
1,Keylor Navas,"£ 90,000","£ 4,680,000",,"Jan 31, 2023","Jun 30, 2023",1,"£ 4,680,000",,K,GK,36,Starter,Costa Rica,,,Nottingham Forest,Premier League,2022-2023
2,Felipe,"£ 80,000","£ 4,160,000",,"Jan 31, 2023","Jun 30, 2024",2,"£ 8,320,000",,D,CB,33,Reserve,Brazil,,,Nottingham Forest,Premier League,2022-2023
3,Morgan Gibbs-White,"£ 80,000","£ 4,160,000",,"Aug 19, 2022","Jun 30, 2027",5,"£ 20,800,000",,F,AM,23,Starter,England,,,Nottingham Forest,Premier League,2022-2023
4,Chris Wood,"£ 80,000","£ 4,160,000",,"Jan 20, 2023","Jun 30, 2023",1,"£ 4,160,000",,F,CF,31,Starter,New Zealand,,,Nottingham Forest,Premier League,2022-2023
5,Jesse Lingard,"£ 80,000","£ 4,160,000","£ 2,080,000","Jul 21, 2022","Jun 30, 2023",1,"£ 4,160,000",,F,AM,30,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
6,Jonjo Shelvey,"£ 75,000","£ 3,900,000",,"Jan 31, 2023","Jun 30, 2025",3,"£ 11,700,000",,M,CM,30,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
7,Renan Lodi,"£ 60,000","£ 3,120,000",,"Aug 29, 2022","Jun 30, 2023",1,"£ 3,120,000",,D,LB,24,Starter,Brazil,,,Nottingham Forest,Premier League,2022-2023
8,Taiwo Awoniyi,"£ 50,000","£ 2,600,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 13,000,000",,F,CF,25,Reserve,Nigeria,,,Nottingham Forest,Premier League,2022-2023
9,Neco Williams,"£ 50,000","£ 2,600,000",,"Jul 10, 2022","Jun 30, 2026",4,"£ 10,400,000",,D,RB,21,Reserve,Wales,,,Nottingham Forest,Premier League,2022-2023
10,Moussa Niakhaté,"£ 45,000","£ 2,340,000",,"Jul 6, 2022","Jun 30, 2025",3,"£ 7,020,000",,D,CB,26,Reserve,Senegal,,,Nottingham Forest,Premier League,2022-2023
11,Cheikhou Kouyaté,"£ 45,000","£ 2,340,000",,"Aug 13, 2022","Jun 30, 2024",2,"£ 4,680,000",,M,DM,33,Reserve,Senegal,,,Nottingham Forest,Premier League,2022-2023
12,André Ayew,"£ 45,000","£ 2,340,000",,"Feb 2, 2023","Jun 30, 2023",1,"£ 2,340,000",,F,LW,33,Reserve,Ghana,,,Nottingham Forest,Premier League,2022-2023
13,Remo Freuler,"£ 40,000","£ 2,080,000",,"Aug 14, 2022","Jun 30, 2025",3,"£ 6,240,000",,M,CM,30,Starter,Switzerland,,,Nottingham Forest,Premier League,2022-2023
14,Willy Boly,"£ 40,000","£ 2,080,000",,"Sep 1, 2022","Jun 30, 2024",2,"£ 4,160,000",,D,CB,31,Starter,Cote d'Ivoire,,,Nottingham Forest,Premier League,2022-2023
15,Emmanuel Dennis,"£ 40,000","£ 2,080,000",,"Aug 13, 2022","Jun 30, 2026",4,"£ 8,320,000",,F,CF,25,Reserve,Nigeria,,,Nottingham Forest,Premier League,2022-2023
16,Serge Aurier,"£ 35,000","£ 1,820,000",,"Sep 7, 2022","Jun 30, 2023",1,"£ 1,820,000",,D,RB,30,Starter,Cote d'Ivoire,,,Nottingham Forest,Premier League,2022-2023
17,Brennan Johnson,"£ 30,000","£ 1,560,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 6,240,000",,F,SS,21,Starter,Wales,,,Nottingham Forest,Premier League,2022-2023
18,Gustavo Scarpa,"£ 30,000","£ 1,560,000",,"Jan 1, 2023","Jun 30, 2026",4,"£ 6,240,000",,F,AM,29,Starter,Brazil,,,Nottingham Forest,Premier League,2022-2023
19,Danilo,"£ 30,000","£ 1,560,000",,"Jan 16, 2023","Jun 30, 2029",7,"£ 10,920,000",,M,DM,21,Reserve,Brazil,,,Nottingham Forest,Premier League,2022-2023
20,Omar Richards,"£ 30,000","£ 1,560,000",,"Jul 10, 2022","Jun 30, 2026",4,"£ 6,240,000",,D,LB,24,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
21,Orel Mangala,"£ 30,000","£ 1,560,000",,"Jul 31, 2022","Jun 30, 2026",4,"£ 6,240,000",,M,CM,24,Starter,Belgium,,,Nottingham Forest,Premier League,2022-2023
22,Steve Cook,"£ 30,000","£ 1,560,000",,"Jan 4, 2022","Jun 30, 2024",2,"£ 3,120,000",,D,CB,31,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
23,Ryan Yates,"£ 25,000","£ 1,300,000",,"Mar 14, 2022","Jun 30, 2025",3,"£ 3,900,000",,M,CM,25,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
24,Giulian Biancone,"£ 20,000","£ 1,040,000",,"Jul 3, 2022","Jun 30, 2025",3,"£ 3,120,000",,D,RB,22,Reserve,France,,,Nottingham Forest,Premier League,2022-2023
25,Harry Arter,"£ 20,000","£ 1,040,000",,"Sep 22, 2020","Jun 30, 2023",1,"£ 1,040,000",,M,CM,33,Reserve,Ireland,,,Nottingham Forest,Premier League,2022-2023
26,Scott McKenna,"£ 20,000","£ 1,040,000",,"Sep 23, 2020","Jun 30, 2024",2,"£ 2,080,000",,D,CB,26,Starter,Scotland,,,Nottingham Forest,Premier League,2022-2023
27,Lyle Taylor,"£ 20,000","£ 1,040,000",,"Aug 15, 2020","Jun 30, 2023",1,"£ 1,040,000",,F,CF,32,Reserve,Montserrat,,,Nottingham Forest,Premier League,2022-2023
28,Joe Worrall,"£ 15,000","£ 780,000",,"Feb 13, 2020","Jun 30, 2024",2,"£ 1,560,000",,D,CB,26,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
29,Wayne Hennessey,"£ 15,000","£ 780,000",,"Jul 15, 2022","Jun 30, 2024",2,"£ 1,560,000",,K,GK,36,Reserve,Wales,,,Nottingham Forest,Premier League,2022-2023
30,Sam Surridge,"£ 15,000","£ 780,000",,"Jan 31, 2022","Jun 30, 2024",2,"£ 1,560,000",,F,CF,24,Reserve,England,,,Nottingham Forest,Premier League,2022-2023
