,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. CBCFCMDMGKLBLMLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Harry Kane,"£ 200,000","£ 10,400,000",,"Jun 8, 2018","Jun 30, 2024",2,"£ 20,800,000",,F,CF,29,Starter,England,,,Tottenham,Premier League,2022-2023
1,Heung-min Son,"£ 190,000","£ 9,880,000",,"Jul 23, 2021","Jun 30, 2025",3,"£ 29,640,000",,F,LW,30,Starter,South Korea,,,Tottenham,Premier League,2022-2023
2,Ivan Perisic,"£ 180,000","£ 9,360,000",,"Jul 1, 2022","Jun 30, 2024",2,"£ 18,720,000",,M,LM,33,Starter,Croatia,,,Tottenham,Premier League,2022-2023
3,Cristian Romero,"£ 165,000","£ 8,580,000",,"Aug 30, 2022","Jun 30, 2027",5,"£ 42,900,000",,D,CB,24,Reserve,Argentina,,,Tottenham,Premier League,2022-2023
4,Clément Lenglet,"£ 145,000","£ 7,540,000",,"Jul 8, 2022","Jun 30, 2023",1,"£ 7,540,000",,D,CB,27,Reserve,France,,,Tottenham,Premier League,2022-2023
5,Dejan Kulusevski,"£ 110,000","£ 5,720,000",,"Jan 31, 2022","Jun 30, 2023",1,"£ 5,720,000",,F,RW,22,Starter,Sweden,,,Tottenham,Premier League,2022-2023
6,Hugo Lloris,"£ 100,000","£ 5,200,000",,"Jan 21, 2022","Jun 30, 2024",2,"£ 10,400,000",,K,GK,36,Starter,France,,,Tottenham,Premier League,2022-2023
7,Pierre-Emile Höjbjerg,"£ 100,000","£ 5,200,000",,"Aug 11, 2020","Jun 30, 2025",3,"£ 15,600,000",,M,CM,27,Starter,Denmark,,,Tottenham,Premier League,2022-2023
8,Lucas Moura,"£ 90,000","£ 4,680,000",,"Aug 9, 2019","Jun 30, 2023",1,"£ 4,680,000",,F,RW,30,Reserve,Brazil,,,Tottenham,Premier League,2022-2023
9,Richarlison,"£ 90,000","£ 4,680,000","£ 2,080,000","Jul 1, 2022","Jun 30, 2027",5,"£ 23,400,000",,F,CF,25,Reserve,Brazil,,,Tottenham,Premier League,2022-2023
10,Eric Dier,"£ 85,000","£ 4,420,000",,"Jul 21, 2020","Jun 30, 2024",2,"£ 8,840,000",,D,CB,29,Starter,England,,,Tottenham,Premier League,2022-2023
11,Pedro Porro,"£ 85,000","£ 4,420,000",,"Jan 31, 2023","Jun 30, 2023",1,"£ 4,420,000",,D,RB,23,Starter,Spain,,,Tottenham,Premier League,2022-2023
12,Ben Davies,"£ 80,000","£ 4,160,000",,"Jul 25, 2022","Jun 30, 2025",3,"£ 12,480,000",,D,LB,29,Starter,Wales,,,Tottenham,Premier League,2022-2023
13,Fraser Forster,"£ 75,000","£ 3,900,000",,"Jul 1, 2022","Jun 30, 2024",2,"£ 7,800,000",,K,GK,34,Reserve,England,,,Tottenham,Premier League,2022-2023
14,Rodrigo Bentancur,"£ 75,000","£ 3,900,000",,"Jan 31, 2022","Jun 30, 2026",4,"£ 15,600,000",,M,CM,25,Starter,Uruguay,,,Tottenham,Premier League,2022-2023
15,Davinson Sánchez,"£ 65,000","£ 3,380,000",,"May 15, 2018","Jun 30, 2024",2,"£ 6,760,000",,D,CB,26,Reserve,Colombia,,,Tottenham,Premier League,2022-2023
16,Yves Bissouma,"£ 55,000","£ 2,860,000",,"Jul 1, 2022","Jun 30, 2026",4,"£ 11,440,000",,M,CM,26,Reserve,Mali,,,Tottenham,Premier League,2022-2023
17,Ryan Sessegnon,"£ 55,000","£ 2,860,000",,"Aug 8, 2019","Jun 30, 2025",3,"£ 8,580,000",,M,LM,22,Reserve,England,,,Tottenham,Premier League,2022-2023
18,Oliver Skipp,"£ 40,000","£ 2,080,000",,"Apr 20, 2022","Jun 30, 2027",5,"£ 10,400,000",,M,DM,22,Reserve,England,,,Tottenham,Premier League,2022-2023
19,Emerson,"£ 40,000","£ 2,080,000",,"Jul 31, 2021","Jun 30, 2026",4,"£ 8,320,000",,D,RB,24,Reserve,Brazil,,,Tottenham,Premier League,2022-2023
20,Japhet Tanganga,"£ 25,000","£ 1,300,000",,"Jul 27, 2020","Jun 30, 2025",3,"£ 3,900,000",,D,CB,23,Starter,England,,,Tottenham,Premier League,2022-2023
21,Arnaut Danjuma,"£ 24,000","£ 1,248,000",,"Jan 25, 2023","Jun 30, 2023",1,"£ 1,248,000",,F,LW,26,Reserve,Netherlands,,,Tottenham,Premier League,2022-2023
22,Pape Sarr,"£ 10,000","£ 520,000",,"Aug 27, 2021","Jun 30, 2026",4,"£ 2,080,000",,M,CM,20,Reserve,Senegal,,,Tottenham,Premier League,2022-2023
23,Alfie Whiteman,"£ 7,500","£ 390,000",,"Dec 18, 2019","Jun 30, 2025",3,"£ 1,170,000",,K,GK,24,Reserve,England,,,Tottenham,Premier League,2022-2023
24,Brandon Austin,"£ 7,500","£ 390,000",,"Mar 29, 2022","Jun 30, 2024",2,"£ 780,000",,K,GK,24,Reserve,England,,,Tottenham,Premier League,2022-2023
25,Sergio Reguilón,£ 0,£ 0,,"Aug 30, 2022","Jun 30, 2025",3,£ 0,,D,LB,25,Reserve,Spain,,,Tottenham,Premier League,2022-2023
26,Total,"£ 2,099,000","£ 109,148,000","£ 2,080,000",,,,"£ 283,218,000",£ 0,,,,,,,,Tottenham,Premier League,2022-2023
