,Player,Gross P/W(GBP),Gross P/Y(GBP),Gross P/Y(GBP),Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(GBP),Release Clause(GBP),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season
0,Lucas Paquetá,"£ 150,000","£ 7,800,000",,"Aug 29, 2022","Jun 30, 2027",5,"£ 39,000,000",,F,AM,25,Starter,Brazil,,,West Ham,Premier League,2022-2023
1,Kurt Zouma,"£ 125,000","£ 6,500,000",,"Aug 28, 2021","Jun 30, 2025",3,"£ 19,500,000",,D,CB,28,Reserve,France,,,West Ham,Premier League,2022-2023
2,Danny Ings,"£ 125,000","£ 6,500,000",,"Jan 20, 2023","Jun 30, 2025",3,"£ 19,500,000",,F,CF,30,Reserve,England,,,West Ham,Premier League,2022-2023
3,Alphonse Areola,"£ 120,000","£ 6,240,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 31,200,000",,K,GK,29,Reserve,France,,,West Ham,Premier League,2022-2023
4,Emerson,"£ 95,000","£ 4,940,000",,"Aug 23, 2022","Jun 30, 2026",4,"£ 19,760,000",,D,LB,28,Starter,Italy,,,West Ham,Premier League,2022-2023
5,Gianluca Scamacca,"£ 90,000","£ 4,680,000",,"Jul 26, 2022","Jun 30, 2027",5,"£ 23,400,000",,F,CF,24,Reserve,Italy,,,West Ham,Premier League,2022-2023
6,Michail Antonio,"£ 85,000","£ 4,420,000","£ 780,000","Jan 7, 2022","Jun 30, 2024",2,"£ 8,840,000",,F,CF,32,Starter,Jamaica,,,West Ham,Premier League,2022-2023
7,Thilo Kehrer,"£ 80,000","£ 4,160,000",,"Aug 17, 2022","Jun 30, 2026",4,"£ 16,640,000",,D,CB,26,Starter,Germany,,,West Ham,Premier League,2022-2023
8,Angelo Ogbonna,"£ 70,000","£ 3,640,000",,"Jul 10, 2015","Jun 30, 2023",1,"£ 3,640,000",,D,CB,34,Starter,Italy,,,West Ham,Premier League,2022-2023
9,Manuel Lanzini,"£ 70,000","£ 3,640,000","£ 1,040,000","Aug 30, 2019","Jun 30, 2023",1,"£ 3,640,000",,F,AM,29,Reserve,Argentina,,,West Ham,Premier League,2022-2023
10,Tomas Soucek,"£ 65,000","£ 3,380,000",,"Jul 27, 2020","Jun 30, 2024",2,"£ 6,760,000",,M,DM,27,Reserve,Czech Republic,,,West Ham,Premier League,2022-2023
11,Pablo Fornals,"£ 65,000","£ 3,380,000",,"Jul 1, 2019","Jun 30, 2024",2,"£ 6,760,000",,F,AM,26,Reserve,Spain,,,West Ham,Premier League,2022-2023
12,Maxwel Cornet,"£ 65,000","£ 3,380,000",,"Aug 5, 2022","Jun 30, 2027",5,"£ 16,900,000",,F,LW,26,Reserve,Cote d'Ivoire,,,West Ham,Premier League,2022-2023
13,Lukasz Fabianski,"£ 65,000","£ 3,380,000",,"Jul 6, 2022","Jun 30, 2023",1,"£ 3,380,000",,K,GK,37,Starter,Poland,,,West Ham,Premier League,2022-2023
14,Declan Rice,"£ 60,000","£ 3,120,000",,"Dec 28, 2018","Jun 30, 2024",2,"£ 6,240,000",,M,DM,24,Starter,England,,,West Ham,Premier League,2022-2023
15,Jarrod Bowen,"£ 60,000","£ 3,120,000",,"Jan 31, 2020","Jun 30, 2025",3,"£ 9,360,000",,F,RW,26,Starter,England,,,West Ham,Premier League,2022-2023
16,Saïd Benrahma,"£ 55,000","£ 2,860,000",,"Jan 29, 2021","Jun 30, 2026",4,"£ 11,440,000",,F,LW,27,Starter,Algeria,,,West Ham,Premier League,2022-2023
17,Aaron Cresswell,"£ 50,000","£ 2,600,000",,"Oct 9, 2019","Jun 30, 2023",1,"£ 2,600,000",,D,LB,33,Reserve,England,,,West Ham,Premier League,2022-2023
18,Nayef Aguerd,"£ 50,000","£ 2,600,000",,"Jul 1, 2022","Jun 30, 2027",5,"£ 13,000,000",,D,CB,26,Starter,Morocco,,,West Ham,Premier League,2022-2023
19,Vladimir Coufal,"£ 35,000","£ 1,820,000",,"Oct 2, 2020","Jun 30, 2023",1,"£ 1,820,000",,D,RB,30,Starter,Czech Republic,,,West Ham,Premier League,2022-2023
20,Flynn Downes,"£ 25,000","£ 1,300,000",,"Jul 7, 2022","Jun 30, 2027",5,"£ 6,500,000",,M,CM,24,Reserve,England,,,West Ham,Premier League,2022-2023
21,Ben Johnson,"£ 20,000","£ 1,040,000",,"Jul 1, 2020","Jun 30, 2024",2,"£ 2,080,000",,D,RB,23,Reserve,England,,,West Ham,Premier League,2022-2023
22,Total,"£ 1,625,000","£ 84,500,000","£ 1,820,000",,,,"£ 271,960,000",£ 0,,,,,,,,West Ham,Premier League,2022-2023
